Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
search URL:,https://patents.google.com/?q=%28%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD%29&assignee=%E5%8C%97%E4%BA%AC%E7%99%BE%E5%BA%A6%E7%BD%91%E8%AE%AF%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8&oq=%E4%BA%BA%E5%B7%A5%E6%99%BA%E8%83%BD,,,,,,,,
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CN-107479368-B,一种基于人工智能的训练无人机控制模型的方法及系统 ,北京百度网讯科技有限公司,"周波, 王凡",2017-06-30,2017-06-30,2021-09-21,2021-09-21,https://patents.google.com/patent/CN107479368B/zh,https://patentimages.storage.googleapis.com/32/5a/4c/613ce41230c2ea/HDA0001337696550000011.png
CN-107369443-B,基于人工智能的对话管理方法及装置 ,北京百度网讯科技有限公司,"高原, 李大任, 戴岱, 佘俏俏",2017-06-29,2017-06-29,2020-09-25,2020-09-25,https://patents.google.com/patent/CN107369443B/zh,https://patentimages.storage.googleapis.com/b6/9b/f2/897202654ff2c3/HDA0001337099840000011.png
CN-107168952-B,基于人工智能的信息生成方法和装置 ,北京百度网讯科技有限公司,"李宇琨, 刘毅, 孙宇, 于佃海",2017-05-15,2017-05-15,2021-06-04,2021-06-04,https://patents.google.com/patent/CN107168952B/zh,https://patentimages.storage.googleapis.com/81/62/dd/3ddfb9d9a62791/HDA0001294759760000011.png
CN-107977268-B,人工智能的异构硬件的任务调度方法、装置及可读介质 ,北京百度网讯科技有限公司,"王勇, 欧阳剑, 漆维",2017-10-13,2017-10-13,2021-07-20,2021-07-20,https://patents.google.com/patent/CN107977268B/zh,https://patentimages.storage.googleapis.com/f5/99/ff/6c547f877c59e3/HDA0001433221030000011.png
CN-107423274-B,基于人工智能的比赛解说内容生成方法、装置及存储介质 ,北京百度网讯科技有限公司,"崔建青, 时迎超, ?田?浩, 赵世奇, 佘俏俏",2017-06-07,2017-06-07,2020-11-20,2020-11-20,https://patents.google.com/patent/CN107423274B/zh,https://patentimages.storage.googleapis.com/7a/5a/92/7be86d89dc0647/HDA0001315543510000011.png
CN-107220352-B,基于人工智能构建评论图谱的方法和装置 ,北京百度网讯科技有限公司,"时迎超, 崔建青, 和为",2017-05-31,2017-05-31,2020-12-08,2020-12-08,https://patents.google.com/patent/CN107220352B/zh,https://patentimages.storage.googleapis.com/3c/7d/eb/cb7e4ab23f1150/HDA0001309623040000011.png
CN-106529673-B,基于人工智能的深度学习网络训练方法及装置 ,北京百度网讯科技有限公司,王晨秋,2016-11-17,2016-11-17,2019-05-03,2019-05-03,https://patents.google.com/patent/CN106529673B/zh,
CN-107133345-B,基于人工智能的交互方法和装置 ,北京百度网讯科技有限公司,"陈立玮, 周晓, 于佃海, 赵世奇",2017-05-22,2017-05-22,2020-11-06,2020-11-06,https://patents.google.com/patent/CN107133345B/zh,https://patentimages.storage.googleapis.com/62/50/c3/ced3b24d7b1392/HDA0001300874050000011.png
