search URL:,https://patents.google.com/?q=%28%E6%90%9C%E7%B4%A2%29&assignee=%E7%99%BE%E5%BA%A6%E5%9C%A8%E7%BA%BF%E7%BD%91%E7%BB%9C%E6%8A%80%E6%9C%AF%EF%BC%88%E5%8C%97%E4%BA%AC%EF%BC%89%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8&oq=%E6%90%9C%E7%B4%A2
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
CN-106021362-B,查询式的图片特征表示的生成、图片搜索方法和装置 ,百度在线网络技术（北京）有限公司,"付立波, 方高林, 陈雨",2016-05-10,2016-05-10,2018-04-13,2018-04-13,https://patents.google.com/patent/CN106021362B/zh,
CN-105117418-B,基于搜索的服务信息管理系统及方法 ,百度在线网络技术（北京）有限公司,"沈抖, 李彦宏, 何海文, 向海龙, 王海峰, 曹晓冬",2015-07-30,2015-07-30,2022-02-18,2022-02-18,https://patents.google.com/patent/CN105117418B/zh,https://patentimages.storage.googleapis.com/ce/d0/7d/ea8e8c6724ee43/HDA0003248216000000011.png
CN-104899322-B,搜索引擎及其实现方法 ,百度在线网络技术（北京）有限公司,方高林,2015-06-18,2015-06-18,2021-09-17,2021-09-17,https://patents.google.com/patent/CN104899322B/zh,https://patentimages.storage.googleapis.com/eb/ba/98/ee199474dfa9fc/HDA0000740987400000011.png
CN-106874467-B,用于提供搜索结果的方法和装置 ,百度在线网络技术（北京）有限公司,"刘国庆, 贾银芳, 朱延峰, 韩聪, 韩友, 李鹏, 党悦然, 陈敏",2017-02-15,2017-02-15,2019-12-06,2019-12-06,https://patents.google.com/patent/CN106874467B/zh,
CN-104615767-B,搜索排序模型的训练方法、搜索处理方法及装置 ,百度在线网络技术（北京）有限公司,张军,2015-02-15,2015-02-15,2017-12-29,2017-12-29,https://patents.google.com/patent/CN104615767B/zh,
CN-104239459-B,语音搜索方法、装置和系统 ,百度在线网络技术（北京）有限公司,"张宏驰, 马旭",2014-09-02,2014-09-02,2018-03-09,2018-03-09,https://patents.google.com/patent/CN104239459B/zh,
CN-104252533-B,搜索方法和搜索装置 ,百度在线网络技术（北京）有限公司,"徐文智, 刘占, 刘占一, 吴华, 王海峰",2014-09-12,2014-09-12,2018-04-13,2018-04-13,https://patents.google.com/patent/CN104252533B/zh,
CN-104239404-B,搜索方法、系统和装置 ,百度在线网络技术（北京）有限公司,邓鹏�,2014-03-11,2014-07-28,2018-03-09,2018-03-09,https://patents.google.com/patent/CN104239404B/zh,
CN-104462364-B,搜索推荐方法及装置 ,百度在线网络技术（北京）有限公司,"黄际洲, 万璐",2014-12-08,2014-12-08,2018-09-07,2018-09-07,https://patents.google.com/patent/CN104462364B/zh,
CN-105045901-B,搜索关键词的推送方法和装置 ,百度在线网络技术（北京）有限公司,"陈进生, 范欣, 王亮, 魏春水, 胡晨, 李冰结, 王剑, 冯立强, 郁蓓, 鲁玉兰",2015-08-05,2015-08-05,2019-04-30,2019-04-30,https://patents.google.com/patent/CN105045901B/zh,
CN-104133899-B,图片搜索库的生成方法和装置、图片搜索方法和装置 ,百度在线网络技术（北京）有限公司,秦铎浩,2014-08-01,2014-08-01,2017-10-13,2017-10-13,https://patents.google.com/patent/CN104133899B/zh,
CN-104794218-B,语音搜索方法和装置 ,百度在线网络技术（北京）有限公司,"王珍, 张娜, 陈凯, 杨文博, 王熙",2015-04-28,2015-04-28,2019-07-05,2019-07-05,https://patents.google.com/patent/CN104794218B/zh,
CN-103940441-B,一种兴趣点搜索方法和装置 ,百度在线网络技术（北京）有限公司,慎东辉,2014-05-06,2014-05-06,2018-01-30,2018-01-30,https://patents.google.com/patent/CN103940441B/zh,
CN-104102723-B,搜索内容提供方法和搜索引擎 ,百度在线网络技术（北京）有限公司,"孙连生, 万伟, 赵世奇",2014-07-21,2014-07-21,2017-07-25,2017-07-25,https://patents.google.com/patent/CN104102723B/zh,
CN-104462325-B,搜索推荐方法及装置 ,百度在线网络技术（北京）有限公司,"万璐, 黄际洲",2014-12-02,2014-12-02,2019-05-03,2019-05-03,https://patents.google.com/patent/CN104462325B/zh,
CN-103793498-B,图片搜索方法、装置以及搜索引擎 ,百度在线网络技术（北京）有限公司,"黄际洲, 吴海锋, 王增智, 王燕",2014-01-22,2014-01-22,2017-08-25,2017-08-25,https://patents.google.com/patent/CN103793498B/zh,
CN-105095440-B,一种搜索推荐方法及装置 ,百度在线网络技术（北京）有限公司,刘俊启,2015-07-23,2015-07-23,2019-02-12,2019-02-12,https://patents.google.com/patent/CN105095440B/zh,
CN-104504109-B,图片搜索方法和装置 ,百度在线网络技术（北京）有限公司,"文石磊, 李旭斌, 陈世佳, 秦首科, 张泽明, 韩友, 江焱, 陈志扬",2014-12-30,2014-12-30,2017-03-15,2017-03-15,https://patents.google.com/patent/CN104504109B/zh,
CN-104281699-B,搜索推荐方法及装置 ,百度在线网络技术（北京）有限公司,"黄际洲, 万璐, 牛正雨, 丁世强, 夏德国",2014-10-15,2014-10-15,2017-11-17,2017-11-17,https://patents.google.com/patent/CN104281699B/zh,
CN-104239313-B,基于移动终端的屏幕中显示文字的搜索方法与移动终端 ,百度在线网络技术（北京）有限公司,"朱振宇, 秦银",2013-06-09,2013-06-09,2019-07-30,2019-07-30,https://patents.google.com/patent/CN104239313B/zh,
CN-103473273-B,信息搜索方法、装置和服务器 ,百度在线网络技术（北京）有限公司,"乔敏, 金敬亭, 孙巍巍",2013-08-22,2013-08-22,2019-01-18,2019-01-18,https://patents.google.com/patent/CN103473273B/zh,
CN-104035957-B,搜索方法和装置 ,百度在线网络技术（北京）有限公司,"�田�浩, 吴甜, 田丰玉, 周超, 江炼鑫, 张伟伟, 蔡舵, 袁月, 曹冰, 杨帆, 徐倩, 佘俏俏",2014-04-14,2014-04-14,2019-01-25,2019-01-25,https://patents.google.com/patent/CN104035957B/zh,
CN-102096717-B,搜索方法及搜索引擎 ,百度在线网络技术（北京）有限公司,刘建柱,2011-02-15,2011-02-15,2013-01-16,2013-01-16,https://patents.google.com/patent/CN102096717B/zh,https://patentimages.storage.googleapis.com/cb/c8/40/e8f19dfce5446e/HDA0000046897880000011.png
CN-104899285-B,搜索结果展示方法和装置 ,百度在线网络技术（北京）有限公司,"徐巍, 陈坤杰, 陈鹏, 魏赛",2015-06-04,2015-06-04,2018-09-25,2018-09-25,https://patents.google.com/patent/CN104899285B/zh,
CN-106548773-B,基于人工智能的儿童用户搜索方法及装置 ,百度在线网络技术（北京）有限公司,赵雅琪,2016-11-04,2016-11-04,2020-06-23,2020-06-23,https://patents.google.com/patent/CN106548773B/zh,https://patentimages.storage.googleapis.com/27/ae/ba/8be4692fca82a7/HDA0001145502300000011.png
CN-106021364-B,图片搜索相关性预测模型的建立、图片搜索方法和装置 ,百度在线网络技术（北京）有限公司,"付立波, 罗恒, 方高林, 徐伟",2016-05-10,2016-05-10,2017-12-12,2017-12-12,https://patents.google.com/patent/CN106021364B/zh,
CN-107833574-B,用于提供语音服务的方法和装置 ,"百度在线网络技术（北京）有限公司, 上海小度技术有限公司","陆广, 罗夏君, 叶世权, 黄崛, 张苗昌",2017-11-16,2017-11-16,2021-08-24,2021-08-24,https://patents.google.com/patent/CN107833574B/zh,https://patentimages.storage.googleapis.com/94/62/d5/dfea392f3815c0/HDA0001470661670000011.png
