序号,地区,评论
0,广东省,"就很难受。 最喜欢前面见男友的一幕，尬舞起来，青春的阳光也耀眼起来，可惜，乌云太多，一刹的光亮无法解救现实，终究被吞没。包括男友。一个菜鸟警官即兴的斗志很难抱有更大的期望，社会的铁桶不带怕的。 为什么？ 人人都在竭尽全力做自己的挣扎，看不到别人的，管不了，可能...

                         "
1,湖南省,"看完整部电影，我感觉好像是在一个寒冷的夜晚，走着泥泞不堪的无尽之路，每走一步都异常难受，前方根本看不到尽头，黑夜也不会迎来白昼，想回头依然是一片泥泞的道路。这部现实主义影片，只能说还存在一丝幸运，毕竟像这样的景观屈指可数，学校看的是就业率，企业看的是业绩，...

                         "
2,内蒙古自治区,"一个女警察面对一个含有诸多疑点的死亡事件，展开调查，她厘清疑点，寻访死者亲朋好友、收集证据，以此为基础还原受害者的遭遇，这似乎是在影视作品中最常见的探查真相的叙事套路。而在这种套路中，往往只存在一位主人公，即警察。 我们自始至终跟随主人公警察的脚步，同化于他...

                         "
3,辽宁省,"

                        谁会是下一个素熙？谁也可能是下一个素熙。影片讲述了素熙凋零的过程，看的人还是挺难受的，难免会看到自己的影子。 大家都在互相推脱责任，一个员工的死亡，公司没任何怜悯或同情，只会担心影响公司形象或收益。 最可恨的是一些受害者有罪论。管理层、老师、教育局......到最...

                         "
4,四川省,"他们在拍这个以2021年韩国社会背景的故事时，我们在封控防疫，而他们的画面中没看到一个口罩。 名片上的女孩在剧情进行到一半时沉湖了，因为完全没看过剧透，这种刚烈一瞬间放大了观影前对其现实题材认知，也就那一刻幡然明白另一半片名的意义。 女刑警比片名中女主角还丧的表...

                         "
5,河南省,"压垮素熙们的，不只是被客户骂、奖金被扣、跟领导冲突，家人同事冷漠这些问题，还有未来将要面对的人生。 韩国的年轻人，如果像影片中素熙实习期赚80多万韩元，大概是人民币四千多元。转正后160万韩币，人民币八千三四。 如果素熙转正后有绩效奖金，如果丈夫也是打工族，一家人...

                         "
6,山东省,"

                        ·《下一个素熙》 ·讲述职高女学生在进入社会后面对残酷的精神压迫而自杀身亡，负责的女警察在惋惜生命，执着查案的过程中揭露出教育、职场、家庭等等无法解决的问题。 ·表现了人性在社会化的过程重被工具化，被扭曲又无可奈何的现实情况。 ·这部影片着实看得深刻，登场时女...

                         "
7,山西省,"

                        《下一个素熙》是一部韩国犯罪惊悚片，讲述了一个医生因为被误认为是一个连环杀手的故事。该电影于2018年上映，由黄东赫执导，李政宰、郑有美和朴海镇等人出演。 在这部电影中，李政宰饰演的医生素熙因为某些原因被怀疑是连环杀手，并被警察追捕。他不得不寻找证据证明自己的清...

                         "
8,北京市,"

                        很久没有周末在家安静地晒着太阳看电影了，看完亦是久久不能平静… 纪录片式的拍摄两个多小时，前半段素熙压抑的实习工作，只关注就业率的学校，忽略女儿内心压力的父母，加班压榨实习生只关心业绩的黑心公司，一只只黑手最终把素熙推向了冰冷的水中…后半段女刑警抽丝剥茧的调...

                         "
9,广东省,"《道熙呀》中的李英男，《下一个素熙》中的吴宥真，郑朱莉两部电影里的裴斗娜相似度奇高：隐忍寡言不得志的无名氏，在更弱势更边缘的群体中担起守护者的责任，达成奉献与自我救赎的融合。郑朱莉的导演之眼已经框定了她的形象特质，一个正义的、反抗的、孤立无援的理想主义者。 ...

                         "
