序号,地区,评论
0,云南省,"

                        我必须摸着我的良心说交换人生没有那么差，是一部及格的合家欢片子。如果票价40以下的话我会推荐。 我觉得前1/3剧情的展开和人物交代有点问题，但是后面2/3节奏比较紧凑。 当然整个互换身体，惩恶扬善的主题和情节都比较老套，但是在这个春节档的话我觉得带着爸妈看这个是比较...

                         "
1,湖南省,"交换人生 我觉得很棒!非常戳我! 感慨好多[流泪]写了好多没有逻辑全是感情的话[苦涩]，不想被剧透的话大家可以划过去，看完的朋友欢迎和我一起讨论剧情www —————以下可能会剧透————— 最戳我的两个点 一是交换灵魂之后仲达身上，小谷灵魂的少年感。 少年感在我这里绝不...

                         "
2,四川省,"简直就是春节档最难看电影之一。剧本乱七八糟，希望以后春节档都是不要浪费时间的电影！！！如果能快进的话，估计十分钟都不用就看完了。。。。。。。。。另外豆瓣就140字都不够抒发这种被此电影恶心后的感觉。。太烂了！！！！！！！！！！！！！！！！！！！！！！！！！！！...

                         "
3,陕西省,"简直就是春节档最难看电影之一。剧本乱七八糟，希望以后春节档都是不要浪费时间的电影！！！如果能快进的话，估计十分钟都不用就看完了。。。。。。。。。另外豆瓣就140字都不够抒发这种被此电影恶心后的感觉。。太烂了！！！！！！！！！！！！！！！！！！！！！！！！！！！...

                         "
4,浙江省,"剧情全部混乱，到了影片结尾的时候，一顿输出硬塞感情戏，强行带入催泪，十分突兀，没有一个循序渐进的过程，让人觉得没有代入感，个人感觉也不怎么搞笑，很尴尬，演员整体演技一般，有很多演员没有发挥好，与预期相差很大，如果抱着很高的期望看的话，会让人很失望，就像我...

                         "
5,湖南省,"通篇煽情说教 ，故事线生搬硬套也没什么逻辑 ，说真的 想骗钱 想秀所谓的实力 一年三百六十五天 选哪天不好 一定要选在大年初一来恶心全国观众吗？真的毫无底线 整个片子的水平真是烂出了天际  你们不怕自己家人看到吗？这个世界还会好吗？通篇煽情说教 ，故事线生搬硬套也没什...

                         "
6,山东省,"

                        这个电影看过了，说实话，不好看！ 首先我觉得选题挺好的，但是剧情却稀耙烂，前面一大堆纯粹只是为了让我们笑，后面剧情合家欢，前面的跟后面的可以说一点关系没有，看完之后不知道编剧想表达什么，有些剧情也没有交代清楚 仲达最后变成了一只鹅，结果陆小谷变回来了，仲达变...

                         "
7,山东省,"就那样吧，能看，笑点不是特别突出，能猜到笑点在哪，没有特别吸引我的地方，不是很推荐去看这个电影，再者，还是有很多地方需要优化！我自己一个人看下来就觉得比较无聊，没啥特点，强行催泪，也没有特别搞笑，很多夸的，看了后也没觉得多好看，没达到我的预期，因为之前的你...

                         "
8,重庆市,"我们家五口刚看完交换人生出来准备打分看见交换人生被骂得狗血喷头，很多怒打一星的我真不知道在干嘛... 首先我在郑州过年，我爸妈看完之后很开心，乐乐呵呵的，最后吴彦姝那段我瞥见我妈还流泪了。然后是我哥，最近天天被催婚，看完电影反正我爸妈是不催他了，让他慢慢来遇到...

                         "
9,湖北省,"

                        第一次正式注册使用豆瓣，上一次有写影评的冲动还是因为《扬名立万》，不过作为一个正在学习中的媒体人还是只小范围的分享给了朋友们，这次感谢苏伦导演让豆瓣多出了一个注册用户，以下轻剧透。 先礼后兵，首先我个人很钦佩苏伦导演的才华，能将原生家庭、少青春暗恋、少年友谊...

                         "
