序号,地区,评论
0,台湾省,"

                        其实这部影片的编剧还是很有想法的，因为在中国其实殡葬师这个题材还是会有很多人“忌讳”的。说到这里因为我爸爸也是红白理事会的，每次听到他接电话听到有人去世时，他淡定的帮别人安排着一切，我不理解他的内心，因为我总觉得每个人都会害怕死亡吧，但是总感觉他不会恐惧，...

                         "
1,江苏省,"亲人的生老病死，对成年人来说，是件悲伤的事，对于刚过时外婆的小文，更是一个不小的打击，但痞气的三哥对小文善意的谎言，也完全展现了大汉柔情的一面，小文到了三哥身边之后，发生了种种意想不到的事情，鸡飞狗跳、尽是苦辣滋味，但却增添了不少生机，久而久之，冷酷直爽的...

                         "
2,陕西省,"看完如图 还是感动的 笑点和苦点起飞 朱一龙的演技确实很不错 这次演殡葬师也是没有违和之处 人物形象，气质挺符合的 初期是一个玩世不恭，风风火火的浪子形象 后来听了二哥的故事，突然就成长了这一段，稍微有点快，没有把人物对殡葬师这一职业的世俗偏见和改变偏见的过渡处理...

                         "
3,山西省,"剧情跌宕起伏，催人泪下，中间哭了好几次，被男主和小孩感动，是一个很感人的故事，除了感动，也会让人对生死有了新的思考，除了生死，别无大事，看完真的很解压，觉得平时纠结的小事都不是事了。电影最后的一句话是，天上的星星，都是爱过我们的人。小孩子的演技是真的好，每...

                         "
4,河北省,"

                        上一次接触殡葬题材的电影还是高中的时候和爸妈一起看电影频道播的《入殓师》。因为有了比较鉴别，所以我并不觉得《人生大事》是一部多么出彩的电影，虽然相比而言它已经是矮子里拔高个儿了。 一开始知道这部电影，确实也是因为朱一龙，换了发型，从腹有诗书温润如玉的公子哥儿...

                         "
5,山东省,"

                        #时不时的戏 #人生大事 #LightingUpTheStars #FuneralFamily 从首发的预告海报就感觉质感很不错的一部片子，片方为了宣发也是刻意延迟了日期，避开了疫情，其实是非常正确的一步棋，韩廷参与了监制，估计也算是投资了，他的名字也成了宣传门面被放在了海报之上，也是对于他的肯...

                         "
6,湖南省,"

                        评分7.3分，还是比较合理的。 但是风评显然是过高了。 本片最大的问题在于讨巧，噱头是讨论生死问题，但其实对于生死问题还是遮遮掩掩，顾左右而言他，本片的亮点都在亲子关系上。而这个亲子关系成立的条件也缺乏说服力。 就不说最后亲妈的出现彻底毁了电影的节奏和剧情，就算...

                         "
7,江苏省,"个人认为是很不错的一部电影，电影题材很新，是关于殡葬这个行业的，也是关于三妹和小文一个个小家庭的，集搞笑，亲情友情，双向救赎、奔赴等等元素于一体。我最感动的是老莫变成烟花消逝于长江之上吧。没有满堂的哭声、没有满堂的白布，只是把自己的骨灰装在一个最平常不过的...

                         "
8,四川省,"走进《人生大事》宣传片，武小文与莫三妹相遇初期，两人针锋相对，抱着满满的敌意，之后武小文与莫三妹互相温暖，后者担任起了“爸爸”的角色。此外朱一龙与杨恩又还频频上演感人至深的哭戏，当武小文询问自己是否再也不能听到外婆的声音，莫三妹不禁红了眼眶，他深知“天人永...

                         "
9,云南省,"走进《人生大事》宣传片，武小文与莫三妹相遇初期，两人针锋相对，抱着满满的敌意，之后武小文与莫三妹互相温暖，后者担任起了“爸爸”的角色。此外朱一龙与杨恩又还频频上演感人至深的哭戏，当武小文询问自己是否再也不能听到外婆的声音，莫三妹不禁红了眼眶，他深知“天人永...

                         "
10,河南省,"可能加入亲妈回来那个是为了侧面更突出小文和三哥之间的感情，长时间相处之后离不开三哥，但是这样的刻意会让剧情变得有些许突兀。总体来说挺不错的。但是避免不了现在电影一些烂俗片段 6件丧事中有5件都和剧中男主人公产生了工作之外的关系，父亲的死、二哥的死、女友丈夫的死...

                         "
11,浙江省,"和姐姐一起去看的，去之前过于着急，没带纸，于是坐在座位上的我一会哭一会笑，眼泪鼻涕一起流，没法擦的感觉，都留在我的口罩上了😅 剧情真的很不错，演员演技也不错。看完这个片子，我对殡仪这个行业少了一丝惧怕，多了一丝敬畏与尊重。 莫三妹是造星星的人。 外婆就是那颗...

                         "
