序号,地区,评论
0,台湾省,"一部很值得看的剧 ，相信善人会有善报 ，哪怕来的比较晚， 但是结果一定不会辜负你 ！主角平安哥喜欢爱管闲事 ，第一次为了朋友的事打人坐了五年牢，但是收获了一辈子的友谊， 成为了今后的事业路上风雨无阻的一道盾！第二次为了完成已逝客户韩露的心愿以及还她的清白和名声，...

                         "
1,广西壮族自治区,"看过大鹏导演的几部电影，缝纫机和保你平安都提到了大鹏的家乡集安，作为一个连爱好者都不算的电影盲，没资格评价电影的水平，只想跟大家分享一下集安。 集安市是吉林省的一座边陲小城，倚立在鸭绿江边，与朝鲜隔江相望，如果没有大鹏导演的话，可能这是一个大多数国人都没听过...

                         "
2,江苏省,"《保你平安》75/100 3.5星 好喜欢 好精彩 好多小巧思 和会心一笑 中间好几次 让我想大笑 可是影院人有点少 然后周围观众反应也是较小 所以我只能克制着 浅笑一下哈哈哈哈哈哈哈 剧本扎实 打磨得很好 可以看出每一场戏都在用心地琢磨怎么样可以出新意、更好玩。 一个小的观影体...

                         "
3,广东省,"“如果快乐太难，那我祝你平安”当影片最后音乐响起的时候，突然觉得2023过得好悬浮，今年明明才刚刚开始，怎么大家都不太容易开心了呢。 最近的泪点好像变低了，「隔着屏幕和被校园霸凌的女儿一起哭泣、在绿色原野上接通了互相理解的信号、在热血过后的孤独街头收获生日礼花」...

                         "
4,广东省,"保你平安 看官方宣发阵容里有李雪琴和维维呀导演又是大鹏提前定义了这一定是一部重喜剧无疑，想着入院前能赶着看上大屏幕，果然没失望，一如即往的有态度的作品，近两年的电影市场很少会有导演拿生活中这种造谣生非的所谓的“平常”事，拿出来做故事创作了，大鹏做这样的主题实...

                         "
5,山西省,"

                        不得不说，《保你平安》大大超出了我的预期。 因为它几乎集结了国产喜剧烂片的所有元素，却最终呈现出了一个相当优秀的成品。 故事以一场“网络谣言”为核心，讲述了墓地销售魏平安，为了洗脱已过世的客户韩露身上的谣言，避免其被迁坟，一路对谣言追根溯源，千里寻“凶”的故...

                         "
6,辽宁省,"昨天看了一部点映的电影，大鹏导演的新作——《保你平安》，期间，我偷偷哭了三次，任泪水滑落眼眶，没敢抬手擦拭，生怕被坐在后排的两个小姐姐看到。 大鹏一直是我非常喜欢的导演、演员，真性情、接地气、有才华、肯努力，《屌丝男士》让他崭露头角，《煎饼侠》让他获利颇多，...

                         "
7,河北省,"电影的文本很简单，就是一个生前做好事的女人死后被造谣为小姐，男主东奔西走帮她辟谣的故事，所要表达的也是“善恶到头终有报”的朴素内核。但对国产喜剧来说，故事紧凑流畅干净动人、不讲低俗笑话就已经赢了大部分同类竞争者。 电影重点展现了流量时代的网络暴力和轻而易举的...

                         "
8,山东省,"女神节的传统是去看一场电影。今天抛弃了《深海》，选择了《保你平安》。听着电影院里小姐姐们此起彼伏的笑声，就知道这波不亏。在搞笑这块，大鹏完全不输开心麻花。尤其密室里那段，笑到肚子疼。不过一个成功的喜剧，不能只有笑，而应该笑中有泪，笑中有思考。《保你平安》也...

                         "
9,福建省,"

                        #保你平安# 剧情很新颖很感人，有笑点有哭点，""人间自有真情在”是一句很鸡汤的话，但如果我们相信这句话并愿意真诚的对待身边的人和事，做你认为正确的事情，相信我们一定会过得很好，这真的超级超级酷，生活总有一些不如意，洒脱一 些过得好。2023年，希望我也能勇敢的 做自...

                         "
