序号,地区,评论
0,台湾省,"如果十年前的《盗梦空间》拍砸了，很可能就是现在《信条》的这个样子。 1.本片缺少诺兰电影一贯的充沛的感情，说得更具体些，对人物缺少充足的代价和动机展示。以前“仿佛过山车”是对诺兰故事的褒奖，现在诺兰仿佛只满足于造一台过山车。刺激，但不让人激动，没有再看一遍的冲...

                         "
1,海南省,"《信条》，已经刷了两遍，二刷比初看时观感好了很多，且越发觉得，诺兰真是一个“生活在五维空间的人”。 因为他能跳脱我们惯性的思维定势，仿佛在一个五维视角，去玩转时间和空间的逻辑，而导致观众很容易跟不上趟。 这篇文章，既是科普预热，也是解读，并强烈建议看一下。无...

                         "
2,安徽省,"

                        觉得太长，没读完，不要回复喷人了，因为你喷的我都谈了。 93届奥斯卡，最佳影片，最佳剧本，最佳导演等内容类大奖一个提名都没有。我认为这足够说明问题了。 以下原文： 是的，大多数人都没看懂。对于严肃的影评来说，我们不能拿看懂没看懂来评价一部电影的好坏。但是当所有人...

                         "
3,福建省,"

                        为了骂《信条》把自己逼成了诺学家。 “不要尝试理解它，去感受它。” 这是今年最好笑的一句电影台词，当然并不是因为这句话本身有什么问题，而是因为诺兰不知道这句话让整部电影都沦为了笑话。 在《致命魔术》之后的作品中，诺兰团队里配合得最好的一对不是诺兰和汉斯·季默，...

                         "
4,湖南省,"《信条》是我在意大利疫情缓和、娱乐场所陆陆续续重新开业以后，踏进电影院看的第一部片子。作为一个影迷，半年时间因为客观原因无法进电影院看电影，是一件非常难熬的事情——倒也不是说需要一部多震撼的电影来拯救平凡的生活，而是当一个人养成了时不时去电影院看场电影的习...

                         "
5,湖南省,"

                        都说《信条》特别烧脑，害怕看过之后脑力透支？？？不用怕！！！有二刷过《信条》的培根悖论来帮您～ 准备好 了吗~~? 来吧，听说首映看完后的各位已经是这样了、、？别慌，培根悖论为大家梳理的，一图看懂《信条》剧情！ 红蓝两条线，记得“翻来覆去”的看~ ~ 简直是映后讨论、...

                         "
6,黑龙江省,"最近的院线前有《星际穿越》和《盗梦空间》重映，后有即将上映的《信条》，简直就是诺兰粉提前过年。 我们作为粉丝捧杀出来的“诺学家”，早在年12月份的时候，也就是《信条》第一支预告片发布之后，在几乎没有任何参考的情况下，就做过一期预告片解析视频。 今年5月份放出的新...

                         "
7,湖南省,"文/ evarnold 2020.9.12 这是对《信条》的第二篇影评，之所以还要写，三个原因： 一是前一篇影评，几乎一半的评论“你没看懂”。我是天蝎座，想新开一个被人怼和怼人的地方。 二是我第一篇影评被顶到了热评第二位，但我自己也并不满意，毕竟分成很多次更新，而且基本都是手机打...

                         "
8,广东省,"

                        大量剧透！！！今天二刷结束后对最后的temporal pincer movement的分析尝试。 首先这次的任务目标并不是阻止爆炸，而是要在倒计时结束且Sator还未自杀前，取出会引起世界时间逆转的算法。一旦算法取出了，就算Kat虐杀Sator或者倒计时结束炸弹爆炸，也不会导致世界末日。红队和...

                         "
9,辽宁省,"作者： 鲸鱼 ★本文不含关键情节剧透★ 10年前，中国观众给诺兰的《盗梦空间》冠以“银幕奇观”的名号，10年后这个title同样适用于《信条》。 《信条》的结构是回文式的，前半部分男主角像个游戏萌新，去了解和掌握在逆向世界生存和打斗的技巧，并在影片后半部分把这些技能全部...

                         "
10,内蒙古自治区,"

                        [视频] 从《记忆碎片》用正序和倒叙两种手法讲故事，到《盗梦空间》梦境中时间变慢，到《星际穿越》中引力使时间变慢，再到《敦刻尔克》的三段时空，“时间”是诺兰的电影里最常见的元素之一。 《信条》的主题仍然是时间，不过这次不再是时间变慢，而是时间倒流。 尤其是正向人...

                         "
11,山西省,"

                        先把话放在这里。《信条》是被严重低估的一部非常诺兰的电影，几年后经过时间的洗礼，希望人们逐渐能感受到《信条》的经典。 这篇影评会分为无剧透和剧透两部分。想大概了解下《信条》的成片质量等无剧透部分可以继续看下去，我会用分割线隔开剧透部分。 刚刚在澳洲阿德莱德看...

                         "
12,上海市,"第三阶（前2阶在后面） 阿雷波的秘密 上期我有提到过，主角初次见到尼尔，尼尔有问主角，“你会威胁妇女和小孩吗”，这句话其实我有更脑洞的“过度解读”。 或许，可不可以阿雷波也是信条组织的一份子，是未来主角安排阿雷波回到过去，接近凯特，让凯特和她的儿子受到威胁，从...

                         "
13,广东省,"

                        《信条》毫无疑问会是诺兰作品里最为“极端”的那一类存在，在现有的评论语境下，这个“极端”更多还是偏向于贬义。 而且就烧脑程度来讲，也绝对是诺兰所有作品之“最”，各种新奇理论与视觉概念的狂轰滥炸，让几乎所有观众都为其困惑。于是也有了借用影片台词的观影建议：不要...

                         "
14,江苏省,"

                        《赋格的艺术》（The Art of Fugue, BWV 1080）是巴赫一生中的最后一部作品，也是这位音乐家未曾完成的遗作。艺术家在行将就木的时候会尝试着总结自己和自己从事的领域，比如爱因斯坦（科学家的极致就是艺术）生命的最后还在试图将四种相互作用统一。而巴赫在《赋格的艺术》中...

                         "
15,重庆市,"《是什么抑制了我们二刷的欲望》 这大概是我看完首映的感觉。为了震破你耳膜的音效，搭配一个逆向时间钳形战斗的系统，一部挂着科幻悬疑的动作片，既没有当年看盗梦空间的惊讶感，也没有看星际穿越的共情感。 全片几乎无感情线（除了最后点了下男主与助手的关系外，这里我猜测...

                         "
16,内蒙古自治区,"

                        最近刚搬新家，这栋楼的电梯比较邪性，除了电梯门以外，三面全是镜子。我女朋友在里面照了照，觉得这种无穷无尽的感觉还挺奇妙。我开玩笑说，要是其中某一个你的影像跟其他的影像动作或者样貌出现了偏差，那才真叫奇妙。她吓得赶紧叫我闭嘴，给我这么一说，她以后都不敢坐这台...

                         "
17,广东省,"《信条》长达150分钟。我有足够的时间和闲暇，去观察观察周围观众的反应： 他们几乎都是面无表情，深度麻醉，一副诺兰你说啥就是啥吧——是要♂上体位还是♀上体位，随便……来吧。快一点。结束了事。 为什么诺兰作品会出现这样的局面？ 为什么诺兰的电影出现这样的反应会是很...

                         "
18,辽宁省,"

                        在疫情阴霾的笼罩之下，今年最热的好莱坞电影莫过于诺兰的《信条》，鉴于他独一无二的影响力(或者说是“作者号召力”)，他比其他导演更有自信且更有责任挽救低迷的电影市场。然而，《信条》的口碑远不及大众心目中的“诺兰水准”，于是上映以前国内媒体的过度营销简直带有“捧...

                         "
19,湖南省,"首发于公众号“影探” 公号ID：ttyingtan 作者：女神的秋裤 转载请注明出处 希望这是全网，最简单易懂，也是最深刻的《信条》解读。 如果你真的看懂了《信条》，你会像结尾的男主一样，望着尼尔远去的背影，止不住流下悲痛的泪水。 看清尼尔的一生，你就会知道，这个故事是多么...

                         "
