序号,地区,评论
0,河南省,"由于众所周知的原因，《八佰》的上映可谓是一波三折。 时隔一年，再次观看这部电影，过程并不轻松，或许用“痛苦”二字形容更为贴切——疼痛、震撼，却忍不住想要推荐身边所有朋友走入影院去感受。 因为，它真的值得。 在此，分享下这篇查资料查到手断的观影后记，了解真实的历...

                         "
1,河北省,"

                        不涉及任何历史问题。 《八佰》叙事完全不及格。 举个例子，如果是二战电影，你问这个电影里，特定的人物/士兵的目的是什么，回答打德国佬，或者世界和平，那是不及格的。是在问你，打败邪恶轴心，你接下来的任务是救一个人，还是到一个地方，到了一个地方之后是不是要到另一个...

                         "
2,北京市,"做个勇敢的中国人 评《八佰》 我之前曾经写过一篇名叫《做个勇敢的中国人》的影评，那是写给《金陵十三钗》，在那篇评论中，我质疑我们是否为了歌颂的目的而刻意美化了历史，比如将片中女性的悲惨命运描绘为“崇高的自愿牺牲”，又比如将片中的中国军人描写的神勇无比悍不畏死...

                         "
3,上海市,"

                        很多年后，当我回忆起那夜《八佰》的放映现场时，将会萦绕着一股香油味。好吧，是我旁边一位女士的食物增添了另一种感官维度。趁着这股意犹未尽的味道，我散漫地谈谈脑海中留下的印象。以下观点仅代表昨夜的我，与今天的我无关。 总体而言，这部影片的叙事视角都是基于小人物，...

                         "
4,河南省,"

                        《八佰》上映的消息一传出，豆瓣和知乎两大精英平台，完全是不一样的声音。 豆瓣网友如同过年，知乎网友一片骂声。 当然这一切都是电影上映前的猜想。 如今电影上映后，朋友圈、豆瓣以及整个社交媒体的一致好评，让我恍惚了。 每次看完电影，个人感受和大多数网友的意见不一样...

                         "
5,山东省,"

                        终于看完《八佰》了。 关于这个片子，相关的影评分析比比皆是，那么我就不再凑热闹给大家分享我那通常来说不太主流的电影观点了。 我给大家来点实在的吧—— 既然《八佰》中有这么多优质的演员贡献了精彩的表演，那么我就基于电影最终呈现版本，以我个人的表演审美和表演理解作...

                         "
6,湖南省,"

                        推开客厅那扇朝北的窗，我能看见一座白色的大型公路桥。写稿累了的时候，我喜欢盯着上面来来往往的小汽车。偶尔，也会以80公里/小时的速度开车从这座桥上疾驰而过，这时总有一些货船悄无声息地从桥底下钻过去，驶向一个未知的远方。 如果不是一部电影《八佰》，我可能都不会意...

                         "
7,河北省,"

                        当代影像作品，充斥着大量雷同的创作现象，着实令人苦恼。因为对于讨论而言，这意味着同一话语和观点不得不被重复讲述。比如《八佰》，就与近年的许多热门作品一样，技术层面过硬，调度上非常华丽，但结构却存在附赘悬疣的问题。因此，它最终的成色也与很多同时期影像类似，处...

                         "
8,江苏省,"《八佰》，两把刀子，一把陈树生，一把刀子。 一个是军人，绑着满身手榴弹，跳进日军钢板阵，炸得小鬼子血肉横飞。 血书一封：舍生取义，儿所愿也！ 这把刀子，剜心窝的痛！ 一个是混混，“沪江堂，小辈，刀子请愿！愿意一试！” 刀削拇指，按了红手印就往桥上跑，中弹也不回头...

                         "
9,湖南省,"几年前去南京，我从中山陵出来以后，特意去了1.5公里外的灵谷寺，想看看那里的国民革命军阵亡将士公墓。 相较于中山陵的人山人海，名为“正气堂”的国军阵亡将士祭殿，算得上门可罗雀。位于“正气堂”后面的国军阵亡将士公墓，早已改建为草坪与花坛，花坛中央种了一棵巨大的桂...

                         "
10,江苏省,"八百孤军血战四行仓库”的事迹，是中国抗战史上最震动人心的一幕之一。从10月27日孤军奉令留守闸北开始，到10月30日接到命令撤入租界，四天惨烈的战斗，让苏州河畔的四行仓库，成为了举世瞩目的焦点。 在之后长达八年的抗战中，只要提到“孤军精神”、“八百壮士”，就足以让人...

                         "
11,浙江省,"

                        加更2如下：（原测评部分在后面） 上周凭借超过5亿元的收入《八佰》蝉联全球周末票房冠军，总票房即将于今日迈进20亿元人民币大关。可以说是中国首部取得如此成绩的商业战争电影，即使放在国际上在相同题材中也算是票房表现不俗的。 那么问题来了，为什么到现在中国才出现了一...

                         "
12,山东省,"

                        （下文含有一定程度剧透，慎读） 8月14日起，电影《八佰》开启了大规模点映。作为中国历史上制作规模最大（制作经费高达五亿人民币）的战争片之一，同时也是疫情之后上映的第一个（国产）大片，《八佰》对于恢复观众信心、激活整个电影市场有着举足轻重的意义，尤其是在去年的...

                         "
13,福建省,"这注定，注定，注定是一部饱受争议的电影。 它就是遭遇撤档删改如今高热度和高关注度上映的《八佰》。 我发现一个很有趣的点，就是如果一部华语电影火到一定程度，一定会引起争议，这种争议似乎不可避免，从《战狼2》到《我不是药神》，从《流浪地球》再到《八佰》。 尤其是这...

                         "
14,黑龙江省,"

                        我裤子差点毁在这部电影上了。 电影上映前上就诸多言之有物的差评，今天亲身看完电影的感觉，所言非虚！！ 比起八佰这个题材，我本人对管虎导演的个人能力怀疑更大。他历来把电影拍得疯疯癫癫，又喜欢滥用象征和隐喻去掩盖一些不敢公开示人的价值观点，关键在于每部电影都假高...

                         "
15,江苏省,"不是最辉煌的时刻，才配写入历史。那些最惨痛的记忆，将成为史诗万世传唱。 “八百孤军血战四行仓库”的事迹，是中国抗战史上最震动人心的一幕之一。从10月27日孤军奉令留守闸北开始，到10月30日接到命令撤入租界，四天惨烈的战斗，让苏州河畔的四行仓库，成为了举世瞩目的焦点...

                         "
16,浙江省,"“云插剑提枪，复杀入重围，回顾手下从骑，已没一人，只剩得孤身。云并无半点退心……” 这说的是《三国演义》中的名将赵云赵子龙，单骑救主。电影《八佰》中的少年小湖北，被困在四行仓库中时，总会幻想他的哥哥端午就是那骑在白马上的名将赵子龙，骁勇善战，英勇无畏，面对迎...

                         "
17,河南省,"

                        我不喜欢《八佰》，但凭良心，我得承认它拍得好。阎锡山在三个鸡蛋上跳舞尚且跳得如履薄冰，按现在意识形态的潜在复杂性，管导脚下那是鸡蛋成堆，可是人跳得比《芳华》还好。关键是脚丫子要抠住最大的那个蛋。但即便抠住了民族主义，你要跳舞那还是得八面逢迎，变身奇美拉，尾...

                         "
18,北京市,"终于腾出来一点时间写影评，之前我看一堆号骂管虎，还以为他捧了逃跑将军孙元良的臭脚，结果我到电影院一看，这部电影从头到尾没夸过孙元良，也没有跪舔国军，把那段历史拍成了一部超好看的史诗战争片，今年最佳国产片，没有之一。 首先，我要讲一下，管虎与孙元良后人秦汉的合...

                         "
19,北京市,"文/东SIR 公众号；抛开书本 原定2019年上海国际电影节开幕片，后因“技术原因”取消的《八佰》，终于在我们听了一年故事后，在2020年上海国际电影节闭幕那一天，宣布了上映档期，不知道是该感叹“天道轮回”，还是感谢这一年来中国电影的“技术进步”。 由于影片还未公映，我们...

                         "
