序号,地区,评论
0,广东省,"从演员扮相来说，金多美没有演出那种叛逆孤独少女的感觉，她没有周冬雨那种不羁自由的气质，电影中人物造型也很普通就是从到脖子的短发变成长发，我觉得她比较适合演那个乖乖女夏恩，夏恩的演员更适合演不羁叛逆的微笑。 从翻拍角度来说，两个女孩的剧情刻画和共情里没有《七月...

                         "
1,湖南省,"看完《再见，我的灵魂伴侣》 了，翻拍《七月与安生》。 整体其实还行。但是韩版整体基调给人的感觉还是偏平缓，原版基调又是很激烈碰撞感很强的那种，所以韩版在延用原版剧情的基础下，几处两个女主产生冲突的剧情会让人觉得突然用力显得突兀，造成整体基调失衡。很喜欢前面那...

                         "
2,山西省,"

                        一直以来，我对女性朋友的包容和接纳远远大于男性朋友的。曾经我怀疑我的性取向，因为我喜欢漂亮伶俐的女孩，当遇见这个类型之后，我就会心甘情愿当一叶绿草。我拥有过很多美好的少年友谊，无论这份情谊结束的多么突然，我依旧记得那些陪伴和快乐的笑容。 女性友谊的终结是隐秘...

                         "
3,江苏省,"

                        本文原创首发自字幕组微信公众号：亿万同人字幕组 更多精彩内容请关注字幕组公众号 人物介绍 安微笑（金多美 饰）：外刚内柔。自由不羁的灵魂，造化弄人的命运。在追求艺术的道路上常常被骨感现实重锤。 高夏恩（全素妮 饰）：外柔内刚。文静内敛，平安顺遂的渡过人生大部分时...

                         "
4,上海市,"七月与安生，结局七月与不爱她的他结婚，安生流浪难产而死。无论是选择留下还是离开，都是这么凄凉。再见，我的灵魂伴侣，弱化了三角恋的关系，男主只是一个象征，象征在这个时刻夏恩与自己“微笑”分道扬镳。与自己分别之后，夏恩当上了老师，但是好像并不快乐；在结婚的时刻...

                         "
5,江苏省,"金多美和全素妮长得有点像，更好的将两个角色演绎的像同一人，河恩跟微笑本身就是一个人的两面，河恩就像生活中的大多数人一样，乖乖的形象，微笑就是心内想要叛逆、想要奔赴山海的另一面。 这个电影有点给男主洗白，男主没有那么恶心人了，符合韩剧风格，金多美这种俏皮劲儿也...

                         "
6,香港特别行政区,"《再见，我的灵魂伴侣》。一部翻拍自国内某部大片的韩国电影。整部片子洋溢着青春风和小清新的气息，片中两位女主的形象倒是符合电影的人设，在选角方面我就不挑毛病了。 我想吐槽的，还是这部电影的剧情。老实说，这片子从头看到尾，我都不知道它想表达什么，它就是缺少了鲜明...

                         "
7,四川省,"

                        人设太任性！！！真是搞不懂，想离开济州岛跟不结婚有什么直接联系？！别忘了你爸你妈还在这住呢！最起码当天面子上过去了，过后再说小情绪。别活的太自私，难道想要的就是随心所欲？还说什么就是极限了，这剧本修改的真的失望透顶。为了强行洗白，还设定与母亲对话得到原谅，...

                         "
8,天津市,"

                        好久没这么投入、全神贯注看完一部电影了。相比于国产版的《七月与安生》，韩国版更温和，整体小清新，两位故事的主人公没有中国版那种撕逼的爆发感，弱化了男友的存在，更注重刻画两位女孩之间复杂、模糊、精神如影如随的友情与爱。感谢如此好的电影！！ 夏恩和微笑相识于童年...

                         "
9,重庆市,"看了这部以后紧接着再重看了一遍七月与安生，之前第一次看七月与安生的时候其实没有太触动到我，但是对比了这一部以后，发现我其实喜欢原版要多很多，周冬雨和马思纯的演技真的很打动人，她们的性格差异和人生差异处理得都更好，包括台词的处理前后的铺垫都是很清晰虽然狗血了...

                         "
10,台湾省,"从小的结缘。一方远离亲人，寄居于另一方。日日相处，亲密无间。 成年后，设身处地的为对方着想，为对方好，为对方做。即使委屈自己，即使假装。用一个眼神就能看懂。却因为没有明说，一些细节而误会。即使争执吵架都透露着对彼此的爱。 结局悲剧了。令人如梗在喉。眼泪却止不...

                         "
11,河北省,"点进b站是带着别的名字找搜索引擎来的 但是停在了主页 真的很三Q大数据这个时候知晓我爱好并且推送给我 看完此时02:12 早睡一如既往的泡汤了（突然真的很想吃汤饭 算） 期待了很久 从没想 一个对于新资讯并不敏感的人 居然可以抢占中国网前排观看多美的新电影!本就很期待的心情...

                         "
