序号,地区,评论
0,湖南省,"友情提示，本文具有一定的冒犯性，前排高分好评夹杂水军。（穷极溢美之词闭眼吹的为甚） 觉得没用请点没用，骂人是没有用的。骂我是黑子的也免了。我全篇有骂过任何一个演员吗？精神股东也不用瞎操心，你再怎么努力骂我人家一样赚钱，你一分钱也得不到。不打算跟任何人骂战。任...

                         "
1,广东省,"平时不写长文的，今天纯属花了巨资还把我给恶心到了，翻了翻评论还一水儿的好评，实在忍不住从三个方面来吐槽一下 1. “一介凡人，竟敢弑神”纯靠意淫 这句话这也是很多（看似）恰了烂饭的几个大号的主要尬吹点，什么热血呀、有深度呀，蚍蜉撼大树呀这些词全冒出来了，强行拔高...

                         "
2,湖北省,"这部片子有可取的地方。血盔甲和赤发鬼的特效一看就老贵了。冷兵器版《疯狂的麦克斯》那一段挺好看的，就是像得有点过分。 PS：比较奇怪的是，场面都没在避忌的，赤发鬼将京城分成十八坊挑斗其互殴这种小设定借鉴《饥饿游戏》又不大大方方地直接写成十三坊算了。 然而，本片在...

                         "
3,浙江省,"第一次见路阳是万娟领我去的，进了院子我就看见一棵树，样子挺古怪，把很多车别到一边去，电梯也很有意思，我后来又去过很多次，每次都记不住它从哪边开门。那天我们聊得很好，这我在很多其他场合讲过，我们坐在一条很长的木桌两边，路阳把双手放在下巴底下，听我胡说八道，他...

                         "
4,北京市,"

                        路空文扮演了什么角色呢？中国版电影中的哈利波特。上至20岁姐姐下至10岁小女孩，都会挡在他身前保护他并大喊“住手”！然后敌人们就住手了🙃 他大多时候就是挥两下刀后被击倒地用双手护住自己惊恐的瞪大眼睛🙃 姐姐拼命救他让他向西跑，他不仅做到克服了之前不敢跳下悬崖...

                         "
5,河北省,"《刺杀小说家》这个电影很怪，没有办法拿它去跟别的电影比较，它太特别了，看完电影我能预见评价会两极分化，因为电影到底如何，取决于你是否相信导演创造的那个世界。 觉得电影有bug的可以看看这个https://movie.douban.com/review/13219232/ 本篇不会剧透，涉及的都是之前预...

                         "
6,吉林省,"刚看完电影以后，彻底被它的3D特效所震撼，恢宏奇丽的异世界场景，逼真生动的赤发鬼，但沉静下来发现这部电影并非只是特效大片。 一. 剧情与人物 1，开头异世界对话和结尾遭到众人吐槽，所以先说这两点。开头路空文开直播讲述小说，这时有一个弹幕飘过“逻辑感人”。异世界由路...

                         "
7,黑龙江省,"

                        1.动机揣测我是营销号的。 2.在我评论区粉黑大战的。 3.假装支持我影评但其实是某人粉丝的，养号的。 go away，asshole！ 1.还记得绣春刀2的英文字幕嘛 一个互联网巨头，在人脸识别和外卖软件的加持下，成了无所不能的神，有了一批信众；在红色太阳之下，信众才有力量活动，或...

                         "
8,河北省,"《刺杀小说家》最早是在双雪涛老师的小说合辑《飞行家》里看到的一个短篇小说，后来得知要被路阳导演改编为同名电影，意外的同时也有些好奇和兴奋……因为这个短篇小说非常风格化，要改编成电影难度还挺大的，不但要扩充不少人物，还要极大地丰富世界观，并且还要把它们都视觉...

                         "
9,天津市,"简单说几句大白话（优缺点我都讲，喜欢这种题材的就去看，不喜欢的估计也看不进去） 补充！！（这段是我忍不住骂人的，可以忽略）有很多职黑和什么黑粉说有水军，在此声明！！我要是水军我去死！！自己看不懂就造谣？欣赏不了也造谣？没人逼你看！本来也不是老少皆宜的片子，那...

                         "
10,浙江省,"（首发于《Vista看天下》） 看完电影《刺杀小说家》之后，我找来了双雪涛的原著来读——评价一部改编自小说的电影，除了涉及电影本身各个层面的讨论之外，与文本之间的对照或比较似乎也在所难免。 而真正的原因其实是我看完这部电影后观感甚差。我想搞明白，电影中我以为的那些...

                         "
11,贵州省,"一个失去女儿的父亲，一名郁郁不得志的青年小说家以及一个拥有万千财富的商业巨鳄，三人构成了《刺杀小说家 》整个的剧情版图。 他们原本都是独立的个体，彼此都有着属于自己的生活，却因为商业巨鳄泯灭人性的无情命令，让四个人的命运纠缠在了一起，在虚实世界的幻化中，一场...

                         "
12,广西壮族自治区,"3 全篇就一个字乱，剧本写的一塌糊涂，全程就靠音视效轰炸（视效还可以吧就是有一处感觉假的像20年前的电影，音效就是全程轰炸炸的人恶心）还有这个双线的噱头了。 剧情狗屎的我都不想评价，感觉想表达能表达的东西（由于原著的存在）应该很多，但把这些塞进两个小时的电影里完...

                         "
13,四川省,"

                        作者:枨不戒 如果有一天，现实和虚幻融合在一起，再也分不清，你会感到兴奋还是恐惧？电影中类似的设定其实不少，《头号玩家》是用游戏连接两个世界，《盗梦空间》是用梦境联系两个世界，《刺杀小说家》则是用正在创作的小说联系两个世界。当获得穿梭在现实与虚幻之中的力量，...

                         "
14,上海市,"这部电影无疑是有隐喻的。 这里先来给大家做一个观影前的知识打底。 刺杀电影里呈现了两个世界，其中，小说世界里的原著故事背景是这样的。 从前异世界里有两个卖猪肉的屠夫，后来其中一个屠夫洗白上岸变成了闻名京城的侠客，另一个继续做大做强变成了京城最大的屠夫，掌握了所...

                         "
15,山东省,"依旧是以我上一篇影评的一句话开头，这部电影究竟如何，取决于你是否相信导演创造的那个世界。从昨天开始，我看了很多影评，也拜读了很多批评的文章，大部分都指出电影存在“BUG”。现在，让我们回到电影故事本身，在相信那个世界的前提下，再来看看这些“BUG”。 第一个BUG是...

                         "
16,广东省,"

                        春节第一天前往电影院看电影，本来想说开心一下，结果看电影中途我和我的小伙伴眼神对视无数次：这电影到底在干嘛？看到后面的加特林笑喷了，这电影让人感觉荒谬得令人发笑....... 首先送上电影票，以下有剧透 我想吐槽的点如下： 1.电影节奏太差了！一大段一大段的小说情节篇...

                         "
17,四川省,"看到《刺杀小说家》结尾，有点泪目，但泪点估计比多数人来得早一些，没等到关宁声泪俱下呼唤小橘子，在他拿起电脑敲击键盘的时候，被生活磨平的心就不及防地软了一下。一个普通人能拿起笔，是因为心中有了剑，心中有了剑，就不怕手里没有蓝色的加特林。予弱者以“勇”，就是文...

                         "
18,辽宁省,"《刺杀小说家》始终是今年春节档中，我最看好的一部电影，这和之前看到“路阳拍到头发花白”有着直接关系。我挺想看看，双雪涛的这个几乎难以被影像化的故事，在经历了如此艰难、漫长的摄制过程之后，会呈现出什么效果。 简单来说，电影中因果互生的两个世界，源于两股力量的对...

                         "
19,江苏省,"

                        刚刚看完电影，来聊聊电影剧情，本人也不专业，就是个普通老百姓，就是看完之后觉得评分离奇高，跟我心中分数差距过大，于是觉得不能太被宣发误发导，市场需要有真实的声音。 ps，本人很敬佩杨幂商业成功的女性，值得敬佩。雷佳音我很喜欢，董子健没什么感觉，或许是大江大河角...

                         "
