序号,地区,评论
0,河南省,"同志电影《刻在你心底的名字》有资源下载的那天，仿佛gay圈盛事。 这电影今年9月30日在台湾上映，当天就成为台湾开片的票房冠军。最终，总票房夺得今年台湾地区第二名。 我们当然不可能公映……一直只能看到预告片，听到卢广仲的同名主题曲，在MV里猜测一点剧情。 终于等来了资...

                         "
1,河南省,"

                        作者： pASslosS 就在本月初，《刻在你心底的名字》成为首部票房突破1亿新台币大关的LGBTQ电影，也是台湾电影史上为数不多的几十部LGBTQ电影中票房最成功的一部。 本片由《刺客聂隐娘》《地球最后的夜晚》的摄影师姚宏易担任摄影指导，杜笃之担任声音指导。在今年金马奖上，该...

                         "
2,福建省,"我看这部片子时最大的感受是，很好看，但似乎总有那么些僵硬与牵强的地方。 影片的故事发生在TW解严的时代，那是个极度恐同，会因为身份暴露而被人毒打的年代。白先勇的《孽子》所书写的，也是这个时代的人。他们只能躲在地下，偷偷摸摸的，不自觉的、悄悄的、一点点的，争取自...

                         "
3,黑龙江省,"抱着非常高的期待去看，结果看完太失望了，首先吐槽一下角色 阿汉一开始被几个兄弟带出去找女生，其他几人都上了，结果就剩他没有行动，女生都主动了他还是没有反应（这时候的他还没意识到自己是同性恋），后来在浴室被几个兄弟要求殴打一个同性恋同学，差点打了下去，从这些事...

                         "
4,江苏省,"

                        四個符號 1. 瀑布 片尾的尼加拉(不是尼加拉瓜)瀑布明顯致敬《春光乍洩》的伊瓜蘇瀑布。後者是雙主角黎耀輝與何寶榮心心念念想前往的旅途終點，但最後兩人分道揚鑣。與黎耀輝的名台詞「因為我始終覺得站在這個瀑布下面應該是兩個人」不同，阿漢和Birdy曾同時出現在瀑布景觀台但...

                         "
5,山西省,"

                        也许我们的青春从来就不感人 ——写给《刻在你心底的名字》 作为一个男性，你有没有为另一个男性动过心呢，哪怕只是短短的一刹那？ 你认为男人爱上男人是一件可耻的事情吗？ 又或者，你爱上过一个类似王柏德的男孩吗？ 张家汉（陈昊森）与王柏德（曾敬骅），谁才是刻在你心底的...

                         "
6,陕西省,"看的時候一直很小心翼翼地不要用奇觀視角審視，盡可能地進入角色去理解他們的動機，但是代入的時候往往會被略顯文藝不生活的台詞、過於零碎的剪輯硬拽出來。向神父告解的線有許多情緒不連貫的地方，較片段化的故事裡又場場都是爆發的情緒，反而無法達到鋪陳情感的效果。 本片宣...

                         "
7,福建省,"

                        3月中旬《刻在你心底的名字》在日本大阪亚洲电影节举行了世界首映。由于疫情开始蔓延，电影节也受到了不小的影响，Q&amp;A环节被迫取消。但本片的导演柳广辉依然来到电影节现场，和观众一同观看了世界首映。有幸在大阪和柳广辉进行了一次长时间的对话。以下是采访的详细内容。 ...

                         "
8,河南省,"這部電影為什麼這麼火，因為它沒有像很多BL劇那樣夢幻得像個童話，而是把現實的冷酷展現給觀眾看。太多同志有過類似的經驗，從這電影裡面看到了他們自己，引起了很大共鳴，下面寫的這篇，就是結合自己的經歷以及電影裡的劇情一起。 很慚愧，我不像電影裡阿漢那樣，一次刻骨銘心...

                         "
9,四川省,"①写在前面： 这不是影评，只是以Birdy的视角对影片的重述。 其实Birdy比阿汉更早心动，只不过阿汉是奋不顾身一路奔向Birdy，而Birdy更想要保护阿汉，因为他知道“同性恋”的称号只需要冠在他一个人头上就够了，他不想阿汉受伤，他想让他好好活下去。 到最后满眼都是阿汉的他，...

                         "
