序号,地区,评论
0,广东省,"先上结论：制作精良，但实际上完全强改原著精神，可谓是假哆啦a梦。真哆啦a梦为孩子们打开更大的世界更远的梦想，去探索去担当；假哆啦a梦拿原著设定搞意淫，很多桥段挺猥琐的。我对男性向爽文没意见，但男性向爽文充全年龄就是制作方不对了。 我们逐一分析一下。 1、两部《伴...

                         "
1,广东省,"

                        没有任何准备地去看《哆啦A梦：伴我同行2》，结果一上来就被烧脑到：频繁的时光机之旅，交织的时间线，奇妙的灵魂互换，加上“反祖父悖论”，可以说是我看过叙事上最多设计的一部哆啦A梦了。然而随着剧情的不断推进，情感上涌，亲情攻势开始如浪潮一般袭来，令人猝不及防。最终...

                         "
2,广东省,"提到“竹蜻蜓”你会想到什么？是上手玩过的实体玩具，还是屏幕里见过的虚拟飞行器？ 作为飞行器的竹蜻蜓带着哆啦A梦飞越了半个世纪，而作为传统玩具的竹蜻蜓，却已随着一代人甚至几代人的童年一起消失了。藤子·F·不二雄先生从自己的童年经历深处汲取灵感，将遥远而真实的梦延...

                         "
3,云南省,"

                        （ 如果你小于18岁或者心理年龄小于18希望你能不要看这篇影评） 对于哆啦A梦这样长寿的动漫来说，在2D转向3D的时代大浪中也选择了融入，当哆啦A梦由平面变成立体，那还是原来那个藤子·F·不二雄创造出来的哆啦A梦吗？之前就有民间流传的哆啦A梦的一个结尾，在这个结尾中，大雄...

                         "
4,上海市,"

                        传统剧场版主要就是一段充满商业娱乐元素的冒险故事，情节无非老三样： &lt;br&gt;1，大雄见到什么稀奇古怪的东西，跑去和同学说，被嘲笑。 &lt;br&gt;2，在哆啦a梦的帮助下，一群人进入了一个新世界，见到了大雄所说的一切，众人被打脸。 &lt;br&gt;3，第一天痛痛快快地玩，认...

                         "
5,福建省,"

                        我已经接近十年没有认真地看过《哆啦A梦》了，它陪着我长大，我却在自认为成熟的时候抛下了他。昨天夜里看《哆啦A梦：伴我同行2》，有点恍惚，小时候看了只会笑得前仰后合的动画片，这一次却却让我泪流满面。 它不止是一部奇思妙想的动画电影，也不止是大雄静香的爱情故事，而...

                         "
6,四川省,"随着年龄越来越大，人生困境之念几乎成了意识的背景音，如同某种慢性疼痛，只有少数注意力完全集中在某件事上之时才能逃开。于是，各种事情都会成为相关的素材。 其实事情很简单，困局的本质并非外在的局面，而是人本身，我的监狱就是我自己，某种程度上，可以说就这样被焊死在...

                         "
7,海南省,"我不太爱看动画电影，也不喜欢重温儿时挚爱的经典。被千万次修改、包装的童话故事完美得像宴会上点缀着樱桃的蛋糕，光看一眼就能想象出它酸甜的味道。作为二十一世纪的电影观众，我们看过太多公式化的真善美，也容易对大多情节单调的动画电影感到乏味。 当我看了《哆啦A梦：伴...

                         "
8,湖南省,"

                        要给爱的人幸福，在不知道自己行不行之前，成年的大雄在畏缩与逃避，等到，明白自己可以承担责任后，便不顾一切地要回去 ，那些躲避实际上是在犹豫，在害怕，在徘徊，如果只是静香觉得自己没有人照顾就活不下去，所以才嫁给自己，那静香岂不是太可怜了，给所有爱的人，幸福，这...

                         "
9,四川省,"

                        要给爱的人幸福，在不知道自己行不行之前，成年的大雄在畏缩与逃避，等到，明白自己可以承担责任后，便不顾一切地要回去 ，那些躲避实际上是在犹豫，在害怕，在徘徊，如果只是静香觉得自己没有人照顾就活不下去，所以才嫁给自己，那静香岂不是太可怜了，给所有爱的人，幸福，这...

                         "
