序号,地区,评论
0,江西省,"这篇影评楼主整合之后发布在了微信公众号 空想放送局，把这篇长长长的影评的顺序和结构又重新梳理了一遍，看上去会更直观一些，大家有兴趣的话可以找来看看 7.19号楼主一刷完觉得很不舒服，主要谈了电影一些让人觉得不太舒服的点，7.20主要写了这部电影风格杂糅的问题，7.21号...

                         "
1,黑龙江省,"

                        电影《 #哪吒之魔童降世# 》影评，分数给的都是特效。本篇只论剧情。 前期看到无数有头有脸的大V说好看，说剧情好，人物好。就和朋友约了电影院，我也很期待。看完就一个感想，早知道是这种剧情，倒贴十倍电影票，我都不看。如果你不同意我的观点，那不妨先看看我为什么对这部...

                         "
2,浙江省,"首先說一句，《哪吒之魔童降世》的製作水準確實不錯，在商業性上當然也已經被觀眾口碑證明了成功，這些方面便不再贅述。 只談談自己在創作角度對於這部電影的看法，包括劇作、改編和人物等等。 有不少人覺得《魔童降世》的劇作很好。這種「好」的印象來自於戲本身的節奏或情感...

                         "
3,天津市,"小时候看“哪吒闹海”的神话传说，完全不同于其他神话的意气风发，伤心难过之余更多的是恐惧惊诧，李靖到底是怎样绝情的父亲啊！何至于要逼到一个3岁的孩子“割肉还母，剔骨还父”，刚烈自尽……虽然我承认“割肉还母，剔骨还父”这八个字冲击力够大，戏剧性够强。 后来，哪吒...

                         "
4,吉林省,"

                        7月30号写的这篇影评，当时的评分是8.8，今天是10月15号，评分已经下降到8.5了，从刚上映的时候写差评还得匿名，而且写了差评后被一堆一堆的狂热粉人身攻击（大量骂我汉奸死妈的评论被我举报删除了），到现在支持我的评论多过了谩骂。谈不上高兴，只是欣慰越来越多理性的声音出...

                         "
5,陕西省,"开门见山，2019年暑期档最值得一看的电影，就是这部。 依照目前的发展走势，《哪吒之魔童降世》大概正在重走当年《大圣归来》的路线，或许在这个青黄不接、缺斤短两的暑期电影市场，本片的承担的“任务”，要比后者更加重，空间也更加广阔。 为什么如此肯定，近几年的华语动画...

                         "
6,四川省,"

                        7.21 写在前面一点说明 这篇影评我看完点映后半夜写的，现在快八百篇影评了我也不知道为啥排在这么前（可能写的比较早？）。看了那么多不喜欢或喷的评论，总结下大概有两类： 1⃣️ 就是部娱乐电影大家乐呵乐呵完事了/国产动画拍成这样非常优秀了没必要骨头里挑鸡蛋 如果你...

                         "
7,山西省,"导演匪夷所思地整出一个非常和谐的父爱如山的亲子题材。 如果把孙悟空搞成一个跪舔玉帝老儿的猴子，那还叫齐天大圣？ 哪吒的精魂何在？ 敬鬼神而远之的华夏凭什么在宗教遍布的世界傲然挺立？ 传统文化百善孝为先，父为子纲，以礼杀人，以等级、辈分杀人， 如木吒所言： “ 天下...

                         "
8,上海市,"

                        我对故事剧情观感很差，只是个人感想，给电影高分的各位就别看了，省的彼此都不痛快。 不知道别人为什么看完对哪吒如此有好感，我在影院一边看一边气，到最后更是非常不爽，只想找人好好提溜着哪吒的耳朵，教教他到底怎么做人。 所有对哪吒恶行的洗白和解释都是如此苍白，而作...

                         "
9,山西省,"天热又大雨，但还是跟基友一起去看了哪吒，不得不说这片子的宣发很到位了，铺天盖地的藕饼cp，只要打开社交媒体就能迅速冲进眼睛，让你感觉不看这部电影就会脱离当今青少年潮流。 然而看完之后的感受，怎么说呢，五味杂陈。首先体现在对哪吒故事精神内核的感受上。哪吒的故事怎...

                         "
