序号,地区,评论
0,山西省,"简单说下这片。 不上院线是明智的，因为这样的做法徐峥还赚了不少好感，而且有平台埋单，名利双收，否则单凭电影水准的话。。。 《囧妈》首映的时候我就看了，是问前同事要得票。看完后同事问我咋样，我表示并不喜欢，但因为情面，答应人家映前不发声，现在终于可以说了。 一句...

                         "
1,山东省,"

                        看电影最大的感受就是，虽然很多很多地方不一样，但是就是感觉这就是我妈妈。 可能我就是你们嘴里的水军，那。。有没有兄弟给个群号让我赚个钱？ ------------------------------------------------------------ 我一直认为一部好的电影，只需要做到一件事就行了。 看完以后，...

                         "
2,天津市,"

                        看电影时，我在想徐峥饰演的徐伊万有多大？之所以好奇这个问题，是忽然想起村上春树一个采访，有人问他为何他小说中的主人公多是三十五六岁，村上说：“（他们）还停留在人生的中间地带。我想我的主角需要的，大概是扮演故事的‘引水人’。如果到了五、六十岁，会有人生的种种...

                         "
3,辽宁省,"

                        在电影《囧妈》上映前，不少人便知晓有一趟从北京开到莫斯科的国际列车，但由于购票方式的特殊和办理签证的繁琐，这趟列车在大多数人心中仍旧十分神秘。如今《囧妈》的“免费观看”，使这趟列车瞬间成为这个春节档曝光率最高的网红火车，无数观众的好奇心也随之燃起。但仅仅依...

                         "
4,江苏省,"

                        1月23日，春节档7部电影全部宣布撤档。 第二天，《囧妈》以6.3亿的价格将播放权卖给了字节跳动，并宣布将于大年初一在字节跳动的视频平台上播出。 这件事很快就上了热搜，而且排名热搜榜第一，与此同时《囧妈》的导演徐峥也上了热搜。 不少网友为《囧妈》免费播出拍手叫好，另...

                         "
5,陕西省,"谁他M的是水军谁大年初一吃翔，冤枉人是水军的喷子及水军2020年全年都吃翔。 上面这条，默认所有就本文发表评论的人都已发毒誓认可！无脑喷子及水军叼好盆子排队接新年大餐。 本意只是很好奇这次脑洞大开的事件营销，想抛砖引玉，看有没高人出来揭揭秘——比如究竟是APP找的片...

                         "
6,云南省,"各位新年好，大家都看《囧妈》了吗，今天我们就来聊聊这片子。 会分两个部分来探讨，一个戏里，一个戏外。 基于《囧妈》这次特别的操作和关注度，我们先并整理出一个简单的时间线。 1月20号，正好是疫情开始全面防控的时间点，《囧妈》和《夺冠》宣布提档。原本春节档电影大家...

                         "
7,天津市,"

                        好久没有骂电影，最近也开始了“前途无量”的自我反省，在看完了《囧妈》以后有了新的进展，正好趁这个不用出去探亲访友，也没法去外面胡吃海塞，更没有理由能去电影院的日子里，跟大家好好聊聊。 我相信昨天很多人都在说关于《囧妈》的事情。现在我们来理一理思路。首先，我们...

                         "
8,河南省,"《囧妈》可以在网上免费看了，多好，咱老百姓，谁给我看，我就夸谁。 作为一部贺岁电影，《囧妈》是过关的。贺岁电影嘛，重点是热闹温馨合家欢，适合一家人一起看，完了就电影聊几个回合，增加点话题和对彼此的了解，这就够了。《囧妈》太适合一家人看了，这不正好探讨的就是两...

                         "
9,台湾省,"在一觉醒来已经是大年初一的凌晨2点。看了这部电影。 我的妈妈包好了饺子，本该喊我醒来煮饺子跨年。估计没舍得喊我。我醒来时，她也已经睡着了。 我是噩梦惊醒的，梦到一直大老鼠钻进了我的裤腿里，甩不出去。鼠年到了应该是个吉祥的梦。 电影 竟然可以在头条上看完。开始我以...

                         "
10,天津市,"看完整部电影，我才理解了徐峥为什么要卖电影给网络媒体，这部电影就是为春节档订制的，错过了这个档期任何时候都无法再获得如此的双赢。 如果徐峥在互联网行业，他一定是一个绝佳的产品经理。这部电影在他的精心设计下，有精准的产品用户（春节档三四城市观众），明确的用户需...

                         "
11,河南省,"除夕夜，给自己一个熬夜的正当理由，终于看完了徐峥导演的《囧妈》。 小时候，我的爸爸妈妈吵过无数次架，打过无数次架，但是我对妈妈说，等我长大了我会保护你。妈妈后来对我说，她有一百万个冲动想一走了之，但是看到我，她就不忍心了，她是在为我而活。 电影中，居然真的就...

                         "
12,青海省,"

                        工作性质的原因，我大概是最早一批回家过年的，本以为和往年一样，会在家百无聊赖躺上十几天，吃吃零食看看电影，没什么意外，也没什么惊喜。 没想到从武汉疫情的爆发到封城，短短几天内，每天醒来接收到的坏消息甚至没有给大家反应的时间，原本旅游度假、走亲访友的春节，一时...

                         "
13,陕西省,"1,妈妈团在红星剧院深情地唱红梅花儿开的时候，突然泪目…妈妈在那一刻有她自己的光芒。不是丈夫旁边的背景，不是追在儿子后面的女人，是有热爱有梦想的一个人啊 2，原来一江春水向东流hakuna matata啊，其实没get到是什么意思… 3，妈妈讲成语那一段真的笑死了，全天下妈妈们...

                         "
14,上海市,"

                        和家人满心期待的在大年初一点开了《囧妈》，结果有些失望。仅有的几分送给这次网络首映和袁泉的知性美。 我对于这次电影有几个槽点不吐不快，仅代表个人看法。 1.自己不选择几个小时的飞机偏要做六天六夜的火车就让人叹服，明知道别人都是做的飞机（给我的理由是强行尴尬按照...

                         "
15,云南省,"这是一个新系列，旨在抛砖引玉，提供评论以外之另一种可能。 作为2020年春节档为数不多的一点暖意，《囧妈》在上线之后却并没有得到一致好评。 抛开商业争议不提，客观地讲，尽管徐峥在演员和导演的位置上的成长与成就有目共睹，无论是横向还是纵向，《囧妈》都算不得是一部令...

                         "
