序号,地区,评论
0,安徽省,"

                        不知道你现在是否还记得，在年初我们的生活还没有被永久改变的时候，曾经有一个消息说：《中国女排》可能要被撤了！ 当初流言四起，一会陈忠和不满意片中形象，一会排管高层不满片中内容，一会女排队员不乐意署名了，等等等等。 虽然后来好像一切都平稳解决，只不过影片的上映...

                         "
1,山东省,"（文/杨时旸） 如果剔除那些反类型的另类体育题材，仅从某个角度去看，美国的体育片是超级英雄电影的一个现实亚型，而中国的体育片则是主旋律电影的茁壮分支。但长久以来，中国的大银幕上却都缺少体育电影的存在，陈可辛的《夺冠》算是一次尝试，但这次尝试失败了。 陈可辛是一...

                         "
2,广东省,"本文不啰嗦，直接摆最关键问题。 陈可辛的前作《中国合伙人》，借鉴的是《社交网络》的剧作结构，即以一场诉讼案为线索，带着质疑的眼光走进人物，并以多视角、反复插叙的方式，完成“罗生门”式的多维立体的讲述。 这次《夺冠》，陈可辛再次借鉴艾伦·索金的另一部编剧作品《...

                         "
3,广东省,"

                        前言 平日里写影评最怕遇到的，就是一部电影它片里片外都有“事儿”。刚走个《八佰》，又来个《夺冠》（原名《中国女排》）。 这样的电影要评起来很不容易，因为片内片外两种因素在影响电影的最终呈现。有的影评会选择只根据最终呈现来评价，这当然是没问题的。但要全面客观地...

                         "
4,河北省,"

                        其实回想起来，陈可辛不是一个按套路出牌的人。《甜蜜蜜》、《如果·爱》、《中国合伙人》……你很难总结他的个人风格，但他也不会按你想象的方式拍电影。 因为题材总与时代勾连，他挑战的又往往是发生在当下的现代题材，对亿万经历过、也正在经历时代变迁的观众而言，每个人都...

                         "
5,新疆维吾尔自治区,"看完《夺冠》，感想如下。 第一，也是最重要的一点，就是影片的格局问题。这部影片试图以郎平的成长为线索，串起老女排与新女排的故事，着重描述了“五连冠”时期老女排、2008年北京奥运会陈忠和教练带队的女排，和2016年里约奥运会郎平带队的新女排。关键是，我就没看明白，导...

                         "
6,广东省,"电影原名中国女排，这是一个很难被浓缩进电影体量的宏大主题，陈可辛大胆挑战，结果在戏内戏外都壮烈失败。从艺术创作的角度来说，越大的题材越需要找准切入点，郎平自然是很好的选择。然而问题在于，以“中国女排”这四个字立项，兹事体大，选择突出个人，付出的代价就是更名...

                         "
7,江苏省,"

                        首先，作为陈可辛导演的作品，《夺冠》的故事是工整的，叙事基本流畅，演员演技在线，在表现竞技体育的镜头语言上也很有看点，是一部质量偏上的电影。 不过我这儿不想深究电影的文本，只想谈谈《夺冠》的主题。 陈可辛是一个有表达欲望的导演，《夺冠》和他的其它作品相似，其...

                         "
8,浙江省,"在观影前你需要知道三件事。 一、竞技体育非常残酷，成王败寇，搞竞技体育，太苦了。 二、1981年的排球规则，发球方才能得分，接发球方需要首先拿回发球权。如果对方发球，需要“得两分”才能加一分。所以可想而知当年的夺冠有多难，而且1981年至1986年，是五连冠。 三、中国女...

                         "
9,浙江省,"豆瓣热门的几个低分评论，是有些道理。一类低分，认为有无法言说的外力干扰影片创作，使得表达模糊不清；另一类低分，认为本片创作本身并无高级之处，形神皆散。 我自己看的时候，也有一些低预期，一开始的心态的确是挑刺的。比如我特别希望陈可辛能在视听上对排球这一非常具有...

                         "
10,辽宁省,"点映场，陈可辛导演说，这个故事的容量可以拍网剧了，会更丰满。 我也这么觉得。 如果是网剧的形式，20集，将女排从80年代到2019年的历程一步一步徐徐展开。我能想象的是，会比全职高手原著的叙事方式更精彩，毕竟真实的事件远比虚构的作品有力量。 可是啊，毕竟资源有限，网剧...

                         "
11,上海市,"

                        《夺冠》这个电影真的命途多舛。 从《中国女排》被更名开始，就可以预见阻力不断。包括陈忠实的阻挠，以及据说不可知的很多力量。 大家对于女排的认知，和女排不断在升级的力量，郎平一直以来不断继续用自己的努力创造的科学的奇迹，其实或多或少都激发大家对这个电影的期待。 ...

                         "
12,北京市,"新瓶装旧酒的「情绪电影」。调动观众泪腺的究竟是「爱国主义」精神还是体育电影本身的紧张曲折？时间来到里约奥运会，黄渤面前那台九十年代的电视机还是露了馅，所谓女排精神，不过是画幅以外那个属于上世纪的陈旧外壳。剧本写作不可谓不工——前半段突出八十年代「老女排精神...

                         "
13,河南省,"本文首发于深焦DeepFocus 似乎少有香港导演如吴宇森、林岭东，在创作生命的多数时间专注一种品牌和类型耕耘；似乎也少有如香港影人般，总面临被叵测变幻的时代、体制、市场淘汰的风险。为了顺应不同出口市场的需求，迅速练就出“十八般武艺”，在各种类型、语境、价值导向、意...

                         "
14,浙江省,"2020年，不平凡的一年，《夺冠》终于上映了，从一开始定档到如今正式进入院线，这中间经历了很多，恍如隔世，虽然它姗姗来迟，但期待依然还在，为了陈可辛、为了巩俐，为了中国女排，也值得一张电影票，值得重新走进电影院。 《中国女排》，现更名为《夺冠》，陈可辛要给我们讲...

                         "
