序号,地区,评论
0,河南省,"

                        感觉口碑会两极分化非常严重，因为这确实不是一个纯娱乐的电影，但是我非常喜欢，看的时候一直在想： 所以，现在电影能触及的最大底线，能讨论的最大尺度，都要靠动画电影来探索了吗？ 老实说，在看《姜子牙》之前，我对它的期望并不高。原因显而易见 1、老蹭《哪吒》的热度，...

                         "
1,贵州省,"

                        动画效果几乎满分，这里只说剧情。 很多人说剧情烂，但是剧情根本不烂，只不过一开始进入剧情比较慢，留了很多伏笔，慢慢铺展悬疑，最后解开谜团。 我看到好多在电影院看了20分钟就过来打一星的，这些人可能平时在网上看解说或者开倍速看网大看习惯了，无法认真完整地欣赏一部...

                         "
2,台湾省,"

                        去年《哪吒》大火后，看到封神宇宙接棒的第二个人物是姜子牙时，暗暗捏把汗，这个选角真的很险。 首先，姜子牙的原始设定就非常无聊，七八十岁的老头子，迂腐又正经，一个替天行道的工具人，浑身上下开满了挂，没性格没破绽没意外，谁都知道故事的最后他会辅佐武王伐纣成功，然...

                         "
3,河南省,"

                        本文纯属虚构。 某公司。 制片人：我们准备拍《姜子牙》了，你去写一个剧本吧。 编剧：我正忙着写另一个剧本呢。 制片人：另一个剧本是讲什么的？ 编剧：故事发生在美国，州长叫黑帮老大配合他演一场戏，黑帮去杀人，州长叫警局歼灭黑帮。 州长对黑帮老大说，所谓的“歼灭黑帮...

                         "
4,海南省,"

                        国庆节一大早，买了9点25的IMAX，总体观感比较失望。 先说好的，动画效果4.5分。 电影不用分什么国产还是进口，大家在同一个赛场竞争，市场标准在那摆着，你就得做出那样的货色。 可以说，在动画效果上，姜子牙是做到了，和3D结合得也挺赞的，值得用IMAX呈现。这方面不输进口动...

                         "
5,广东省,"三星半。 看的IMAX版，之前挺期待的，看完比较失望：画面可以给4.5星，精致细腻，宏大有气势，美术设计水准很高。IMAX的3D效果和巨幕的逼真画面确实让人享受；影片的立意很高，从“救一人与救苍生”到“撕下神灵假面”，比《哪吒》有深度！ 然而，剧本相当成问题，只能给两星。...

                         "
6,河北省,"重说这部《姜子牙》。作为电影，该片提供了不错的观感，尤其是美术风格，东方式魔幻氛围，个人挺喜欢的，但并不代表电影没有问题，包括故事和剧情推进这些的都是缺点，有问题但我不认为是烂片。 而且这也是一部很严肃、深沉的电影，与大家想象的“动画片”不太一样。电影我给四...

                         "
7,天津市,"这是一个故事细节讨论文，只关于故事本身。 编剧的立意都懂，一人不救何以救苍生的主题非常赞，但也不妨碍观众看着憋屈，原因不在于一个简单的阴毛故弄玄虚地整了快两小时，而在于这漫长的且拖沓的故事推进中，角色行事缺乏足够的驱动力、动作场景几乎是灾难指数、各种剧情逻辑...

                         "
8,湖北省,"

                        作为一个80后，我是在一本国产漫画书里知道的姜子牙。而吸引我看这部漫画书的，则是哪吒。感谢三太子，他这一折腾，把童年的自己折腾到封神演义的世界中，从而认识了一帮牛鬼蛇神。姜子牙无疑是其中的杰出代表。作为赫赫有名的姜尚，姜子牙绝非什么架空人物，我们在小学历史课...

                         "
9,天津市,"

                        我就纯粹吐吐槽，师尊让姜子牙在天上杀九尾之前的剧情我错过了，据说是段精彩的2D动画，忽略不计。 1、小九从一出场，在北海的破酒吧里就认识姜子牙。但是后面被打生气了，小九竟问说“难道你也想猎狐去静虚宫请赏‘？ 这是个啥世界观啊，你认识姜子牙难道不知道他现在啥逼样吗...

                         "
