序号,地区,评论
0,北京市,"

                        1.基宇伪造资料上的毕业大学延世大学，是导演奉俊昊的母校，他是该校88级的社会系学生。 延世大学与高丽大学、以及基宇父亲提到的首尔大学是韩国公认最著名的三所超一流大学，只有高考成绩在前百分之一的学生才有机会被录取，近年来的韩国失业青年多在百万计（截止2018年韩国总...

                         "
1,黑龙江省,"

                        盼了一天盼到了寄生虫的熟肉，同时也发现基本上好评如潮。我对于寄生虫的评分是7/10.事实上我一度想打4/10，但是冷静下来平心而论，这还是一部完成度很高而且表达效果很好的大众电影，但是金棕榈确实觉得名不副实。这部片子有极多的优点这我完全不否认，但我也觉得没有什么复述...

                         "
2,北京市,"

                        《寄生虫》是一部让我失望的电影。 我不喜欢“穷人的味道”这个符号，太刻意也太没有起作用。石头、披萨、虫子、杀虫剂、尿尿的男人，以及半地下室、地下室、豪宅这一系列符号，我觉得都没有使用好。不是太生硬，就是太强调，要不就是虎头蛇尾。 我不喜欢《寄生虫》所描摹的上...

                         "
3,重庆市,"看完《寄生虫》，和朋友们聊了聊，大家一致认同这部电影隐喻气息浓烈，达成共识后就丢下了它，没想到这几天翻了翻影评，发现很多人都认为这是在讲述阶级的隐喻，又和朋友们聊了聊，才发现我们一开始就有一点不同的看法。 我个人的看法是，这电影讲的是韩国史。 韩国，东亚的殖...

                         "
4,四川省,"那天我在公司和一群从美国赶来一起参加比稿的高层一起改PPT改到了晚上10点。 我是个美工，是整个项目创意组的一颗螺丝钉，160多页的PPT凝聚了两个国家的两个公司的7个团队的心血，在跟着他们连续加班了两个星期以后，他们交给了我一页团队名单的PPT吩咐我美化，而上面没有提到...

                         "
5,浙江省,"如要实力演绎吹爆《寄生虫》，那么，可以动用奥逊·威尔斯般的天才句式—— 这不仅是有史以来最好的韩国电影，而且从今往后都将是韩国电影史上最好的电影。 可惜，话搁奉俊昊身上，不太好成立。 因为，他是拍出《杀人回忆》，被封为韩国史上最佳电影，冲击着世界电影史TOP榜单...

                         "
6,山东省,"今天，要给大家讲解一下，如何用正确姿势的解读这部电影。 什么叫正确的姿势？ 其实是说，电影内外，很多信息大部分观众是不知道的，因此就会产生误读和误解。 仅在视听技巧和电影质量上，给《寄生虫》打9.5分以上，应该没人会反对吧。不管对这部电影观感如何，此片技术成熟可...

                         "
7,吉林省,"

                        《寄生虫》由拍摄过《杀人回忆》的奉俊昊执导，青龙影帝宋康昊主演，光是这导演、主演的配置就必看了，更别说前不久还拿下了戛纳电影节金棕榈奖。 假如《寄生虫》能获得明年奥斯卡的最佳外语片，我也丝毫不惊讶。 《寄生虫》作为一部商业片，又入木三分地探讨了许多社会话题； ...

                         "
8,湖北省,"

                        【早上随便写写，你们随便看看——完全没有打磨文字，就是大白话吹吹水】 想想还是要参加一下影评大赛...否则怎么蹭热度、骗粉呢？【以下含剧透】奉《母亲》之后一直有点让人失望，开始觉得是好莱坞、Netflix限制了他，现在看看或许是迷影型导演太过执着了技巧与机巧，但放弃了...

                         "
9,广东省,"

                        本文修改版可见于[「陀螺电影」]： 为什么《寄生虫》里的富人们那么蠢？ 「现实」：顽抗荒诞的薄膜 在对于《寄生虫》的不同评价中，剧情是否足够可信已然成为争论的焦点。对于不少观众而言，奉俊昊在这个精巧的寓言故事中所装载的情节信息充斥着大量不符合现实社会逻辑的细节，...

                         "
10,新疆维吾尔自治区,"如果为《寄生虫》寻找参考样本的话，比较容易联想到的影片有金绮泳版《下女》、约瑟夫·罗西《仆人》、夏布洛尔《冷酷祭奠》。在五月戛纳的颁奖典礼上，手握韩国史上首个金棕榈奖的奉俊昊发表的感谢词里还特别提到了夏布洛尔。视希区柯克为恩师的夏布洛尔，毕生钟情于用悬念、...

                         "
11,广东省,"

                        寄生虫你们都偷偷看了吧，好的坏的地方你们也都说差不多了，听说版权已经卖给了国内。那我就对国内版本的剧本提一些自己的小建议。 想法可能不太成熟请多多包涵。 男主一家生活在社会最底   层，家里虽然穷但是其乐融融。爸爸的人设就是工作勤奋老实，只会埋头干活不会溜须拍马...

                         "
12,四川省,"

                        影片有多处反转，不仅是情节的反转，还有类型的反转。所以如果你不小心被剧透了，可能会想要拿石头先砸剧透者的脑袋然后再砸自己的脑袋。建议观看正片之前不要看任何涉及剧透的文字，最好连预告片都不要看。未看正片就擅自继续向下翻阅者，后果自负。 主角一家四口挤在阴暗的地...

                         "
