序号,地区,评论
0,北京市,"2010年6月的盛夏，我清早来到教室，发现同桌同学的书桌桌肚里被恶意洒满了酸奶。那酸奶粘稠地蔓延在她的作业、课本、桌椅上，散发出令人作呕的腐臭。我清楚地记得，那天距离高考只剩6天。 我并不特别意外，毕竟高三这一年，同桌陆陆续续被欺负很多次。开始是莫名丢了复习用的课...

                         "
1,海南省,"

                        和一些讨论电影的朋友对话在评论里，有一些新的看法。然后是因为我没有打高分，某些？？？在集体刷无用，准备给我刷下去？ 本片在电影外展示出来的东西，可能比电影本身更精彩吧。 再此感谢评论中一起讨论的朋友，不管是和我意见相同或者相左的，至少我们是在讨论一部电影，可...

                         "
2,安徽省,"《少年的你》，一部出乎我意料的电影。 可以明显地看到，曾国祥在这部作品中对前作《七月与安生》的继承与改变——仍旧是大段的手持、人物大特写，仍旧是在层次复杂的大胆反转中揭示人物最深的情感。但不一样的是，《少年的你》将一切都处理得更为极致，无论是前半部中的校园问...

                         "
3,湖南省,"（文/杨时旸） 《少年的你》获得如此高的口碑，可能来自于三层原因：易烊千玺作为流量明星展现出了令人惊喜的演技，让他原本的粉丝有吹捧的资本，并且俘获了那些对流量鲜肉不屑者的刮目相看；几个月前定档又撤档之后的愤懑如今终于有了机会进行超量反扑式的补偿；“校园暴力和...

                         "
4,广东省,"

                        不出意外，这就是我的年度华语最佳了，无懈可击那种。 这绝对是一部命运多舛的电影：原著被爆抄袭东野圭吾，被迫退出柏林电影节，上映前又火速撤档，在经历了不知多少次的修改、审查和妥协后，又在前几天草草定档10月25日。电影市场如此动荡的一年，这片也只是一个稍显可惜的牺...

                         "
5,天津市,"一  重庆 重庆是一座陡峭的城市。成都在平原，富庶，安逸，圈起来的一块安乐地。重庆是跑码头讨生活的地方，江湖，血性，卑贱而悍勇，如果说成都的空间关系是平行的，那么重庆是垂直的。像一座爬不完的天梯。 电影取了很多垂直的空间：学校如同一个巨大的井，中间拢住的那一小...

                         "
6,湖北省,"

                        这篇文章写了一年多了，当时片子的评分是8.7分，就我在影院看到的版本来说，实话实说，确实不值。观影是个人的主观感受，每个人都有权发表自己的观点，不能因为它现在奥斯卡提名我就必须改口称神。每个人都可以反对，但请为子孙积德，保持素质，不要在评论下面发表偏激言论。尤...

                         "
7,辽宁省,"

                        今年1月，《少年的你》入围柏林新生代单元，然而后来官方却宣布退出柏林展映。 5月，《少年的你》宣布定档6月27日，最终还是没能如期上映。 10月22日，《少年的你》突然宣布重新定档10月25日。 几经折腾，这部电影终于与我们见面。 据说《少年的你》前前后后一共删减了7分钟，...

                         "
8,云南省,"

                        11月1日8时51分更新： 经观察，本影评于10月30日晚被点击“没用”数量暴增（800条左右），除此之外评论区突然出现不少人身攻击评论（点进发言人主页，通常为刚注册账号）。原因不明，仅对现象作记录。 先从剧情以及主角的角度谈一下。 1.先谈剧情之不合理与重大漏洞。其一，案...

                         "
9,四川省,"没有人会孤独，我们都是社会的一部分。 没有人有权利绝望，我们要使明天更好。 —— A Better Tomorrow 《少年的你》有许多拦路虎。 开片就是对校园霸凌的文字介绍。如此一来，令电影的方向不会偏移到青春早恋（《青春派》），也不是滑向更加危险，社会新闻化的少年犯（《少女...

                         "
