序号,地区,评论
0,广东省,"

                        如果你的2020年和我一样糟糕，年末实在没有什么值得总结只能勉强交出一份“我还活着”的答卷，那么当你看完《心灵奇旅》这部动画片时，也许会在世界某个角落和我一起击掌——是的，一事无成也没关系，至少这个故事给了我们慰藉。 皮克斯用第23部动画长片证明它在创新路上已走得...

                         "
1,北京市,"在我的人生里，有过一场重大的幻灭。 那是在我即将满十八岁的夏天，我站在我小学后操场的主席台中央，伸手抓着被太阳晒得发热的旗杆，闭上眼睛再睁开，眼前的一切依旧空荡安静。 没有人知道那一刻对我来说意义有多重大。 由于我爸的工作，我从小就一直跟着父母辗转于不同的城市...

                         "
2,湖北省,"创意还行，故事略硬，不够取信于人，至少没能取信于我。有种为了讲这么一个活在当下的主题，硬设计了这么一个故事的感觉。 不知有没有人有同感，全片整体都跟寻梦的发展路线太像，但后半部分却没有推上去，人物转变生硬，虎头蛇尾。以致于看完我莫名产生一种想模仿寻梦却没仿成...

                         "
3,河北省,"（本文皆为跟电影无关的题外话，只是希望大家在点进评论区后不被另一长评毁掉好心情而写，写完也觉得有点不至于，但由于我真的很爱皮克斯也爱道导也爱诺兰，忍不住还是想回嘴。也希望在影片上映后，观众都能用心体会主创真正想向大家传达的内容。） 就很离谱。 先不说本片讲的...

                         "
4,上海市,"先上结论：皮克斯新片《soul》，和之前的作品《飞屋环游记》、《寻梦环游记》一样，是一部逻辑混乱、乃至伪善的作品，其中笑点涉及到了职场霸凌（这个格调并不比春晚上的小品高级），剧情主线甚至在讲走后门。它当然有很多优点，但优点都是技术层面的，有非常感人的亲情片段、...

                         "
5,山西省,"《怪兽电力公司》是我小时候记忆里最早看过，并且印象最深的皮克斯动画。直到今天，我依然记得在小学的电脑机房里，两个同学分享一台电脑看电影的场景。《怪兽电力公司》时间不长，一个半小时的电影时间被分配成了三四节电脑课才能完整地看完。每节电脑课上课铃还没响，所有同...

                         "
6,广西壮族自治区,"本来打算过两天去看的，但是今天下午一开分，芜湖9.2！圣诞夜给我冲！ 整个电影太高级了！从内而外，视听嗅味触通五感的高级！ 主题上，它探讨了一个终极的哲学问题：“人究竟为什么活着？”男主是一个不得志的jazz钢琴师，他终于得到梦寐以求的演出机会，结果走路太开心，死了...

                         "
7,河北省,"若论一部适合今年收尾的影片，我会毫不犹豫地推荐皮克斯2020年力作《心灵奇旅》，疫情尚且笼罩的当下，全球电影市场的式微肉眼可见，而这部好笑又好哭的治愈系作品无疑是令人瞩目的。从整体观感来讲，可以简单粗暴地对标皮克斯以往口碑作品——《头脑特工队》和《寻梦环游记》...

                         "
8,福建省,"

                        [视频] 《心灵奇旅》豆瓣9.1分，是今年评分最高的电影。 皮克斯不用多说了，从1995年拍摄《玩具总动员》开始，至今已经拿了10次奥斯卡最佳动画长片，《心灵奇旅》多半也是明年奥斯卡最佳动画长片了。 可惜《心灵奇旅》运气不好，竟然和郭敬明的电影同一天上映，上映当天排片被...

                         "
9,浙江省,"

                        以下都是我的个人见解，如有异议，请理性进行讨论，感谢。 话不多说，进入主题。 这部电影一上映，我就去电影院看了。连续两天我分别看了电影的国语版和英语版，发觉这次国语版配音真的很棒，不仅没有拖后腿而且在表达上层次更加丰富。 台词的情绪渲染 术业有专攻，我认为，这...

                         "
10,新疆维吾尔自治区,"《心灵奇旅》（Soul）的背后，涉及了非常丰富的世界观：作为灵魂核心的Spark、生前与身后的神秘世界、神秘主义、月亮神话、荣格心理学等等。这些设定并非凭空而来，而是都源自人类思想史上的显学，尤其影响深远的柏拉图主义。 因此这部片子极为深厚的文化内涵，多数观众在观看...

                         "
11,上海市,"在我看来，一部优秀的皮克斯动画长片由五个维度有机组成：脑洞大开的创意+引人入胜的故事+革新进取的技术+超凡脱俗的美术+共鸣共情的理念。于是，在上一部五个维度全面达标的《料理鼠王》（也是MTC上皮克斯最高分保持者）推出13年之后，我终于等来了这一部《心灵奇旅》，本文就...

                         "
12,上海市,"看完这电影，脑海里盘旋着……契科夫的短篇小说醋栗。 那个故事，说的是一对兄弟，其中的弟弟一生的梦想就是有一个小小的庄园，雇几个仆人，然后可以在庄园里种上自家的醋栗吃。他的哥哥对他的梦想不以为然，但弟弟的确就在为这个梦想而努力，省吃俭用，不断攒钱，还娶了年老难...

                         "
13,福建省,"

                        让我特别惊喜的不仅是整部电影美轮美奂的场景、爵士乐和深远积极的价值观，还有Soul当中的U学院设定也符合了儿童心理学家们对儿童性格的探索。 在U学院中每条灵魂都被赋予了特定的性格，集齐性格和火花之后才会被允许投放到地球的设定看似童话，其实和心理学界一直争论的理论重...

                         "
14,广东省,"

                        超级适合今年的电影，可以这么说，这是迪士尼皮克斯献给绝望之年的生之狂想曲！ 迪士尼的画面和情感冲击+皮克斯的脑洞和哲思，绝对是最无敌的！ 2020，死这个字离我们前所未有的近。新冠疫情肆虐全球，让我们疲惫不堪。而这部迪士尼皮克斯的《心灵奇旅》来的正是时候，电影很好...

                         "
15,山东省,"在Joe收到那个改变他人生的offer之前，他的人生如同他的名字一样平平无奇，连一个悲剧英雄式的失败都说不上。他住在纽约市Queens的一个昏暗的小开间里，每天吃同样的快餐，坐同样的地铁上下班，面对着和自己同样资质平庸的中学生。这天，他的同事兴奋地对他说：“Joe，恭喜你，...

                         "
16,广东省,"因为美国疫情仍旧严峻，皮克斯新电影上映这样每年的固定节目，我们本应是在影院吃吃爆米花喝喝大杯汽水的，今年也只能改在自家客厅通过订阅Disney+进行线上观影，好在仍有大包薯片和饮料在手，关掉灯静静体会这每一年都带来的熟悉又不同的感动，心想2020或许再也没有比这更合适...

                         "
17,贵州省,"

                        在皮克斯的最新动画大片《心灵奇旅》中，主创团队走了一条与众不同的“审丑路线”。影片中没有一对俊男美女，每个人都生着一张肥嘟嘟的脸。如果你敢歧视胖子，那就让所有出场角色都变成你讨厌的样子。这样的设定，难免会让人有些头大。不过熬过开场一段“磨合期”，相信你很快...

                         "
18,山东省,"

                        一颗橡树子可以说“迫切要求”成长为一颗橡树，一只老虎则必须向老虎的样子推进。 主角Joe在钢琴和爵士乐方面天赋异禀但始终缺乏机会。在经历了不计其数的拒绝、否认和退而求其次的职业选择后，终于有一天，得到了自己无比珍视的一次登台表演机会。 兴奋至极的他蹦跶在回家途中...

                         "
