序号,地区,评论
0,重庆市,"首先在此纪念Wes Craven(1939-2015)。 1984年他仅用180万美元编导《A Nightmare on Elm Street》，制作虽粗糙，但创建了一个启迪全世界的恐怖意念：人将会死于在梦中被杀死。 Wes Craven执导了《scream》1-4集（1996-2011）。从某种意义上说，借此系列他开创一种全新的类型解构...

                         "
1,山东省,"《惊声尖叫6》，在今年三月份初上映了，这个系列已经拍到了第六部，我都感觉自己老了。 我个人并不反感惊悚片，况且惊声尖叫这个IP成名已久。 站在商业的角度来看，即使惊声尖叫拍到第七部，第八部，我也不会有半点意外。赚钱嘛，不寒碜。 在已有五部前作的情况下，《惊声尖叫6...

                         "
2,北京市,"

                        个人觉得这部超级好看hhh（虽然也是jump scare 但我很吃这一套 并且我也刚好不喜欢那种灵异有“鬼”的那种恐怖片 只喜欢这种悬疑惊悚惊险的电影 所以私心真的真的很喜欢惊声尖叫！！！并且这一部我很满意！！ 首先是剧情和以前的也是串起来的（花了我一点时间去回想 因为已经不...

                         "
3,天津市,"在一个可以合法持枪的国家，知道被人追杀，不买把枪防身，非要用刀！ 每个人被捅几刀，也和没啥事一样！不管是凶手还是受害者！ 把凶手打倒在地，不去补上几刀，也不去拿武器，而是跑～～ 凶手可以随心所欲的进入任何场所～～ 受害者在开枪或动刀前，总是要出声提醒凶手～～ 警...

                         "
4,台湾省,"就是类似于美剧《you》的情节，主角就是杀手不行吗？就是女主真杀手，最后成功洗白并且嫁祸给配角多好。这种带上面具牛逼，摘下面具变傻逼的情节已经看腻了。。。。。。。。。不管男女带上面具没有废话，战斗力爆表，媲美特种兵。摘下面具秒变话痨，啰啰嗦嗦且刀刀不致命。。。...

                         "
5,河南省,"剧情还算是过得去，比前作略强，不过这刀刀不致命属实是给我看出戏了，尤其是最后老黑没死真是炸裂，最少捅了二十多刀，这怕不是个超英系列吧，这四个人可以组合一直干到第十部，致敬速度与激情系列..不过作为一部恐怖惊悚片它绝对及格了....................................

                         "
6,河南省,"第一部惊声尖叫，好像还是很小的时候，有点难理解这种无厘头的番茄酱搞笑恐怖片。 原本以为拍个两三部就不会再有续作的系列，一路延续了二十多年拍到了第六部，不但没有感觉明显的狗尾续貂滥竽充数，反而还有了一种继续拍下去没准能重获新生的期待，也是挺难得的。 第六部几乎...

                         "
7,辽宁省,"小卖部老板不直接开枪非要喊一声嘿，等人家回头。傻逼女主也是捡起手枪也非喊一声嘿提醒一下。黑人男一拳把杀手打的倒地不起不继续打，拔腿就跑。女主开枪打老头枪没子弹，老头枪明明有子弹不开枪非要一起抱着坠楼。门要被撞开了，记者拿到枪不等撞开门对着人打，你打门干毛啊...

                         "
8,浙江省,"2023美国恐怖片《惊声尖叫6》，全球累计票房1.68亿美元，定级R，豆瓣评分6.2，IMDb评分7.0。 这个IP真有生命力，2022年第五部重启后，第六部的口碑和票房都超越了第五部，看来肯定还会继续拍下去。《电锯惊魂》都在拍第十部，《惊声尖叫》才六部，路还长着呢。 第六部虽然豆瓣...

                         "
9,河南省,"女主几个上部都经历过了杀手而存活，现在一男四女居然打不过一男的？还有这电影导演不到最后一刻不让杀手死，每次打杀手前都要跟他说一声我来打你了！特别是记者盖儿部分的时候，旁边地上有枪不拿去拿杀手手上的刀，真是嫌自己死的不够快！最离谱的是，女主拿枪打杀手的时候居...

                         "
10,山东省,"打倒以后不补刀，就是跑，哎就是玩！。。。。。。。。。。。。。。。。。。。。。。。！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！。。。。。！！！！！！！！！！！。。。。。。。。。。。。。。。。。。！！！！！！！！！！！。。。。。。。。。，，，。...

                         "
11,上海市,"

                        022 年一月，《惊声尖叫》系列再度推出「重制续集」，这部既是续集又算重启的作品，事前看热闹的观众居多──大家都想看年轻团队如何搞砸这个经典系列。 一年过去，《惊声尖叫 6》推出了，现在大家对这部「重制续集的续集」好奇心大增。 为什么？ 因为去年《惊声尖叫》实在卖得...

                         "
12,山西省,"（B）这部是紧接着去年的第五部，如果前面四部没有看没关系，但第五部还是有很多关联的。我也是一边看一边才会想起第五部都发生了什么。我个人的感觉是这部比第五部要更血腥，恐怖气氛渲染得也更好。只是最后反派的反转有点太快，感觉有点突兀。 基本上这个系列也是在说原生家...

                         "
13,江苏省,"《惊声尖叫》系列并没有因为恐怖大师——韦斯克莱文爷爷的逝世而结束。 系列首部由非老爷子执导的《惊声尖叫5》在北美地区获得了不俗的口碑和可喜的票房，新的续集在今年第五部上映后不久就被提上了日程。 熟悉这个系列的人应该都知道，奈夫坎贝尔饰演的西德妮科莱特是这个系列...

                         "
14,浙江省,"系列剧中比较没有特色的一部，看不出亮点，只有剧情最后的变化才是唯一可看之处。至于整体剧情，实在没有什么特点，全篇都是杀戮，回忆杀戮。系列剧中比较没有特色的一部，看不出亮点，只有剧情最后的变化才是唯一可看之处。至于整体剧情，实在没有什么特点，全篇都是杀戮，回...

                         "
15,山西省,"平心而论，《惊声尖叫》这个系列我还是挺喜欢的。所以去年第五部时隔十年之后再度回春并且找准了自己定位（恐怖片吐槽恐怖片），第六部其实还是挺期待的。 没想到，跟大部分恐怖片一样，掉进了降智剧情的坑。 凶手好不好猜因人而异，但咱能不能不要一看到鬼脸杀手就跑，最夸张...

                         "
16,辽宁省,"本片的前半部给我的感觉还是很惊喜的，一开场就是来了个致敬第一部的开场（维文身材真棒！）。然后又来了个反套路，凶手直接露脸了。接着，鬼脸杀手不装了，直接当街当着一群路人的面就杀人，还直接用枪了。 本片最佳的戏是几个人分别坐上两辆载满各种经典恐怖片角色的列车，既...

                         "
