序号,地区,评论
0,香港特别行政区,"

                        优点我先说了：双轨制医保、山区交通、农村教育、西北农业，都是在戳当今社会的痛点。《北京好人》里送外卖的表舅那句“马上就到别打差评”也是。 整体不满意的点我也先说了：笑点都是老掉牙的段子，音效无节制到头疼，色彩审美低级，浮夸。还有过度依赖一些现代产品，比如抖音...

                         "
1,湖北省,"

                        因为《我和我的祖国》的缘故，本人对姊妹篇《我和我的家乡》没有任何期待。但电影出乎意料地带来了舒爽的类型快感，仅凭此便可称得上完全超越了她“姐姐”。在我看来，这就是一种主旋律电影的正确表达方式，当然，不是唯一的方式。 《家乡》的五个短片充满了巧思，将喜剧的类型...

                         "
2,澳门特别行政区,"

                        就来说说《我和我的祖….》，哦不，家乡吧。 可以想到，这部片子基本就是上面给到几位导演的一次课后作业，作为扶贫丰收年，这大导们的思想觉悟行不行就得看这作业啦。 五部看下来，发现导演们虽说都能在不同层面上把相关组织和观众伺候得舒服，但是业务水平是有明显的差距。 ...

                         "
3,辽宁省,"作者： 鲸鱼 我想聊聊我在看《我和我的家乡》时经历了什么。 众所周知，本片由不同导演执导的五个短片组成。观影过程中，全场观众完全不吝惜他们的笑声，也常常会被突如其来的泪点击中而不断拭泪，可以说是又哭又笑地度过了这两个半小时。 作为男生的我不太希望被别人看到抹眼...

                         "
4,四川省,"

                        从去年的《祖国》到今年的《家乡》依然坚持使用拼盘的方式，但效果却大相径庭。去年的《祖国》使用拼盘电影的形式其实颇具意义：中华人民共和国恰逢70周年华诞，于是七个导演各自选择十年，来依托一个大时代背景来叙述个体的温暖记忆。七个年代前后相连，用最后一分钟营救的形...

                         "
5,河北省,"之前大致看了点评价，所以心里大概有一定预期，看下来总体跟观众反馈的差别不大，在我这是神笔马亮＞北京好人=最后一课=回乡之路＞天上掉下个UFO 单元献礼片其实和命题作文差不多，在有限的篇幅里讲一个故事并点题，五个故事，平均下来每个故事半小时的时间，其实很考验导演和...

                         "
6,山东省,"或许是疫情期压抑的太久，今年的大家都把国庆当年在过，看到老少观众挤在电影院一起观看《我和我的家乡》，又哭又笑，实在是让人高兴又感叹。 它延续了去年《我和我的祖国》的创作方式，由五位导演分别拍摄五个单元短片，集合在一起，它们也有各自的主题和风格。《北京好人》讲...

                         "
7,山东省,"围绕“家乡”这个主题，《我和我的家乡》的五组导演都找到了各自的切入点和不同的喜剧类型。相比去年的《我和我的祖国》，这部最新的姊妹篇在风格和故事类型上其实截然不同。 这次的几位导演拿手的都是喜剧片：“疯狂系”黑色幽默的宁浩、“囧”系公路喜剧的徐峥、“唐探”系悬...

                         "
8,宁夏回族自治区,"全场声音震的脑瓜子疼， 回来看影评才知道不是我一个人。 看到最后一个，前面竟然都不记得讲了几个故事？实在笑过哭过就忘了，不接地气。 最后一个神笔马亮看的很生气，感受受到了侮辱。女性角色就是如此无理取闹，男性就是要舍小家为大家……人考上好学校去念完了回来再安排扶...

                         "
9,广西壮族自治区,"把前几天离家时写下的话留在这，纪念今天的独自观影： “故乡的美，是一种长在骨血里的骄傲，它或许没有北上广的高楼林立和宽敞街道，但是对于一个离开家的人来说，除她之外，对别处永远只是欣赏的美，而不是发自内心的身在其中的踏实，对于别处任何的好，我始终是一个旁观者。...

                         "
10,广东省,"#我和我的家乡#，五个故事，都挺搞笑，推荐，适合国庆的欢喜。 其中一个故事叫最后一课，范伟演的老师，旅居国外，生活优渥，一次脑梗让他记忆错乱，只记着自己92年在中国落后的地区当乡村教师的情景。为了帮他恢复记忆，儿子带他回到原来的农村，全村人感念老师当年为他们的付...

                         "
11,云南省,"这几个短片我的喜爱程度:《回乡之路》＞《北京好人》＞《神笔马亮》＞《最后一课》＞《UFO》。  邓超那里本来是搞笑的画风，但是他把为了自己的家乡那种倾尽一切付出表现得淋漓尽致，让人动容，心酸中又有感动。 葛大爷那一段其实是笑点最多的一段，特别是两人去抽血那，真的是...

                         "
12,江苏省,"不错的国庆合家欢电影。 我个人喜欢的顺序依次是《最后一课》《神笔马亮》《UFO》《北京好人》《回乡之路》。 《最后一课》的故事其实在现实里是略有点难以成立的，但范伟的表演简直太精彩了，无论是犯病的痴呆状态还是回忆里的年轻执着，都精准的在人物状态里，赋予了这个故事...

                         "
13,海南省,"主旋律电影始终跳不出洗脑的套路   浪费了两个多小时   所谓的笑点和泪点   都是牵强硬造   事实上一旦命题作文交给你   答案也告诉你   你还能写什么   编导演   也是目前的顶级流量了   或者可以称这是一部风光片   但真实的乡村你们看到吗？  你们去过吗？  为了艺术加工改...

                         "
14,安徽省,"按顺序来说说 1.北京好人，这部的笑点是隐藏在剧情里的，没有特意抖包袱的感觉。抽血那一段全电影院都在笑，缺点是故事情节略套路，而且出现什么状况都有人拿手机拍照，不太真实（可能我不刷短视频所以觉得这点奇怪？） 剧情4笑点4演技4.5 2.UFO，这部分可以说是几个故事里最不...

                         "
15,河北省,"

                        今年国庆档的爆红作品《我和我的家乡》，据说集结了中国喜剧界3/4壁江山，玫儿当然不能错过。 作为去年国庆档电影《我和我的祖国》姐妹篇，我原本对她不抱多少希望。没想到，她乘着风、破着浪，全面超越了自己的姐姐。 可以参看玫儿去年写的影评： [点评《我和我的祖国》] 本文...

                         "
16,浙江省,"放假第一天就去看了《我和我的家乡》，泪点好多，电影结束后感觉脸上都是泪痕。去年也是看了《我和我的祖国》电影和剧本，哭了两次。今年这部姊妹篇看的时候就在想“不是喜剧片吗，怎么这么好哭？”。很好看，之前在抖音上看了首映相关的采访视频，确实如王源在采访时说的那样...

                         "
17,广东省,"ufo算是我看我和我的家乡最猎奇的单元，本身就有关注手工耿，没想到黄渤竟然直接“成为”他，作出各种奇葩的道具，“滚蛋”这个道具尤为突出，整个篇幅笑点不断，不管是刘昊然王宝强的“唐探”二人组，还是有王迅这只松鼠的加入，都称得上精彩，个人认为全片最出彩的部分竟然是...

                         "
18,河北省,"真不如祖国，大银幕更尬版春晚，歌舞小品应有尽有，张艺谋的监制全在风景摄影了吧...... ①北京好人：一星，宁浩水平退步太大了，像是糊弄交作业的。 ②天下掉下个UFO：负分，白糟蹋了一众国内顶尖喜剧卡司，也像是故意拍烂的。 ③最后一课：二星，看前期待挺高，想法挺好，但...

                         "
