序号,地区,评论
0,黑龙江省,"

                        我的孩子 如果可以 我想告诉你世间的一切奥秘 告诉你山川大河 日升月落 光荣和梦想 挫折与悲伤 告诉你 燃料是点燃自己 照亮别人的东西 火箭是 为了自由 抛弃自己的东西 生命是用来燃烧的东西 死亡是验证生命的东西 宇宙 是让死亡渺小的东西 渺小的尘埃 是宇宙的开始 平凡的渺小...

                         "
1,重庆市,"乘风篇，我在电影院是真真切切的被感动哭了，以下转自b站看到的来自昵称“这个艾迪有点帅”，给那些说乘风强行煽情不切实际的评论看看 《乘风》篇章，父子俩均为历史真实人物，关于这个篇章的问题，编剧在自己微博科普如下：【cp】《乘风》之外的故事 1 、吴京扮演的马仁兴和吴...

                         "
2,山西省,"

                        吴京单元的布景和打斗太假了，强行煽情最为致命，好像是时间很赶，很仓促的感觉。 沈腾单元的两个主要的小演员用力过猛，真的很尬，后段也是强行煽情，不像是麻花一贯的风格啊。 章子怡初为导演拍的非常细腻，不像是一个新人导演，尤其那句“爸爸和以前的爸爸都死了”直接给我...

                         "
3,上海市,"

                        印象最深刻的是第二个片段 章子怡导演的那一段真的惊艳到我——燃料燃烧自己，火箭抛弃自己，死亡验证生命，宇宙渺小死亡：立意已有哲义 黄轩饰演的科学家气质很儒雅：他是诗人，用最暴烈的火和最凝滞的烟雾，在孩子的天空中写一首无法言明的诗；他是爱人，在妻子的回忆中永远...

                         "
4,宁夏回族自治区,"

                        连续三年，《我和我的……》系列已经成为了国庆档保留节目。今年《我和我的父辈》在继承前作风格的基础上，和前两部相比也有了两点变化： 第一是四位导演均为演员出身，自导自演，其中吴京、徐峥此前已经有过导演作品，章子怡、沈腾则是首次执导筒； 第二是影片的章节数进一步...

                         "
5,辽宁省,"有被章子怡惊艳到。 《乘风》篇，场面调度镜头呈现都很好，但这有一部分来自于骑兵这一身份本身。 这一群体即使和平年代拍个纪录片，都同样震撼。在故事打磨上不够细腻，强情感冲击、民族认同感与爱国主义情怀下家国取舍的确会让人动容（但会有种强行上价值逼你哭的感觉），所...

                         "
6,四川省,"

                        电影的寓意自然是积极正面催人奋进的，但是只讲讲看完故事的感受，不上升。 四个单元小故事，看完以后的感觉是，四位演而优则导的导演，徐峥的《鸭先知》整体比较好。 《鸭先知》的故事结构完整、详略得当，台词的设计加之演员的处理都很出彩。幽默从很多小细节里生出来，让人...

                         "
7,辽宁省,"

                        抱着合家欢剧场的预期走进电影院观看《我和我的父辈》，章子怡导演的《诗》带给我意外惊喜。细腻诗意，把那个艰苦的年代呈现得温暖动人。 章子怡饰演的妈妈是电影里人物形象最饱满的一位。郁师傅是航天工程的火药雕刻师，严谨而危险的工作，时常处于生死一线。 为国为家、为妻...

                         "
8,上海市,"《长津湖》破9亿，《我和我的父辈》近4亿。 同档期有两部电影上映，而且票房、口碑都不俗。出手必不凡，早已成为一部电影品质保障的吴京，再次证明了自己的实力。 《长津湖》中，吴京饰演七连连长伍千里。八岁离家，十年后返乡，与弟弟伍万里在炮火纷飞的战场上，上演了一段细...

                         "
9,四川省,"

                        这部电影上座率挺高，我买的快9点的票，散场后11点多，本来以为这样的场次人少点，现实是最佳观影位置满满当当。 说回电影，章子怡的《诗》很催泪很动人，特别是从放孔明灯到结尾这部分，感动到不行。我看过大国工匠，也稍微了解固体燃料这一段，毫不夸张的说，做这个的人就是...

                         "
10,辽宁省,"关于第四个故事，按照时空穿越第一原则：穿越回过去的人是不能改变已发生事实，2021年小小已经在海边意外溺亡，而故事的结局2050年跟沈腾捏脸微笑并称之为自己爸爸的肯定是小小，总不能小小自己参与研发时空穿越机器人去救自己吧，那故事的真相到底应该是怎样的呢？ 其实在2021...

                         "
11,浙江省,"只说《诗》那一部分，于是给五星 意外地有共鸣。如果让我来编剧肯定让知识分子父母饭桌上讲两句航天物理，带着那种老一辈人说字母常变量时的古怪口音，像是α读成儿发（一声），y读成歪之类，《诗》没这么拍，却忽然和我的父母贴合起来了，也是类似的行业，其实外面如何回来也...

                         "
12,江苏省,"

                        带奶奶来看电影，正在电影院，实在忍不了，特地下豆瓣边看边发影评，《乘风》演员演的很好，拍的很好，色调镜头都能接受，但是剧情真的太拉了，没有铺垫代入不了，剧情转换很突然，老套，故事线简单，如果不是带着奶奶我可以直接离场了。好了剧情吐槽结束，申明一点，我对演员...

                         "
