序号,地区,评论
0,河南省,"前天点映时，因为开映之后还不断有观众进场干扰了观看，《前夜》的剧情信息又非常密集，虽然明显感觉到存在多处剧情硬伤，但也不排除是自己的理解有误，于是今天特地去二刷了《前夜》，以下是详细讨论。 首先，梳理一下《前夜》的剧情（如果有观众理解的剧情与此不一致，那么请...

                         "
1,天津市,"看的是28号的点映。看完第一印象中觉得最好的是上海弄堂和北京大爷这俩段。想了一会，最痛心的是陈凯歌。被问最不喜欢那一段，发现最烦张一白。 刚出电影院，就想狂骂《白昼流星》，于是和同行小哥哥痛心疾首状分析一大摞，话说多了竟然缓解了点一开始的厌恶。然后被问你最不喜...

                         "
2,辽宁省,"在《我和我的祖国》立项之初，我对它并不期待。毕竟在观影经验里，主旋律献礼片的规制、宏大事件的重现、多个故事组接的模式，让人不禁会产生“枯燥”、“假大空”的预期。 直到看完后走出影厅，我才长吁一口气。必须承认：这部电影和我的预期截然不同，是一部精致、有趣且不乏...

                         "
3,湖南省,"1.北京奥运会开幕式门票在系统确定个人信息后是绝对不允许私自转让的，换言之，那位小男孩理论上是不可能用葛大爷的门票去看开幕式的。 2.&lt;相遇&gt;非常好的题材拍成了白开水，在公车上的相遇缺少铺陈，偶遇的情节过于俗套。 3.这个电影里有不少于10个角色适合吴京，他偏偏...

                         "
4,福建省,"每个导演交出一部短篇电影，像极了被班主任下达了一篇写作任务的学生。情景脑补一下，语文老师郑重地拍了拍小X的肩，缓缓说道：“小X啊，这回举行作文比赛，命了个主题是我和我的祖国。咱们班我就找了你参赛，可得好好写啊！这回不是全市的比赛，可是全国，写得不好，可是要被...

                         "
5,辽宁省,"

                        其实对于主旋律电影，尤其是这种带有浓厚的完任务色彩的电影，真的期待值不高，因为以《建国大业》，《建党伟业》为代表这种主旋律电影的普遍拍法都是：一些重要历史进程的重现，顺带堆明星脸蹭流量，其实故事和人物都很干巴，越往后观众也渐渐不买账了。今年听说这个项目的时...

                         "
6,河南省,"9月30日下午，刚从怒江兰坪县支教回来，我就在大理古城看了《我和我的祖国》。群群热泪、结尾大合唱的场面就不再赘述了，7个高质量故事的喜好程度也因人而异，而或许因为短暂的贫困山区访学、讲课经历，以及和村小孩子们的接触，让我对陈凯歌部分《白昼流星》有些想说的。 记得...

                         "
7,山东省,"

                        关于整部献礼片，有人持这样的看法：共和国七十年的历史不应该只有荣誉与赞歌，那些悲壮的、坎坷的和曲折的道路同样值得被铭记。从这个角度上来说我觉得《前夜》是有反思的，并通过一些政治惊悚片常见的元素表现出来了。 最显而易见的元素是摄影机视点的变化，这也是我在影院一...

                         "
8,北京市,"剧作 “大事件里的小人物”还是“小人物遇上大事件”，不仅关乎方法论，也是价值观的问题。 视听 特写、慢镜头、音乐渲染用滥了，像电视专题片。 主题 除“国强”以外，是不是也该表现点“民富”？ 结构 用笔写字实在是无甚新意的点子，对不住陈凯歌这三个字。 片名 除《白昼流...

                         "
9,北京市,"

                        国庆档三强《我和我的祖国》《攀登者》《中国机长》中，《我和我的祖国》是当之无愧的最佳。 影片由7个导演执导的7个故事组成，分别是管虎执导的《前夜》、张一白执导的《相遇》、徐峥执导的《夺冠》、薛晓路执导的《回归》、宁浩执导的《北京你好》、陈凯歌执导的《白昼流星》...

                         "
10,重庆市,"

                        国庆去看院线，三巨头之中选了期待值最高的《我和我的祖国》。以小人物见大时代，对于一向都是大人物喊口号的主旋律电影来说的确是一个有心意的创作方向。看过之后更加觉得这种方式的正确：虽然短片质量参差不齐，困难但成功地串联起70年来的家国荣耀记忆。 个人观感排序：《北...

                         "
11,吉林省,"

                        谈论拼盘电影相对是一件轻松的工作，因为对象是若干为同一主题服务的短片。我们可以随意将之拆解，而不必担心破坏结构，拼盘电影几无完整结构可言。我们也可以不计较个体差异，将之视为一个封闭的影像系统进行宏观判断，因为它们是规约性的创作，是不同作者的个性遵循同一指标...

                         "
12,北京市,"

                        上周看完《星际探索》，一出影厅发现旁边就挂着本片的海报，写着十月一号上映。当时先是诧异了一下，因为直觉上这种主旋律的似乎不太容易出口，再一想又觉得也没什么可奇怪的，就跟美国人拍给自己爽的《独立日》照样卖到了全世界大多数国家是一个道理。 “拼盘式电影”听上去好...

                         "
13,山东省,"

                        一部电影七个故事，这是中国电影史上前所未有的事情。 七位优秀的导演联袂创作，将七个短片合为一体，将自1949年新中国成立以来70年的大事件娓娓道来。他们将自己对祖国的理解和情感融入电影中，最终为我们呈现了一部笑泪纵横，有温度、有细节，同时具有历史厚度的电影，这本身...

                         "
14,广东省,"

                        【我和我的祖国】，无疑是今年国庆档最佳。 大胆预测一下，它将会成为影史最卖座的短片集。 按我的个人喜爱程度为七部短片排序： 第一梯队 | 宁浩【北京你好】、管虎【前夜】； 第二梯队 | 文牧野【护航】、徐峥【夺冠】； 第三梯队 | 张一白【相遇】、薛晓路【回归】； 第四梯...

                         "
15,江西省,"每一种新媒介的出现，都会引起社会各方面的变化与重构，电影和电视剧的蓬勃兴起让数字影像开始介入历史书写的过程。能够以生动的影像将历史事件或者历史阶段重现在观众面前，电影与历史的交叉从电影诞生开始就已经必不可免。一部呈现历史事件的电影，不仅要能让观众了解历史，...

                         "
16,湖北省,"

                        七个导演，七个故事，七种风格。 避开大人物以及正面描写，从背后小人物的视角侧面讲述新中国成立70周年以来，七个伟大历史时刻。 平凡之中见证伟大，更接地气，更具人情味，更能让观众产生情感共鸣。 《我和我的祖国》，重点在于“我”。 管虎 —— 《前夜》 “你以为升起来的...

                         "
17,辽宁省,"我觉得要提高这个挡停系统的强度，除了把铁升级成钢这么复杂的操作，在情急之下为什么不直接做个直径更大的球来提升强度？ 而且目测这个球的大小，强度薄弱的好像不是球本身，而是与旗杆连接的部分焊接面积有点小啊？ 然后又突然想到做一个挡停，为什么要选择球型，不怕旗杆戳...

                         "
