序号,地区,评论
0,安徽省,"

                        我是1988年出生的。 爷爷在电话里听说妈妈生了个女孩子，就只是满月的时候去城里看了我一次。而奶奶则是在我刚出生的时候就摔了一跤，此后的很长一段时间里她都在老家养伤。 我四岁的时候差点有了个妹妹。那时候计划生育还不怎么严格，妈妈迫于家里长辈们的压力又生了一个。但...

                         "
1,河北省,"编剧游晓颖：“告诉女性应该怎么做，是不公平的。我们一直强调支持，而不是支配。” 导演殷若昕：“安然是一个强者，她不可能像姑妈那样走老路，因为已经是新的了，不再在一个套子里了。” （舅舅、安然与舅舅的关系没来得及问，有些可惜） 01 为什么父母不在场？ Ifeng电影：...

                         "
2,福建省,"

                        看完《我的姐姐》感到很气愤，总想找一句话来形容这部片子给我的感受，搭地铁回家的路上突然想到了，这是一部浮于表面而又缺乏真诚的片子。 导演和编剧都是女孩子，看得出她们对于女性议题的讨论欲望。 片子的立意不低，想要接触的社会问题是热门而又复杂的。 那些在网络上被议...

                         "
3,江苏省,"

                        个人观点。 影片前半段，太让人生气和窒息了，舅舅屁事不干就知道打麻将，混吃混喝爱贪小便宜。姑妈任劳任怨照顾半死不活丈夫，成天为全家人操碎了心还要强迫安然养弟弟。爸妈重男轻女，甚至连死了都一刀一刀地扎姐姐的心，警察验证安然身份的时候都说，爸妈手机里只有弟弟的照...

                         "
4,江苏省,"

                        在讨论安然应不应该抚养弟弟之前，我们要先把这个问题的源头搞清楚。 这个问题的源头是谁呢，就是安然的父亲。 为什么刚开始安然对抚养弟弟是有所抵触的？ 其原因在于安然父亲想要的是儿子，但却生了个女儿。 他为了能够生二胎，逼迫安然假装残疾，逼迫安然一瘸一拐地走路。 有...

                         "
5,河南省,"（首发于《Vista看天下》） 近来国产电影出现了不少与女性议题相关的作品。春节档大热的《你好，李焕英》讲“母亲”，到了《我的姐姐》，戏名更是直接揭晓了主要角色的身份。不但两部戏中的女性都涉及了家庭内的两种“角色”，而且巧合的是，两部戏的编导也皆为女性。 相比《你...

                         "
6,湖北省,"

                        我好久没看过这么让人失望的电影了，失望太大不是因为我审美挑剔，是它造势不小，抬高了我的预期。带着“重男轻女”与“独立女性”这样的标签把期望值拉满，来势汹汹，然后在混乱的叙事剪辑和单薄落俗的剧情走向中将好感摔得稀碎。 1. Shadow阴影 电影名叫《我的姐姐》，人物片...

                         "
7,江苏省,"

                        这部电影对我来说太压抑了 真的太压抑了 看电影全程我一直处于一种想哭又哭不出来的怅然若失中 安然和弟弟都太懂事了 我爸妈在我高三的时候生了个弟弟 但幸好与安然不同的是我爸妈在生弟弟前和生弟弟后都很爱我对我很好 我很爱我的爸妈 也随着时间推移越来越喜欢弟弟 看这个电...

                         "
8,上海市,"

                        1，我觉得这电影应该叫《我的弟弟》，主角是安然和她的回忆、现实和梦想，她首先是她自己，先于“姐姐”这个身份。 （补充，后知后觉的后觉，我发现《“我的姐姐”这个说法有很强的凝视意味，引导观众用弟弟的视角去评判姐姐的选择，作为女性观众这确实是让我不舒服的，因为我...

                         "
9,江苏省,"这并不是一部站在女性立场讲话的电影。 以第一场戏为例，安然爸妈手机里没有安然的照片，这本来就是个视觉信息，但是被处理成交警的台词，一句带过了，让本来就有“姐姐”经验的观众去想象这种感情，没有“姐姐”经验的人得到父母双亡这个信息就够了。这两个信息在这场戏的主次...

                         "
10,山西省,"

                        我的姐姐——家庭是我们一生的羁绊 我们一代又一代人走过计划生育时代，又走向了二胎时代，家庭的结构似乎在不断变化，可变化的可能仅仅是结构，家庭所蕴含的道德的感情的内里却是一直延承下来的，所以我们每一代人可能有的是幸福的，有的是不甚幸福的，但我们却共有一种来自家...

                         "
11,云南省,"

                        昨晚下班后，一路冒雨赶去看《我的姐姐》，虽然用光了一包纸巾，也确实是一部制作精良的好片，也很想好好写一篇影评，但很难下笔。 这是一个危险的议题，豆瓣某篇高赞影评就出自我熟悉的朋友之手，我知道她的故事，也懂她的代入感，更明白她的愤怒，作为一个葱省女孩，这一切也...

                         "
12,广东省,"

                        身为一个比自己弟弟大17岁的姐姐，我很喜欢这部电影，因为这电影没有迎合任何群体的喜好或者对它抱有的期待，它拍的只是真实的人性（的多重可能之一）。 作为一个独立的人，我很小就跟家里人说，你们生可以，但不要想着以后靠我养他，我不会因为任何人而牺牲自己的人生。但这并...

                         "
13,广东省,"《我的姐姐》热映，女性议题毫无悬念地再次成为焦点。 为此，网友们爆发了激烈争论，内容围绕影片对姐姐形象的刻画，对其在男权社会中困境的描写，以及她在片中的最终选择。 这篇文章我想从这一争论入手，谈谈我的看法。一部分是为这部电影“辩护”，一部分是给它挑刺。 我们先...

                         "
14,吉林省,"

                        因为预告片先入为主，一直以为讲述的是安然和安子恒的故事。后来在镜头对向套娃的时候，猛然醒悟“我的姐姐”原来还是姑妈。忽然又意识到，安然的舅舅，或许他也是安然母亲的弟弟，又是一位姐姐。 在看之前，我难以想象在姐弟这样一个亲情线的故事里。“重男轻女”的问题如何讲...

                         "
15,湖南省,"到底怎样才算是一部值得观看的好电影，我们又是依靠什么标准给电影打分？电影往往没法直接解决问题，但它能够暴露问题，花整整两个小时用大银幕强调某件事情的存在。无论正确与否，都像投入平静湖面的石子，谁也不能装作没看到。 影片《我的姐姐》其实并非《你好，李焕英》那样...

                         "
16,四川省,"

                        （修订版载于[虹膜公众号] ） 《我的姐姐》走出了一个张子枫。 说「走出」，并不跟出道时间直接挂钩，毕竟今年将满20岁的张子枫，在5岁就完成了这个动作，8岁更凭《唐山大地震》，成为百花奖最佳新人奖最年轻的获得者。但《我的姐姐》之后，她才真正成为了「演员」张子枫，优质...

                         "
17,福建省,"

                        这部电影的评价两极分化，我觉得各有各的道理。 电影的优点在于，它展现了姐姐们在成长过程中普遍面临的困境和不为人知的辛酸。电影拍得非常朴实，许多细节看似轻描淡写，却真实动人。几位主演的表现非常到位。 重男轻女的议题一直都存在。 上一代各种叫“招娣”的女性，独生子...

                         "
18,宁夏回族自治区,"

                        大家好久不见。小宋来更新啦。 今天写的这个演员我想写很久了，因为她一直都是我最最喜欢的00后女演员。 她有天分，很特别。 上半年我看的电影不多，但是她参演的三部影片《唐人街探案3》、《我的姐姐》和《秘密访客》我都看了，她就是张子枫。 来吧~聊五毛钱的。 （顺便再给大...

                         "
19,天津市,"这电影看得我气鼓鼓！电影院在6楼，从影片结束到坐手扶电梯到一楼，我都没能把气给消完！ 打两星，完全是冲着演员们的演技去的。 有些台词有些矫揉造作，其实我是可以接受的，毕竟编剧们有想说出来的金句，也是情有可原。 长辈们的老观念，远近亲戚的反应等等，也很生动真实。 ...

                         "
