序号,地区,评论
0,新疆维吾尔自治区,"

                        [视频] 本文分为三个部分。 第一个部分是剧情回顾。 对剧情非常熟悉的朋友可以直接跳到第二个部分，进入解读环节。 对电影的理解非常透彻的朋友可以直接跳到第三个部分，我会通过两个细节来聊聊电影的另一种解读方式。 剧情回顾 原本我对《拆弹专家2》是没有任何期待的，因为第...

                         "
1,上海市,"不夸张地说，看完《拆弹专家2》后，我平复了一段时间，才能从座位上离开。它的确算得上是今年我在国内院线看的电影中，最喜欢的一部。 港片导演里，邱礼涛为人所知的原因是他在入行后拍了大量的Cult片和B级片，比如《人肉叉烧包》、《伊波拉病毒》，快速的摄制流程和耸人耳目的...

                         "
2,黑龙江省,"

                        潘乘风（刘德华 饰），一个为了救人可以命都不要的前拆弹专家，你告诉我他就为了无法继续在前线做救命救人的工作，而变成了一个置数万无辜生灵而不顾，想毁灭一切的恐怖组织头目？你当你在写漫威漫画人物大纲吗？ 你以为，他为啥一定要去前线，为啥拼了半条老命，在因公失去右...

                         "
3,新疆维吾尔自治区,"

                        当失去记忆甚至不知道自己名字的刘德华在网吧的登录页面，不由自主地输入“小明”两个字，一下子就想到了《无间道》里的刘建明。“我想做一个好人”的场景依旧历历在目，从2002年的《无间道》到2020年的《拆弹专家2》，这么多年之后，刘德华还是想做一个好人。那一刻，基本就猜...

                         "
4,湖北省,"

                        有兴趣的可以看看我关于拆2的另一篇稿子🤝不同的角度潘[乘风的摇摆不定，像极了迷茫的港人] ps:理性探讨，如果有不同意见，都是你对。如果没有观点只会谩骂，那么自动反弹十倍给你。 补充2:有不少人批评我给神奇女侠4星给拆2三星。观影偏好不应该是很私人的事么？而且我大概...

                         "
5,吉林省,"

                        熟悉邱礼涛导演的观众都知道，邱的作品，多数都有其对社会议题的思考。仔细回想，拆2也不例外。倪妮的一句台词“信我你就是警察，不信我你就是恐怖分子”，以及刘德华黑口罩，恐袭元素，很难不让人联想到如今的香港。事实上如果你代入陆港关系这个设定，会发现拆2其实是一部颇...

                         "
6,陕西省,"虽然讲拆弹，但《拆弹专家2》的主题已经不是爆炸了，而是“关于身份的愤怒”。 之前的版本被删了，几百赞几百评论，补发一个截图版本，大家也可以看公众号版本。传送门：[https://mp.weixin.qq.com/s/_XSJgtI5bBASK_VHilc9RA] 开篇“炸掉”机场的戏，邱礼涛就用旁白回应了这一...

                         "
7,河北省,"

                        本来我以为是我不爱看的boomboomboom炸炸炸各种快节奏的商业片，看了以后，剧情紧凑到我看电影掏手机看时间的坏毛病都好了。 看完电影以后脑子里就回荡着一句话：马世军你这个毒唯老gay。 出了电影院到和朋友们吃饭了我还在嚼，问自己：🌿，我到底在看什么？ 回家躺床上继续...

                         "
8,福建省,"采访、撰文/法兰西胶片 从去年新冠疫情以来，香港地区总共三次下令影院关停，这第三次，足足持续78天，终于在2月18日（大年初七，内地法定复工日）结束禁闭，重新营业。 一开即爆，因为这有一颗埋了整整55天的核弹。 《拆弹专家2》！此前已在内地拿下13亿人民币票房，豆瓣7.8分...

                         "
9,辽宁省,"“什么是惊喜！”昨晚电影散场，老婆问我。 “这就是惊喜！”我说。 “惊喜就是《拆弹专家2》成了。” 那一刻我才发现，观看《拆弹专家2》的120分钟时间里，我俩全程几乎都没说话，少有的交流也只限于在观影中，她右手握住我的左手，微微用力，手心冒汗。 看完电影，平时对商业...

                         "
10,天津市,"在香港导演中，邱礼涛是个特别的存在，凭借《人肉叉烧包》《阴阳路》等电影于香港闻名，却在这几年逐渐成为北上发展的主力军，从《拆弹专家》到《扫毒》、《扫毒2》，他的作品在内地票房节节攀升，投资规模也越来越大，俨然有“锐不可当”之势。 而这部《拆弹专家2》，我相信会...

                         "
11,广东省,"说实话，刚进电影院的时候并没有抱有太大的预期，原因很简单，对新商业类型港片的固有印象使然。感觉观看这类的片子不用怎么动脑筋，你只需跟着嗨就完事，不需要过度思考与总结，全程只要“哈哈哈哈，哇哇哇”也就够了。 所以在进入电影院前，已经将自己的观影心态调整到了爽片...

                         "
12,湖北省,"这哪里是拆弹专家？ 分明是《炸弹专家》。。。 禁锢前女友和她老公还要绑上炸弹， 香港的人被戴了绿帽子就这么变态么？ 观影铁律: 所有电影里的微波炉永远是最危险的。。。 比炸弹还厉害没有一次不爆炸的。。。 刘德华医院逃脱追逐战找的替身不行啊， 腿太罗圈了， 拉低华仔英...

                         "
13,湖北省,"

                        影片有一个关键词，“愤怒”。而本片中也存在着多种多样的愤怒。 第一种愤怒，也是最明显最直观的愤怒，视听愤怒。从电影的第一场戏（机场爆炸假想，说不定是真正结局），导编就让观众感受到了视听上的愤怒。毫不拖泥带水的爆炸，映入，哦不，刺进了观者的双眼；震耳的轰鸣灌进...

                         "
14,广西壮族自治区,"漂亮，今年看过的片子里节奏最爽利的。 虽然剧情仍有BUG，但在看的时候并不会在意，算是将这种运转模式作品的优点发挥到上限，瘦死的骆驼比马大，残墟的帝国仍有宫殿可撑场。上一次让我有这种观影愉快感的港片还是两年前的《无双》。 这类题材我一向对文戏不感冒，但这片子证明...

                         "
15,重庆市,"

                        政治指涉暂且不论，目前没有被提及的基督教暗喻，按照影片的时间线罗列如下（其中必定有一些是我强行附会）： 1. 复生日/Resurrection Day &amp; 复生会/Vendetta 港岛酒店爆炸案后，因脑震荡而短暂失忆的嫌疑人潘乘风，竟是前港警EOD拆弹专家，由此牵扯出的线索指向了已经在香...

                         "
