序号,地区,评论
0,陕西省,"进入四月，终于等来了我期待的两部作品。 一部是台湾犯罪题材的《模仿犯》。 改编自日本作家宫部美幸的同名推理小说，讲述1990年代中国台湾发生的连续杀人命案，糅合了案件与媒体及社会各种乱象。 该剧从2022年释放预告后，我就很期待。在各种社交平台上，已经被刷爆了。 尤其...

                         "
1,河北省,"

                        这个片儿吧，挺一言难尽的，整体挺好看前期大女主就结尾给了我点小小的韩国震撼（有种国内电影过审感觉，直接拍成韩剧了西巴！） 我写的不是标准影评，就是碎碎念，别急。 开场挺好，特漂亮好玩，带点韩式喜剧的意思，还有幻想环节的反套路叙事，全片真的很喜欢这套和慢镜头，...

                         "
2,黑龙江省,"

                        烂到我恨不得单独写一篇影评吐槽（果然就写了）。 首先，网飞出品的电影都有个通病：网红气质太重，为了留住观众无所不用其极。单从女主形象上来说，一个既是杀手又是母亲的韩国女人，本来可以塑造成银幕上很新鲜的形象，硬是搞成了前有小狼狗床友后有顶级boss痴情人、有钱有颜...

                         "
3,江苏省,"三星 给电影中的影帝影后们  其他剧情一般  看剧名就能知道  从头到尾开挂的女主光环  连大boss都爱的女人  谁能动的了  另外 杀手的工资也太高了吧 这豪宅和大G 羡慕至死 穿插点养娃技巧和女同的爱情片段  主题内容是想当丰富了  再多就不行了 得拍三个小时了  两个小时的电影...

                         "
4,重庆市,"It’s absolutely for woman’s film,the most powerful man who paid everything for you,from 17 years old to you became a 40 years old,It’s ridiculous.A handsome young man be you secret lover, a attractive and powerful only love you over 20 years ,though he a...

                         "
5,广东省,"

                        电影《杀死福顺》虽然再讲杀手集团的故事，却处处透着生活的真谛，有几处细节设计因为真实合理，反而觉得会更加好看。比如身为父母，都希望把最好的机会和资源给到儿女，如同开局新任国务总理候选人吴正植之子违规录取音乐学院，被检察院传唤展开调查的引言，也如同女主福顺拼...

                         "
6,陕西省,"

                        援引影片01：41：29处，公主大人说：因为我希望可以对得起自己…… 公主大人与福顺在那一刻相互谅解，互述各自烦恼以极简的表达方式。然后公主大人假设，如果那时退让，也许就没有后来以及当下的烦恼。福顺问：为什么不退？公主大人说：因为我希望可以对得起自己…… 也许我们...

                         "
7,江苏省,"

                        影片开头画面很美 黄政民背部的微笑美女纹身 这个美女半边脸是般若 含义:善良和邪恶，保护者，恶魔 这里说的般若并非佛教中的“智慧”之意 而是日本传说中的一种鬼怪 更确切的说应该是一种怨灵 因女人强烈的妒忌怨念形成的恶灵 在传统的日本民间传说中 他们以恐吓村庄和折磨村...

                         "
8,湖南省,"开头老黄被枪毙算一处心意，实习生和上士两个人物立的都很好，就那么用了真是可惜，结尾女主找老大单挑，不想着把自己女儿先保护好，这完全没道理，这么有经验的人显得太不专业了，而且结尾重点都落在和女儿的关系上了，那小子的爸爸你还没去看呢，自己人设不管了，不管自己做...

                         "
9,广西壮族自治区,"

                        剧本有创新，镜头有质感，节奏相对紧凑，是近年少有的能让人看得进去的动作片，个人认为比罗圈腿赵威克好看哦！动作设计符合亚洲审美风格，比较凌厉。 而感情戏更凌厉更大胆，主角之间的喜欢在最后决斗才表露，同事之间打炮非常自然，都有点疯批，却都在框架之内， 前段铺垫杀...

                         "
10,重庆市,"

                        福顺说，反正我们死了都要下地狱，所以我从不祈祷。 但最后，她说，上帝啊，求求你。 前后剧情的呼应实在太喜欢了。 很喜欢实习生，也死的很快。 其实这段处理也很喜欢。 韩剧好像很少会直白的讲大道理……看完全篇，能感受到一个不太会当妈妈的职业杀手，想努力的保护女儿，在...

                         "
11,湖南省,"-男的：我手里的是非常有名气的武士刀，你们女流之辈不认识很正常。 女：我的武器是在超市买的斧头。 开始对决。 就在男的又开始叨叨什么胜负绝非偶然之事，千日谓之锻百日谓之炼时，女主一枪爆了他，爽。 女（飒爽）：抱歉，超市快打烊了。 -网飞携手日韩拍武打戏，虽然我对香...

                         "
12,北京市,"吉福顺拧巴，顶尖杀手心冷如铁手上人命无数，在母女关系上笨拙无措，在得知女儿有可能看到自己杀人时崩溃大哭。 车代表拧巴，威权的化身，跺跺脚杀手界抖三抖，对吉福顺用情至深，但小心翼翼又缩手缩脚，想爱她保护她就是没有看懂她，全都用错了方法。 韩熙成拧巴，吉成瑛也拧...

                         "
13,江苏省,"

                        版权所有  禁止转载  禁止引用 格杀福顺  美丽的道路 在探讨这部特殊的电影作品之前，还需解释一下主演全道嬿的名字，虽然那么多新闻都将她的姓名译为：全度妍，但是根据艺人本人确认，汉字姓名写法写作：全道嬿，“道嬿”的意思就是美丽的道路。在电影那美丽的道路上，全道嬿...

                         "
14,浙江省,"

                        奈飞真的有钱，投资韩国影视的钱花的如同流水一般，出手就是十亿美元，听者无不心惊肉跳，毕竟金山银山一般的美刀砸的忠武路影帝影后晕晕乎乎，白的是银子，黑的是眼珠，瞧上一眼还真拔不出来。很喜欢的崔岷植、李秉宪、黄政民、李政宰、薛景求都先后出演了奈飞的影视，一改数...

                         "
