序号,地区,评论
0,北京市,"

                        传播或鼓励盗版讯息的一概删，就不要孜孜不倦地留言了，这片拍的不容易。 还有！我对这个豆瓣简介的货不对版已经无法再忍了！要看星战型太空歌剧的、要看打戏的、要看王子复仇记的，都不要来看这个IP！跟以上三项没有半毛钱关系！冲着以上三项去看原著的也不必了，原著跟这也没...

                         "
1,浙江省,"注：2022.03.04，又更新了一些内容！ 《沙丘》是一部美学风格独特、高超，通过细节交代设定并串联起故事情节及角色的影片。我准备在这里做一个全面的拉片分析。既然是以赏析电影为目的，就没有太多涉及《沙丘》原著的概念介绍、解析，对这方面有兴趣的朋友可以在知乎搜索相关回...

                         "
2,重庆市,"本文是比较泛泛的综合评论，感兴趣的可以看我的另一篇：《沙丘》全面拉片赏析（[https://movie.douban.com/review/13958096/?tab=comments#comments]） 看完《沙丘》第一部，我感觉，这会是像奇幻电影领域的《指环王》一样伟大的科幻电影系列！ 完全不同于当下的好莱坞商业大片...

                         "
3,四川省,"

                        电影开头是沙丘的背景，沙丘曾经由哈克南人统治。 旁白提到，哈克南人通过出产香料从而变得非常富有，甚至比皇帝还富有。 这里暗示了香料的第一个属性：昂贵。 过去哈克南人和弗雷曼人之间常常发生战争，结果毫不意外，每次都是弗雷曼人输了。 弗雷曼人居住在沙漠边缘，长期以...

                         "
4,北京市,"

                        几百公里、巨大沉默的生物在地表下游走光滑、完美又巨大的几何体在宇宙中疾驰边长绝对精确的沉默巨石在地球伫立万年 “还有什么比这些景象更让人肃然起敬、毛骨悚然？” [⚫️] [本文部分整理自铥铥科幻电波Vol.145 ] 皇帝使节的飞船抵达保罗的故乡卡拉丹，球形船体神谕般...

                         "
5,河南省,"本篇无任何术语，因为作者真的没有文化。 原作男主是鹅蛋脸，甜茶这个脸型，连鹅都不认吧（。 我承认我这种弱队球迷永远无法知道豪门球迷在想什么，所以也只能妄自揣测。但我真的认为看《沙丘》的感觉和曼城球迷看比赛的心态十有八九是一样的： 1. 你知道他们非常有钱，挥金如...

                         "
6,四川省,"

                        《沙丘》是我献给大银幕的情书，这是我第一次这么做。在这里，你可以看到一个角色慢慢地往内心深处走，越走越深，融入一片风景、一个国家，找寻到关于自己的东西，越走越深。——丹尼斯·维伦纽瓦 谨以此书献给那些孜孜不倦的劳作之人，他们不限于纸上谈兵，而是创造出了“真材...

                         "
7,广东省,"

                        作者： 老KK影 这不快双11了吗，本来是计划11刷《沙丘》赶个时令，谁料想—— 我本将心向明月， 奈何明月照沟渠。 万恶的疫情阻挡了我最后一刷，也好，十全十美。 十刷《沙丘》 刚过去的十月，我跨省看了十遍《沙丘》，包含激光 IMAX GT、杜比影院、Onyx、LUXE等不同的影厅，2D...

                         "
8,河南省,"我曾经和朋友开玩笑说，没有《沙丘》的2020，我一秒都不想过了——从去年维伦纽瓦宣布《沙丘》将在2021年上映以来，它就是我对来年院线影片的唯一期待。 同样作为文艺作品，电影和文学、音乐不同，它要宣布定档之前，会先提前释出电影官方海报。类似于听力考试之前先给你放段流...

                         "
9,山西省,"在观看《沙丘》之前，其实我是有些担心的。 首先我只是听说过弗兰克.赫伯特的这部大名鼎鼎的原著小说，知道一些情节的一二，具体到宏大的世界观啊族群设定啊，我不太了解；以前在类似情况下观看的科幻片，总会或多或少地难以进入情绪，或许也因为我本身就不是科幻迷吧，对短时...

                         "
