序号,地区,评论
0,湖北省,"我们可能都听说过，一个人在生命受到威胁的时候往往会做出许多平时做不到的事情，比如在危险来临之时会爆发出强大的力量和惊人的体能等等，但这些都是人类生理机能方面的应激反应。而《波斯语课》这部电影为我们展现的，却是一个更加不可思议的事情，因为故事的主角在生命受到...

                         "
1,北京市,"一位犹太年轻人独创了一门语言； 一个发生在纳粹集中营里的故事； 一部改编自现实的德国反战电影。 这三个要素凑到了一起，也许你会对电影《波斯语课》（Persischstunden ）产生兴趣。 在朋友直呼“近年来最好看的德国电影”的盛情推荐下，我观看了这部集中营题材的片子，它身...

                         "
2,黑龙江省,"

                        见仁见智。个人的观点是，小卷对军官完全没有，但军官对小卷……有点儿难以概括。 首先，我并不认为爱情在《波斯语课》里应该是一个必须忌口的元素。在讨论板块里看了很多，主张对爱情解读零容忍的朋友给出的理由主要是，在迫害者与被迫害者之间谈论爱情是对战争、历史、死难者...

                         "
3,河北省,"仅从语言学的角度谈一下电影。那位上火星的马斯克最近说，人类最伟大的发明（居然不是飞行器也不是汽车）——是语言。很难不赞同：社会若失去语言则不能称其为社会，历史若失去语言则人类失去历史。 这部电影显然跟语言并没有多大关系。但凡导演想多放点心思在语言上，就不会把...

                         "
4,贵州省,"

                        纳粹军官克劳斯是这部电影里塑造得最丰满的角色。他小时候很穷，加入纳粹只是因为年少无知，他对主角心存善念，整部电影甚至没有一个他杀人的镜头。但，他就真的是一个好人吗？ 不，主角小卷不比荧幕前拼命脑补的观众们看得更清楚？他指出，克劳斯仍旧是个“杀人凶手”。他没有...

                         "
5,黑龙江省,"

                        作者： pASslosS 提及二战大屠杀此类题材，影史上已有不少佳作，经典如《辛德勒的名单》《大街上的商店》，纪录片则有《夜与雾》和堪称巨著的《浩劫》……那段历史总是人们用来审视人性黑暗的最佳素材。 《波斯语课》作为一部精心编排的二战大屠杀剧情片，于去年北影节展映后就...

                         "
6,河北省,"首先表明我个人的态度吧，我个人认为，讲述大屠杀题材的电影，是不应该采取一种小品化的呈现方式的。 之所以说《波斯语课》对于大屠杀的呈现过于小品化，是因为整部电影的戏剧冲突是建立在犹太人男主教授纳粹军官假波斯语这一个戏剧性事件之上，整个故事围绕着这两人的关系进行...

                         "
7,河北省,"

                        故事发生地应该是在法国。战俘营里扣押了许多法国人。 所以男主是在法国被捕获的不明族裔的犹太人，他会讲法语和德语。（可见其聪明） （他不会希伯来语。希伯来语那时候是门死语言，二战后以色列复国后才被语言学家复活。） 上尉自述自幼家庭贫寒，入党前也只是个厨子，他只会...

                         "
8,湖南省,"

                        几乎年年都有关于二战，关于犹太人悲惨遭遇的电影，今年是这一部——《波斯语课》。 这部电影比较特别的地方在于，它不是以沉重的笔触来书写惨痛的历史，尽管影片也有屠杀、横尸遍野、焚尸炉黑烟滚滚的场面，但这些全是背景，它的主线故事其实颇为传奇，完全可以视为一部紧张的...

                         "
9,黑龙江省,"

                        （本文内容有剧透） 希特勒执政时期的德国法学家主张法律实证主义，认为法律制度背后没有所谓的哲学推论，割断了价值与规范的联系，取而代之的是把将法律规范与现实社会秩序混为一体。这为纳粹军官在二战期间各种疯狂行径提供了一定的正当性，即坚持“恶法亦法”的观念，认为做...

                         "
10,福建省,"元素有些杂糅，吸引人的亮点本该是假造波斯语以及谎言被揭穿之后的戏剧冲突。结果真的波斯人刚刚出场就领盒饭了，有点失望。 然而语言学部分只是作为推动情节发展而存在的，如果多一些造词部分就好了！将从名字中提炼出来的词根和意义联系起来，比如说假词根“－ico”就是从名...

                         "
