序号,地区,评论
0,广东省,"

                        流浪地球是一部不及格的电影。对这部不及格电影的普遍吹捧，那些看了提前点映纷纷较好的写手和大V，只能让我怀疑他们的人品与审美。 一、科学设定不及格 作为一部科幻片，一部被吹得很厉害的科幻片，流浪地球在科学设定上完全没有能过及格线。 全片最大的危机，来自于利用木星...

                         "
1,北京市,"——————————以下是20190214新内容—————————— 首先，作为仍然珍惜豆瓣这样一个讨论空间的豆瓣er，我希望大家不要给豆瓣刷一星。如果真的想支持小破球，去二刷三刷就行了，反正我是已经去二刷过了。给豆瓣刷一星并不能解决问题。而且咱们也要有自信，小破球作...

                         "
2,北京市,"开门见山，《流浪地球》的长文，因为涉及到剧透，所以要等到上映之后再发出，最好看完电影再读本文。 这几年，每当大特效、大制作电影出炉时，“电影工业化”、“比肩好莱坞”等等字眼便会充斥于各版头条，对了，还有“里程碑”。 对于《流浪地球》，上述说辞已是老生常谈，甚...

                         "
3,广东省,"在看片之前，我在朋友圈被轰炸过大概三四轮，电影圈的人都毫不吝惜赞美之词，“中国科幻电影之光”之类的赞美词已经是最谦虚的表达了，像极了《我不是药神》上映前圈内的那种大规模集体感慨。 不得不说，观影前我被吊起了极高的好奇心与期望值，以为我会看到一部国产的《星际穿...

                         "
4,吉林省,"

                        1、 刘培强给木星画形状是为了记录离木星的距离，他从休眠舱出来之后发现窗口的木星不见了，立刻意识到空间站已经“叛逃”。在那个窗口旁，挂着一个《盗梦空间》里的陀螺，而盗梦空间的结局是，主角终于回到家见到了孩子。 2、 moss的红色光点，刘培强在休眠舱里的挣扎，致敬了...

                         "
5,天津市,"

                        大家如果觉得有用请用力点赞，我将会有更多动力寻找细节(๑&gt;؂&lt;๑） 微博上有朋友摘抄了我的彩蛋被导演点了赞， 我这辛辛苦苦地为别人做了嫁衣，虽然挺郁闷的，但是现在想通了，既然都是为了让小破球能飞得更高而努力，那谁点亮苏拉威西发动机都是一样的，想到这个...

                         "
6,浙江省,"关于科幻作品的“硬伤”问题，这几天真的是看到了太多的撕逼。其中流浪地球粉丝们最气不过的就是： 灭霸一个响指就能毁灭半个宇宙，这么大的硬伤你们怎么不吐槽？ 《星际穿越》男主进了黑洞都没被扯碎，你们怎么奉为神作？！ 凭什么好莱坞电影有硬伤就跪舔，《流浪地球》有硬伤...

                         "
7,吉林省,"

                        2月28日更新关于影片本身细节的回复 如那些批评我“没有认真看电影”的人所愿，我又看了一遍《流浪地球》。虽然完全不想再看了，但我觉得既然公开发表了，就该为我说的话吐的槽负责。我想知道到底是我真的说错了，还是那些装看懂的人在给我泼脏水扣屎盆。 看完第二遍以后，坦承...

                         "
8,辽宁省,"

                        讨厌临时起意拯救世界。 我不知道为什么，你们可以对这个电影的剧情安排完全认同。 全世界科学家经过仔细研究，都给地球判了死刑，甚至给出了成功率为零的结论，男主人公一拍脑门，用他中学生（？）最多大学生的知识水平喊了一句“我们点燃木星！”，配合他舍己为人的老爹，就...

                         "
9,辽宁省,"看完《流浪地球》最直观的感受是：太空真美，人类真渺小。 刘慈欣的科幻作品，核心特质是将极致空灵的想象力与厚重的现实结合，对人类发展和未来命运始终饱含着深沉的关切。而《流浪地球》是一部关于死亡与希望的电影。 对每个人说，死亡是最终极的哲学命题。生命的可朽性与有...

                         "
10,浙江省,"

                        2月11日晚，我和同事在时代广场AMC看完《流浪地球》。 我是二刷，心情有些复杂。而她犹豫了许久，终于忍不住问我，那个点木星和炸空间站是为什么？真的是刘慈欣写的吗？ 同事是纽约长大的95后，哈佛计算机系本科毕业的华裔，能听懂中文，很喜欢科幻小说。她和我讨论伊恩班克斯...

                         "
11,四川省,"------------------关于清回复的通知--------------- 朋友提醒我回复里有些人在刷条数水楼。所以虽然不会再回复大家，但我还是会行到楼主的职责，定期地清理回复里与电影无关的言论、你一言我一语唱二人转的对话、还有数条连发但内容大同小异的纯情绪发泄语。 还有一位，因为 ...

                         "
12,河北省,"

                        早早买了预售票，转了两趟公交去看Imax，观影途中我竟情难自禁地发出“智障”的感叹。观影结束瞄一眼淘票票，9.3，等到打开豆瓣，8.4。观影口味是私人的，但于我大多时候还是因为个人情怀给出虚高分数，而不是这种相反的情形，如此趣事，当浮一大白！ 无论是企图往科幻外壳父子...

                         "
13,山西省,"2月10日《流浪地球》官方微博宣布票房突破20亿元。而这，只是该片上映的第6天。20亿元的票房已经让它超越《变形金刚4》，荣登中国内地票房历史第14位。中国内地电影票房历史冠军是《战狼2》，上映81天，总票房56.79亿元；内地票房排名第10位的是《复仇者联盟3》，总票房23.9亿...

                         "
14,北京市,"

                        1、 刘培强给木星画形状是为了测量离木星的距离，他从休眠舱出来之后发现窗口的木星不见了，立刻意识到空间站已经“叛逃”。在那个窗口旁，挂着一个《盗梦空间》里的陀螺，而盗梦空间的结局是，主角终于回到家见到了孩子。 2、 moss的红色光点，刘培强在休眠舱里的挣扎，致敬了...

                         "
