序号,地区,评论
0,内蒙古自治区,"参加灌篮高手北京观影团的活动，观看了电影日语版。 终于明白井上大神为何执意以这样的方式呈现电影，他是对的！ 宛如身临其境参与这场已期盼廿年的全国大赛，并随之笑泪惊愉。 青春难免遗憾，人生难得完美，但青春嘛，就是永不言弃啊！ 人生的比赛仍在继续，以此，青春得以延...

                         "
1,辽宁省,"特地注册了个豆瓣账号来写一下影评。 说实话我本人对SD并没有很深的情怀，因为当时年龄太小，而且在点播台断断续续的观看，再加上这么多年过去，剧情早已忘记的差不多了。 但是这部电影，你不需要对原著有着很深刻的了解，也不需要再度重温一遍，你只需要进入影院放松自己，然...

                         "
2,辽宁省,"无需赘言 一刷其实是抱着对原作的执念去的，总觉得遗憾 二刷是放下执念去的，沉浸在其中才发现竟是如此完整。 他不是完美的，不是我们所期待的，但他是属于井上雄彦自己的，五颗星是给他。 另外这次配乐很棒，一刷的时候还在执念老主题曲，二刷就已经开始无限循环原声带了，甚...

                         "
3,黑龙江省,"动画已经反复看过多遍，全国大赛的漫画看过两遍，观影之前的心态像是去见一位十多年不见的“老友”，一位从漫画走向荧幕的“老友”，观影后的想法是他变化真大，可他还是他。让人耳目一新的观影体验，热血与感动的内核却不曾改变，观影后的震撼甚至比漫画原作犹有过之。 3渲2的...

                         "
4,河南省,"

                        IF是个纪录片 脑补的段子，所以是fantasy，草稿一下先。看能不能拼回到山王战。欢迎一起来玩。 美国四人组 我高中毕业以后很幸运地拿到了去美国读预科学打篮球的机会。在美国生活了一年以后，花道跟流川也过来了，所以当时在美国的有泽北、我、花道还有流川四个人，美国很大，...

                         "
5,黑龙江省,"

                        我很难说清楚作为体育差生平时也不爱看篮球的我为什么会热爱这部漫画。 说起来，这部漫画里真的给我很多力量。无论是自信放光芒的樱木花道，还是直面内心放下拧巴承认“教练，我想打篮球”的三井寿，或是团队责任感超强的赤木刚宪，又或是将劣势变成优势的宫城良田，或是明明可...

                         "
6,湖北省,"看完电影，眼泪还是止不住。真的很感谢，你的出现 从片头黑白铅绘出来，就已经泪目了。心砰砰地跳，却无法假装不在乎的样子。那种感觉，即像看见了许久未见的老友，又像梦中出现了千百次的梦来到现实，更像回到了多年前，那个懵懂热血的少年。全国大赛的漫画已经看了无数遍，每...

                         "
7,山西省,"因为灌篮高手喜欢上篮球，热血沸腾的那个夏天依稀记得，怎么说？这次电影有些许的落差吧，没有期待中那么好，好听的几首主题曲没有了（哪怕是一首也会更有感染力和共鸣），没有一下子回到那个第一次看灌篮高手的触动，以宫城良田为主线有点意外，穿插太多其他剧情（有点冗长反...

                         "
8,山西省,"第一时间去了电影院，第一时间也是第一次写影评，很有感触。二十多年前，和樱木一样，作为一个篮球门外汉的小学三年级的我接触上这一动画片，也在和樱木一起成长一起学习篮球规则一起爱上篮球，那个时候 各个地方台都在播，有时一播就是好几集，也和亲戚的小孩聚在一起看买来的...

                         "
9,四川省,"这部漫画对宫城良田的描写勾出了我内心封存的那些悲伤，井上雄彦老师是神。就像那些埋在地下深处亿万年的化石一样，总有一天会被挖掘出来。那些悲伤的记忆也是，只是被封存，永远忘不了，也永远不会过去，雨天的马路上没有什么人，连车都很少，我又看到了十几年前的那个小女孩...

                         "
10,安徽省,"87年的大叔带着9岁的儿子一起看的。 20几年前，我跟儿子现在一般大，与那一时代的男孩一样，每天小学放学就盼着那仅有的一集灌篮高手。放学铃声一响，男孩子就会迅速收起书包——甚者把一只脚都提前伸了出去——飞也似地，跑过田埂、跑过小湖、跑过傍晚的炊烟，回到家里，心切...

                         "
11,陕西省,"

                        这个已知结局的故事我等待了二十四年。无法抛开青春、热血、激情等词汇去谈论它，但单纯地看这部电影，从一开始到最后都贯穿着沉甸甸的温柔，主角良田的家庭线、紧张刺激的比赛线、丰富难忘的回忆线不断穿插闪回，让情绪反复悸动，在手心出汗、心跳加速与泪水盈眶、双唇颤动之...

                         "
12,福建省,"井上雄彦，不愧是你！ （我就是可能在平行宇宙看过动画版全国大赛的人之一。我那时候应该还没看过漫画，但莫名其妙地觉得看过动画版全国大赛，还知道结局。） 看之前我对井上追求的“真实”还有点担心，怕不够商业、不专注情怀而不被接受。 但看了开头与山王对决的几分钟我就毫...

                         "
13,河南省,"下午去看了《灌篮高手》电影，回来后忍不住想写篇影评，感觉有很多话想讲。不过我不太专业，影评里面可能会夹杂很多其他东西。 这个电影其实跟想象中是有非常大出入的，因为改了很多东西，其中最明显的就是画风。单看画风，跟原来简直是两部动画，差别大得离谱，很多人一上来看...

                         "
14,吉林省,"

                        漫画和tv都看过，但我不认为所谓的情怀是一定原汁原味的bgm与故事，新版bgm十分契合电影，人物线稿出场配合着音乐也是情怀拉满，也是我最喜欢的一个片段。当宫城带球突防时响起的bgm让血液直冲天灵盖。 故事方面作为控球后卫的宫城可以更好地观察到其余人，我认为大篇幅的回忆...

                         "
15,澳门特别行政区,"三刷，想到哪说哪。 所有赛场外的文戏，都是新内容，而且都是原作的留白，算是补完。真的连《耳环》、《十日后》一丝内容都不带。甚至涉及到三井的一些戏份，包括打架，都是从全新的宫城视角讲述的。不错挺惊喜的。 先说人物小传的故事主线，宫城。 1，宫城不安时，手会不自觉...

                         "
16,辽宁省,"

                        明知道日本早已上映，明知道台湾也已上映，明知道山王战所有细节，明知道是宫城为主角，忍住不看预告，忍住不看影评，忍住不看朋友圈和所有关于The first的信息，就等着昨日的“The first”，一如井上给我们描绘的Slum Dunk，遗憾和觉醒始终贯穿着青春，27年后的“全国大赛见”...

                         "
17,湖北省,"单方面宣布宫城的剧情我不承认，我心中的宫城潇洒、张扬，浑身散发着一股混不吝的劲儿，SD整体没有血统论、宿命论，这个剧情简单来说就是俗了，我们的青春不需要背负沉重的过去，打就完了！ 比赛这部分值一百星！！！！ 刚开始有点不习惯画风，后面打起来真的有种坐在看台身临...

                         "
18,浙江省,"单方面宣布宫城的剧情我不承认，我心中的宫城潇洒、张扬，浑身散发着一股混不吝的劲儿，SD整体没有血统论、宿命论，这个剧情简单来说就是俗了，我们的青春不需要背负沉重的过去，打就完了！ 比赛这部分值一百星！！！！ 刚开始有点不习惯画风，后面打起来真的有种坐在看台身临...

                         "
19,重庆市,"其实已经很照顾出入者了，加的情节虽然水，但合理。泪点巨多，细节满满。人家别的剧都是不停放水，这一共2场国家赛，居然直接干山工了，丰玉拍不了了，最后一场没看点。在看难道要重启第二年吗？猩猩上大学以后，小三留级，宫城队长，补个靠谱点的c，一定要有2个替补，打7人以...

                         "
��给了差评，说不从樱木视角。我觉得从良田角度蛮好啊，至少井上导演绝对不想再炒一次冷饭...

                         "
