序号,地区,评论
0,广东省,"因为在上海的原因，独行月球是我今年的第三部电影，前两部还是春节档，为了不影响观影体验，就冲沈腾和马丽，我特意没有去看这部电影的影评，等看完后我去看了影评，庆幸自己的选择没错，毕竟在互联网上你的观点还真就不一定是你的观点。 这部电影科幻喜剧，算是一个新类型，至...

                         "
1,吉林省,"电影一上映我就立马观看了，电影“含腾量”极高，本来担心电影会不会用沈腾来吸引观众但是最后呈现的搞笑效果却让人失望，但是看完电影我觉得电影的搞笑部分确实不让我失望，电影前半段的笑点我都有get到，并且曾经一度笑出眼泪，作为暑假消遣时间的电影，前半段的搞笑片段让我...

                         "
2,天津市,"首先这部的后期制作真的很强，毫无违和感，真实自然。喜剧的点不是很吸引我，配乐的应用几乎到了极致。腾格尔老师的声音配合月球的画面和沈腾的演技，那一刻像一击重锤，打到你的心上，寂寥与绝望。还有回家之路的浪漫，与马蓝星带我回家，称之为宇宙级浪漫一点不为过。 沈腾演...

                         "
3,上海市,"最适合拿来比较的就是《你好，李焕英》。 两者结构都可以分为前半部分搞笑，后半部分煽情，小问题就在前半部分，整个前半部分就像在看小品合集，但是有沈腾的表演，比《你好，李焕英》的感觉好多了。 科幻类带有大场面的电影，基本是不会出现在实力不足的国家，故事里的空间站...

                         "
4,江苏省,"

                        •天津的朋友看完点映后和我强烈推荐，他觉得特别特别好看。于是我在他的推荐之下和对沈腾有着天然好感的爸妈一起去看了～ •看完后觉得中上吧，给3.5星🌟 •价格偏贵，我们拿着电影兑换券去的，但是每个人还得补钱……拿电影兑换券看过好多场电影了，需要补钱的情况真...

                         "
5,湖南省,"

                        本文首发公众号：恩小希的轻愈食光 当下暑期的最大爆款，无疑是开心麻花的新片《独行月球》。 《夏洛特烦恼》暌违七年后，历经《西虹市首富》的临场换角风波，沈马组合终于再度合体了。影片还是科幻+喜剧类型，填补了中国电影市场上的空白。所有的元素都是大爆类型，所幸，影片...

                         "
6,安徽省,"只要死死拿捏住“很苦很善良”的底色，再加上平凡人的英雄梦想、高光反转，再加一点拯救世界的伟大举措，再加一点开心麻花的笑点，观众的情绪就有了，票房就会稳了，但也只是票房稳了而已。 当然这么多一点都加起来也很是不容易，所以我觉得它还挺可以的。如果不是因为某些原因...

                         "
7,广西壮族自治区,"看了评论本来没打算看，出于对题材和演员的喜欢还是看了 作为一个普通观众不知道怎么定义电影的类型，因为它有太多标签了，喜剧，励志科幻，特效...索性就当故事看好了 作为故事是精彩的，笑过，平静过，哭过...作为一个普通人，看了还是很感动的，独孤月像极了日常里的大多数...

                         "
8,河北省,"我的第一次自己看电影的经历贡献给了《独行月球》。奔着沈马组合，本想带着欢乐的心情出来，结果却是数次落泪，以及回家后引发的思考。 这部电影最打动我的，无疑是浪漫的爱情，不敢表白的维修工独孤月暗恋着高高的女指挥长马蓝星。当时，出身动力工程师的他选择了低一等的维修...

                         "
9,安徽省,"下午刚看的，很失望。1、都是些一般的梗，这边还没笑起来，剧情就忽然开始煽情了，如此这般反复了4、5段。2、选角当面：看着马丽饰演的女神，老出戏，其他几个配角，黄子韬、舰长、钳工要么是不搭，要么就是生硬别扭。3、不知道导演要表达啥。总结下来就是又臭又长，爆米花电影...

                         "
10,山东省,"在眼下经历过几番疫情的折磨，经济形势不明朗的大环境下，《独行月球》这部电影的出现，无疑像阴霾下的一抹光，是给对眼下无力对未来无望的高压现代人的一支超强甜味剂——生活那么苦，总要有点甜吧。它的出现，恰逢其时。就像剧中对独孤月的直播，相比灾后重建，人的精神状态...

                         "
11,湖北省,"电影的质感实在是太好了，音乐也很到位，尤其是金志文的作品，歌词真的太形象又到位！ 作为科幻片儿喜剧的效果差了点，感动的成分好多，沈腾马丽戏说月盾计划，刚子的乱入也起了画龙点睛，去炸毁小行星的部分尤为感人！ 国产科幻喜剧做的很好，第一次见到大范围的在月球上的电...

                         "
12,辽宁省,"独行月球 麻花还是挺适合用喜剧片的维度和方式来注入责任、信念和爱的主题 喜剧无厘头的维度 可以让我们忽略一些剧情上的“bug” 一些硬凑发生的故事 但这些故事带给我们的 是关于人性、人生和世界的思考； 一开始马蓝星虽看到了遗落月球的最后一人独孤月 选择了舰上其他人的生...

                         "
13,天津市,"1、全片最好笑的：是腾哥看到地球上亮出一行字：你不是。。。人。至今回想起来都忍不住喷水。 2、这片子一路搞笑下去就好了，偏要在后面煽煽情，感动一下我们。港真，在好莱坞同志多年摧残下，对这种个人英雄、拯救地球、生离死别的桥段已经不咋感冒了。 3、腾哥、丽姐年纪真不...

                         "
14,山东省,"

                        在小野丽莎唱着《moon river》、《fly me to the moon》以及《take me home country road》时，是我第一次从福州远赴厦门鼓浪屿去参加小学同学的音乐会。 在大学里有一个不成文的规定：如果谁脱单了，一定会在海堤放烟花。 而对于我来说，海堤是一个“夜晚跑步”的地方，右边望...

                         "
15,河北省,"沈马组合时隔七年的再度合作，果然不负众望！ 沈腾饰演的独孤月是一名航天飞行器设计师，对马丽饰演的马蓝星一见钟情，独孤月因为埋头给马蓝星写情书，错过了撤离通知，意外留守月球。影片“含腾量”相当之高，配角也很有戏，“多喝烫水”的常远，笑料不断的网红配音解说黄才伦...

                         "
