序号,地区,评论
0,吉林省,"

                        喜欢动画电影的朋友也可以去看看《心灵奇旅》啊！排片实在太少了呜呜呜可以去支持一下。以下是我的影评：https://www.douban.com/doubanapp/dispatch/review/13081881（不要翻到最后，后面都是牢骚） 完全没有想到，能在这部动画电影里，看到如此自然有新意的女性叙事。 不是苦...

                         "
1,香港特别行政区,"

                        第一次被豆瓣的评分骗到、雷到和恼到！ 8.2分，完全出乎我对一个高评动画片续拍低预期的意料，以为《玩具总动员》系列的神话复现了，那么就看能匹配高分的高品质影院场次吧——花了近百元看imax大场子，但换来的是极度失望和恼怒。 这部彻头彻尾的夹带左派私货的宣传片，亦步亦...

                         "
2,甘肃省,"比第一部差很多，意思表达的太刻意，很多台词感觉说出来一点也不自然。疯狂原始人遇到文明人，还感化了文明人，感觉好像在表达现代社会的底层人和富豪相遇，并感动富豪，有种为了表达而表达的感觉。电影里人物态度的转变也很不顺畅，由文明和原始的冲突到理解转折很生硬。情节...

                         "
3,浙江省,"

                        要我说，这是时隔七年最好的续集！无论你想要是轻松大笑还是严肃探讨，都能在影片中找到令人满意的部分！ 关于「墙」 当世界被墙分割成两半，生活在墙里的人，有谁不想要一个冲破围墙、蓦然出现在你生命中的姐妹呢？ 你们一见如故，兴奋地谈论着人生、价值与世界，她展示给你的...

                         "
4,江苏省,"因为著名台词“那不是活着，你那叫没死”而对《疯狂原始人》有滤镜。所以《疯狂原始人2》出来了马上去看了，然后怎么说呢，只能说“那不叫延续，你那叫没死”吧。 或许是想要表达的东西太多了，《疯狂原始人2》给人感觉很“满”，因为满和缺乏新意，所以主题很不突出。 首先，...

                         "
5,安徽省,"

                        《疯狂的原始人2》真是教科书级别的阖家欢电影，它把不同年龄层的审美进行了平面化的分层，再融合到一起，从而达到老少咸宜的效果。真的展示了剧本行业的工业实力，值得国内学习借鉴。 阖家欢难就难在跨年龄层的众口难调。低龄化剧情小孩看得高兴，大人如坐针毡，比如《熊出没...

                         "
6,安徽省,"

                        平庸的续作。打分全在技术和开头那一小节上。 出来之后看到评分颇高，又陷入“我这次是不是又偏离大众口味”的迷惑里。 本片一直让我有强烈的违和感，下来之后想了想这种奇怪的感触由何而来，到吃饭时突然明白了： 来自于制作方做的其实是一个美国社区故事。 一对典型的美国中...

                         "
7,安徽省,"我看的是国语版，因为翻译的缘故，一些名词可能存在偏差。本来是想像第一部一样再认真拆解下故事，但看完以后发现有点尴尬。《疯狂原始人2》是一部几乎在各方面都很棒的动画电影，唯有故事显得稍微浅了一点。 （不是说浅就不好，只是没必要写故事解析） 在剧情上，该有的都有，...

                         "
8,内蒙古自治区,"我不明白为什么人家能够持续不断地写出这么这么多好的故事，从魔戒哈利波特，到疯狂动物城冰雪奇缘到飞屋环游到寻梦环游记到玩具总动员到… 我们的动画片，除了孙悟空唐三藏，到哪吒二郎神，还有别的什么吗？大闹天宫三百年，哪吒闹海千百遍，当然你可以说你找到了不同的角度，...

                         "
9,广东省,"

                        剧透必然性85% ———————————————————— 第一部那时候带孩子看的津津有味 这一部按理说孩子更大一些 应该更欢乐一些 实际上没有 孩子们多数时候一脸懵逼 近些年的这类儿童电影 背负了太多硬核内容 《无敌破坏王》2对网络世界的反思 《冰雪奇缘》2梦幻式女性自...

                         "
10,福建省,"编剧，要把人物表面和潜在欲望，以及他想要的目标，以及阻碍，都想清楚。 人物的潜在欲望与表面欲望一定是相反的，不然没有写他的价值（限商业片）。 在故事进行到那个时间时，呈现出人物互相之间，当时的欲望交织情况。 讲的是人物在当时胜出的一面的欲望。 但该人物表面欲望...

                         "
11,四川省,"

                        在近日播出的《疯狂原始人2》中，再次对不同文化进行了描述，以表面的情侣因理念不合而分开，延伸到文明的撞击与融合。 Guy和Eep一家人一起奔赴“明天”，追着光，他们遇见了一面高墙，爸爸撞开了墙，背后是一片“人间仙境”。 丰富繁茂的食物和花朵，各种新奇的生物和谐相处，...

                         "
12,河南省,"

                        七八月暑期档来了个寒冬腊月大挪移，该是泡在电影院的一个月了。 去看《疯狂原始人2》前，还想着，去年冬天用琦同学的万达员工票看了第一部。搜了第一部的标记，竟然是15年！那去年琦同学叫我去看的是什么？再翻，不是去年？是前年！是《无敌破坏王2》……或许梦工厂在心中的印...

                         "
