序号,地区,评论
0,江西省,"

                        本人算追光老粉一枚，从他们第一部作品《小门神》就开始关注。那时候我觉得他们的创意点很好，传统神话和现代元素结合，非常有新意。 当时追光连扑几部，王微底裤都快赔的没有了，在这种情况下我看了《白蛇》，因为有华纳的加入，肉眼可见的有钱，技术比以前精进了不是一星半点...

                         "
1,贵州省,"

                        回家之后电影院看的第一场电影，真的生气，越想越生气，气得我打开弃用的豆瓣上来骂人。这片整体制作水平并没有很差，但真的是很久没有因为文艺作品这么生气过了，而且还是两个小时的超级加长版生气，看完直接给上海堡垒改两星。（豆瓣很久不登录还要手机号验证，更生气了） 看...

                         "
2,上海市,"先说好，《青蛇》评论里又涉及很多女性电影，百合姬情，软热情，男性凝视，等等的负面评论。 这些话题都非常有争议，包括我也说过很多次了，不喜欢现在的女性形象全是那种，前凸后翘，瘦得猴子似得，然后大眼睛蛇精脸—— 但是话说回来，青蛇就是个蛇精，蛇精脸好像也没毛病。 ...

                         "
3,湖南省,"

                        《白蛇2：青蛇劫起》上映5天，票房刚刚突破了两亿。 这个成绩不好不赖，但很有可能会助它成为今年最卖座的国产动画。 看看口碑，有夸上天的，有骂到死的。 好的地方显而易见，视效、制作、空间造型、动作设计……确实都有亮点。 但这些表面的华丽掩盖不了它的深层问题，而且这...

                         "
4,上海市,"

                        首先感谢美术特效组的辛勤劳动付出，你们完全值得拥有更好的编剧来施展才华。但很抱歉我实在是没办法给这部剧打三颗星以上。 关于整部电影节奏差劲、元素乱搭、人物缺乏动机的问题我就不去分析了，因为于我而言整部电影最恶心人的地方就在于强行伪百合，如果无脸男一开始是无脸...

                         "
5,河南省,"

                        130分钟的作品，拖沓至极，中间有一个小时都是我看电影都是一种“倒看你还能整出什么”的状态，没想到越看越崩溃。 不能自圆其说的设定到处都是。前期的舔装备开始，处处是对各种游戏的致敬，抄都抄不明白，舔装备那个设定毫无价值，因为后面都是灵魂飞走了。 故事整个就是一个...

                         "
6,山东省,"从大圣归来开始，国人对于动画的画风，特效就彻底被刷新和禁锢了，从而接二连三的动画都是如此彪悍的表达方式，但是我个人认为动画真的不是这样，故事内核当然都没有问题，但是这画风，这表达方式他是游戏，不是动画，满满的游戏质感，最近的几个动画作品连海报都是妥妥的游戏...

                         "
7,上海市,"

                        在最初流传版本的白蛇传说中，小青本就是一只雄蛇，在与白蛇斗法失败后，才甘心化作侍女服侍白蛇。方成培的《雷峰塔》传奇第五出里，青青的扮演者是丑角，被白云仙姑收服以后成为贴角。即便是在赵雅芝版本的《新白娘子传奇》中，也体现了这个细节，陈美琪一出场就是个风流倜傥...

                         "
8,新疆维吾尔自治区,"这部电影，让我想起我高中的时候写作文。 心里先想一个梗概:小青因为对小白的执念进入修罗城，然后逃出修罗城找小白 再想一个能升华的主旨:女性要独立，不要依附别（男）人的保护（弱如许仙不能保护姐姐，强如司马官人不能保护小青） 然后开始塞东西写作文 开头要吸引人，要引...

                         "
9,江西省,"

                        白蛇传最后留下的谜题只有一个：被雷峰塔镇压了五百年后，后来怎么样了？白蛇去了哪里？青蛇又怎么样了？还有许仙呢，他还活着吗？ 他们还互相爱着吗？如果是，那么他们会怎么做？ 这是所有从白蛇传的结尾开始续写的故事，都不可逃避的问题，也是所有关于《白蛇传》的故事改编...

                         "
