,大概广电局也不知道该从哪里剪
,1、电影确实精彩。2、没有想象的难懂，相信你自己。3、总会有一个让你记一辈子的镜头。4、请降低期待值。5、请提前上厕所。6、记得关手机。7、一定要去影院，因为影院也是个造梦机器。8、记得听完结尾音乐。因为它负责让你醒来。9、极可能是近几年你在影院看过最精彩的电影。10、穿越吧少年
,卡梅隆负责革新电影技术，诺兰负责革新电影结构...
,一部电影好看到即使你明白它在故弄玄虚也是义无反顾的打五星。
,你永远记不起一个梦的开端，就像记不起我们如何来到这个世界上。
,确实挺好看。人人都在评论这片，我也评不出个鸟来了。因为《盗梦空间》这片，中国人民已经陷入了智商无限的癫狂幻想之中。人人都觉得自己的解释最牛逼，人人都觉得自己是哲学家，是心理学家，是数学家，是诺兰的知己。
,我的陀螺停不下来了。
,所有的梦境中柯布中都戴着戒指，所有的现实中柯布都没戴戒指，所以陀螺只是障眼法，戒指才是真正的图腾。结尾柯布根本不在乎陀螺有没有停下来，因为他出机场的时候没戴戒指，他早就知道自己回到现实了。
,“既然做梦，就做大点” 这句太深得人心了。——2010年最天才的电影。“谁又能说，现实不是梦境。” Do you remember how you got here?
,一直在牛逼，从未被超越。只有Nolan才能达到这种境界！！！
,前期的口碑营销确实有点儿过了，绝对还没有达到神作的级别，但依旧是近年来最好的影片，诺兰独有的叙事技巧视觉风格以及影像语言都被完美的贯彻其中，其遵循并热爱的怀古之风从人物造型，台词蔓延到拍摄手法以及特效制作上，不过正因为如此，一些动作戏上的处理还有视觉奇观的展现则还不是那么过瘾。
,我还能说什么呢 出影院第一件事就是拿iphone 上豆瓣 至少5颗星啊 第156个评分的 哈哈哈哈 一直要用心用脑看的电影 内容很严谨 逻辑性强 非常好看 等高人仔细分析。。 又去影院 看了一遍 很爽 很抖擞
,你们终于知道我每天晚上做这种梦有多累了吧
,概念不算新鲜但还不错 ;p 充斥许多漂亮的慢动作镜头和带点匪夷所思的建筑构想，视觉效果挺棒的！偶尔会令我想起Paprika……
,《奠基》是一部复杂精致并绝对精彩好看的电影，他让你在片尾字幕出现时完全反应不过来之前的两个半小时发生了什么，就像一场梦境一样让你匪夷所思却又流连忘返。
,好烧脑的电影，看了两次才看明白，好吧自己笨了点。佩服编剧导演了
,列奥纳多干完这票肯定是要去Shutter Island修养一阵了。
,Christopher Nolan是天才!
,诺兰+莱昂纳多的电影，我无话可说！
,永远别用回忆来建构你的梦境
,迷离失所，戏假情真！
,为什么我就觉得不好看，一点点阿凡达，一点点禁闭岛，一点点这个一点点那个拼在一起，水果硬糖出来演科技女，来昂纳多成了精分专业户，可以的，你们可以再拍盗梦二，盗梦三，但是怎么来说都跟一个幻想狂的中学生写的作文似的，那叫一个牵强。
,"很是失望。本片创意构思和特效场面都还远不够震撼，叙事上有点弄巧成拙，故事发展全部依赖大段大段的对白，不痛不痒矫揉造作的情感戏形同鸡肋，再加上迪卡极为拙劣的演技，使此片不可避免地成为一部平庸之作。
剧情谈不上有多复杂艰深，想象力也远不及《黑客帝国》《移魂都市》等佳作"
,就那么一个创意，被大家吹得玄而又玄。片中充斥着毫无意义的枪战。看的过程中惟一的惊喜就是CCTV了。
,有人说诺兰克死了金敏……
,诺兰后期的几部电影都犹如教科书般精确和经典。本片尤其如此，在所有的电影元素上都极其精准……故事层面也做到了商业和艺术的完美平衡。是我个人2010年的年度电影。
,庄周一句话就搞掂了，费那劲儿干啥
,窗口上，玛丽昂对莱昂纳多说，我跳！你也跳！结尾和片中的一些配乐，演唱者就是皮亚芙……
,设置了很多悬疑，每次重新看都有新的发现，是一部经典的电影！
,要想从梦境里醒过来需要重大撞击，但有时你无法分辨到底是不是在梦里，所以有了陀螺这个图腾。然而你又怎么确定你现在经历的现实不会是一个梦境？梦醒的条件大概就是离开这个世界吧。梦、梦中梦、梦与现实错综复杂，即使烧脑多看几次也会看懂的电影，值得一看。
,看的时候绝不能分神 不然马上就看不懂剧情了
,这部片试图从头看了好几遍，但都没有看到最后，我智商不够啊，烧脑
,我就是觉得NB，用那个最容易驳倒的辩词“有种你们也拍一个我看看！”
,本片可用于测智商
,【上海博纳银兴】【UME双安】心理学导论观摩教学片，植入了以下心理学概念：平衡觉、视错觉、记忆、梦境、认知空间、潜意识、防御、情绪、动机、强化、心理咨询。上个月在后海边，同学突然问：“怎么证明现实是真实存在的？”我答：“证明不了。”——这就是本片的缘起，它在试图证明。
,重温了盗梦空间，的确没必要拿它跟红辣椒比。多年以后，还是很喜欢的。诺兰把梦境感做的很足，跌落的瞬间也很令人信服，电影真的植入了怀疑真实的一颗种子，此时的我分不清梦境与现实。
,……开放式结局……看到最后全影院一起喊：come on！
,电影比较烧脑，梦中梦，梦里有梦，不细看真不知道主角进入到第几层梦境
,炸飞！！！！！！神作！！！！！！！！
,MLGB诺兰你熊的！这TMD就是我想要拍的电影！！！
,在梦中打造自己的世界，其实也是挺恐怖的
,这个间谍故事在动作指导方面趋向007邦德系列，其中不少桥段都是导演诺兰在向自己最爱的邦德电影【女王密使】致敬，在我看来【奠基】更像是一部科幻版的 007电影。 ★★★★★
,故事的架构本身实际上仍旧是在类型片的领域内厮混 如此多的大制作动作部分也决定片子本身是走票房路线 不过谁规定走这一路线就不能有深意呢 即使亡妻情 梦中梦的设定都不算新鲜 但诺兰对节奏和视觉效果的把握却值得称道 宏大场景和开放结局 以及令人印象深刻的大量走道场景 可说是类型片巅峰作
,电影啊，造梦艺术，一部电影能拍成这样，至少在娱乐功能上已经登峰造极了，两个半小时黑漆漆的电影院里，我一直在梦里，跟我生活的现实世界完全无关。诺兰，我继续做你的粉丝。
,感觉永远无法走出一层又一层的梦境
,豪华版memento
,"时隔十年大银幕重温，仍被imax的音效震住。回头再看，当然不必再觉烧脑，但这种对梦境/现实多维度多线索地合拢叙事，俨然已成某种可用来借鉴的模式——即使影片本身也印有致敬痕迹。

以博尔赫斯的圆形废墟时间交叉概念先行——“时间永远分叉，通向无数的将来。在大部分时间里，我们并不存在；在某些时间，有你而没有我；在另一些时间，有我而没有你；再有一些时间，你我都存在。”强劲的想象产生现实（以致于无法区分意识边界的极限），梦是通往/影响/改变现实的途径；用记忆编织的梦境是危险的，因为就连记忆本身亦充满主观的谬误与篡改。人类最痛苦的根源聚焦浓缩于片中两个心结——夫妻之间与父子之间，也是打造四重梦境的立足点；无论科技多么进步，情感永远是我们无法绕开或解决的难题。

以及结尾——当然仍处于某层梦里啊。"
,今敏大人啊~~您的点子被电影化，感觉好像科教片……
,没感觉多好看，你们接着炒吧
,虽然感觉挺烧脑的，但不可否认，也很精彩啊，很不错。
,国外电影结构剧情技术意识都如此了，让国产电影情何以堪。。。
,一定要耐心看完字幕。我承认最后那几秒镜头我完全没想到……
,卡梅隆突破了，有了创新，名导就是名导，制作精良。
河北,除了影片自身的魅力，片中斋藤身为甲方如此努力让我吃惊😭😭    他爹的我怎么碰不到这种甲方
,"You&#39;re waiting for a train, a train that will take you far away. You know where you hope this train will take you, but you can&#39;t be sure. But it doesn&#39;t matter - because we&#39;ll be together."
,"You mustn&#39;t be afraid to dream a little bigger, darling."
,"第一次看还是选择中文版好一些。20171005终于想起来二刷，为当面的自己汗颜。明明自己电影院睡着了，只能留下那种模棱两可的评价，这次转为5星好评。"
,这故事对我有致命吸引力。好看死了。虽然觉得有点急躁可以做得更好，并且本应可以再往人物和故事的深度发掘。
,还是习惯叫它《奠基》。赞美的话太多人说了，不再重复。克里斯托弗·诺兰再一次证明了自己驾驭非线性叙事电影的超凡能力。虽不敢说自己百分百看懂，但是绝对没有大多数人传说的那么难懂，不过肯定是一部会需要你动脑子的影片。至于结局……仁者见仁智者见智，一千个观影者就有一千个哈姆雷特★★★★★
,这故事也忒烂了
,烧脑的诺兰，一贯的大师。三生有幸生活在诺兰的时代，并有幸在电影院一睹风采。配乐大师也是功劳显著，诺兰惯常的闪剪直接让观者感受到高潮一般的快感，内心激荡而震撼，绝望而嘶吼。
