序号,地区,评论
0,河南省,"

                        2021/07/31-2再加一点第十点。 2021/07/31 更新一下第8、第9点，所写的这些，是个人的观感，先说一下，一开始看电影就是冲着两位主演去看的，嗑他俩的cp，但是看电影的重点也还是电影所表达的内容，故事说的好不好，所以无论他们在没在一起，或者喜欢的是什么，都不影响我对电...

                         "
1,重庆市,"

                        說實話 Coming of Age題材的絕大多數中文影片一直都濫觴到無以復加 其中不乏劇情狗血至極的 讓我後來看到有這類題材的新片上映都興趣缺缺 而正式公映當天會去看「盛夏未來」首先因為工作的關係 曾經和兩位主角分別共事過 實際接觸後 更讓我篤定之前對他們的欣賞沒有走眼 再加之...

                         "
2,上海市,"先来段百科，“ Z世代，是美国及欧洲的[流行用语]，意指在1995-2009年间出生的人，又称[网络世代]、互联网世代，统指受到[互联网]、即时通讯、短讯、MP3、智能手机和平板电脑等科技产物影响很大的一代人。 ” 拍给Z世代的青春电影，创新最重要。 然而，无论在什么时候，创新都...

                         "
3,山东省,"

                        电影落幕，灯光亮起，在电影院听完阿信的《青空未来》才走。 一边听我一边吐槽说“好烂，阿信用脚写的歌吧。” 结果24小时过去，我还在听这首歌。 脑海中浮现出郑宇星和陈辰的样子，有很多不同的样子。 啊，后劲好大。 被无限的遗憾打败，被回不去的必然打败。 用尽一场青春的...

                         "
4,辽宁省,"

                        点映看完了，这部片子真的很好看，不愧是我冒着雷暴大雨水浸街也要跑去看的电影。没有堕胎车祸癌症劈腿那些狗血剧情，干干净净清清爽爽的青春校园真是太美好了！！真的一点也不是以往看过的那种虚假的青春片，很真实，真实地接受有人喜欢你，有人不喜欢你，你喜欢的人不喜欢你...

                         "
5,北京市,"

                        (改自本人公众号:Solituder唠电影) 说不感兴趣也好，说狗血还容易踩雷也罢，自己去影院最不太想接触的类型，便是国产青春片了。 甚至片中男主zyx也提到“我讨厌青春片”（bushi 而这次，在子枫妹妹和不错的友邻口碑的号召下，我走进了盛夏，回到了未来。 一、盛夏 这是一部特别...

                         "
6,江苏省,"文/ ☝️ 编辑/ 食指二号 就挺秃然，想说几句。你们就不要期待什么高谈阔论了，我就说些经验之谈了。 可能是想恋爱了吧，前几天去看了《盛夏未来》，呵呵。 首先得👍一下，吴磊和张子枫。在这部《盛夏未来》里贡献了这半年来最舒服是话语表演。一个21岁，一个19岁，贡献...

                         "
7,黑龙江省,"

                        直女爱上gay，不是新鲜事儿，往往爱上一个就会爱上三四五六个，最后集邮变成弯仔码头。 然而她们并不卑微，相反心气还特别高，正如张子枫脸上的倔强，那种绝顶聪明看破一切的清冷，在少女时期达到了最高峰——尤其是高考之前。 盛夏未来，生命还没开启，女孩子的路每走一步都要...

                         "
8,黑龙江省,"

                        你会弹五月天的《拥抱》，但你是GAY还是直男？ 你喜欢烟鬼×酷玩烂大街的《something just like this》，而你是直男还是GAY？ 比起性别，性向太高深莫测。或许每个人都会按照自己想要的去给个正确答案。 看完《盛夏未来》，其实脑子里只剩下两个与上面两个问题基本无关的场景。...

                         "
9,上海市,"小红花的照片，缉魂的换脑，秘密访客的形婚……我一次次告诉自己不能接受这种示好，它们实在太廉价。 但这一次，中英文字幕的对照成为这个时代最尽力的讽刺。它指出，消解了我们存在的，是中文语境。明的神秘与不可触碰，在片中是郑宇星的伤痛，在片外则指向这个不可见不可说的...

                         "
10,广东省,"

                        说在前面：本文涉及大量关于本片的剧透，请未看过且在意的朋友注意闪避。 走进电影院前，我着实没想到《盛夏未来》会是一部如此认真的青春片。 最初这部电影吸引我的是张子枫、吴磊、陈正道这个足够值得期待的组合。而一年来剧组大小的宣传看过来也印证了我对他们的期待：两个...

                         "
11,广西壮族自治区,"

                        相信走出影院的片刻，盛夏未来会带来一些遐想与深思，一些回味与无穷，带给观众思考的影片总是好的，有人说两极分化总是饱受争议的佳作。争议思考说明故事讲到观众心坎里了，千千万万的人们对一个故事有不同的解读和理解，前提是故事有解读的意义和价值。在铺天盖地的玛丽苏偶...

                         "
12,河北省,"

                        首先在这里我要感叹一下吴磊弟弟的演技，导演说他整个表演非常生动，把郑宇星带得比剧本更精彩，就是更有魅力。我真的想说要不是他把这种文艺范复杂程度高的男主演出来了，我也不会扰心抓肺的几天睡不好还三刷去看细节了。 1。关于MING，影片中没有露脸过，出现在众人场面只有...

                         "
13,江苏省,"

                        盛夏未来我二刷了，为了吴磊。 本来今年长歌行被吴磊惊艳，以为这个就是他今年塑造最出色的角色了，谁知道7月30号去看了盛夏未来，实实在在验证了吴磊粉丝的一句话——吴磊最精彩的角色一定在下一个。 演技要看人设分析，郑宇星的角色人设我认为有相当的难度，表面阳光可爱自恋...

                         "
14,陕西省,"

                        一些感受（短暂性的） 未来是对光年的回忆，光年是对未来的幻想，披着不同时代下的虚幻外壳，说着相似内核下的青春往事，时代终会改变，生命终会老去，但属于我们的青春回忆依旧如此相似。看似藕断丝连的跨时代作品，勾起了多少人的过往与记忆，影片被烙上了时代的标志，绑上了...

                         "
15,四川省,"内地往往拍不好青春电影，原因无他，内地少年人的青春里，枯燥焦虑，青春电影里的爱，晦涩，在内地人的校园记忆里罕见。 如果把盛夏未来定义为青春电影，那么这个预想不会让你的观影体验有多美妙，你总能从自己曾经的少年时代时挑出这部电影有多么的超出现实，多么的不合常理，...

                         "
