序号,地区,评论
0,湖南省,"

                        很遗憾，上周刚看完以后写的影评被审以后再也没有回来，于是写下这篇观 后后后 感。 前一段时间很迷茫，朋友和我说，“你应该来看看这部电影，开始可能没什么感觉，但是相信我，看完一定会离答案更近。”于是我抱着找答案的心态前来观看，周五夜晚和室友一起在小公寓里用投影仪...

                         "
1,湖南省,"整部影片设计感很好，情节天马行空，充满着荒诞现实感。或许我们常常思考人生的意义，每天为一些小事纠结，我们渺小如尘埃，好像无论是存在本身还是整个世界都没有丝毫的意义，肉体似乎已经难以承受思想、灵魂。但是，我们存在，所以值得，我们肆意，我们去爱，我们幸福，我们...

                         "
2,山东省,"感觉还是节奏太快，总感觉全部人只能逮着空隙说两句慢慢的台词。 但是大开的脑洞，无穷的世界每个都很有意思！好喜欢石头的世界。感觉静静躺着好爽啊。 之前看了坠入，感觉分线讲故事的方式很有意思，（不过坠入是单方面影响）在这算是有个主世界，但几个世界互相影响，最终解...

                         "
3,上海市,"

                        个人非常喜欢影片中做一个选择就会分裂出一个宇宙的设定 每一种可能性都有实现 这样的话遗憾会不会就少一些呢 影片让人思考 会不会是真实的，真的就有这么多 Betty好可爱，和Joy的线 “呢个系老友嚟噶” “女 朋 友” 还有Evelyn和审计员在热狗世界的线 真不错真不错 Waymond也...

                         "
4,台湾省,"亏得还有那么多人给她点赞，真的吐了。节选她的一段话，“哭着请求父母爱的孩子很多，可反过来的例子却很少。这不是因为父母无私，而是因为孩子对父母的爱才是没有条件的”。 这人肯定不是吃粮食长大的了。很恶心。 这么多点赞的人，是没有看懂，还是真的有同感。你们觉得自己...

                         "
5,北京市,"我问如果有平行宇宙 在任意一个选择点选了另一个方向 我们是不是就不会在一起了 你说不会吧 应该最后都是你 如果我们不是在那个彼此低谷的夏天相遇 会是在哪里 可能是在高中哪个走廊擦肩而过 “同学不好意思借过一下” 但那时青涩的我们未必会多看对方一眼 月老说还不到时候 各...

                         "
6,山东省,"

                        内容简介：美国华裔伊芙琳面临着家庭事业两崩溃。却突然被无能丈夫邀请一起拯救世界，而boss竟是自己的女儿，伴随着多重宇宙穿越，带来的天马行空之作。 关键词：杨紫琼、丹尼尔兄弟 该片最为突出的是它的无厘头风格，天马行空的想象力，类似于蜡笔小新大剧场的黄暴梗，以及多...

                         "
7,澳门特别行政区,"

                        时间 亲情 愛 家庭 理解 宇宙 瞬间 永恒 将一切揉在一起一切又恰到好处，荒谬绝伦的世界观却夹带着最最朴素的道理。三个篇章的安排简直太妙了，虽然早就想到秀莲最终还是会回到原来的宇宙，但没想到回转的这么动人。在最最糟糕的时候也会转折的，那是得到爱的刹那瞬间，那是感...

                         "
8,北京市,"我看完了瞬息全宇宙，最浅最直接的感受是： 妈妈试图管理一切，让所有事情处于[正常]运转，而且因为让一切待在秩序里这样的追求本来就很逆天，她不得不产生一种不耐烦，为什么大家不能都各司其职，干该干的事，不要乱找事，让我省心点，大家都安分大家不就都能happy吗？而妈妈...

                         "
9,四川省,"昨天晚上看了瞬息全宇宙，虽然之前微博上有很多好评，但还是没抱太大期望，因为电影了怎么能没有美女，没有美女起评分就该减二分[/抓狂]。不过看完后让我觉得豆瓣的高分是有道理的。星际穿越用的是四维空间的概念。该片则是无数个平行宇宙空间的概念，我喜欢这种用宇宙空间概念...

                         "
10,北京市,"这片子看了一半纯纯的媚洋啊， 里面中国人做洗衣店，穿大花棉袄。那一套衣服我看了有被冒犯到，怎么中国人都是穿那么难看老气的衣服吗。 看了一半这纯纯就是跪着满足洋人对中国人刻板印象而拍的片啊。 不好好报税，，，被白人想尽办法为难 害看了一半觉得一言难尽 很尴尬的剧情...

                         "
11,天津市,"

                        平行时空的假说，虽然至今没有被物理学所验证，但确实是给人们带来了无尽的幻想。 现实中我们错失或放弃的每个选择与希望， 高考时选择的城市与专业， 弄丢的那个陪伴自己的人， 为所谓的美好未来放弃的机会， 甚至是在事后才得知是最后一次的相见， 我们都寄情于那个没有失去...

                         "
