序号,地区,评论
0,福建省,"

                        3.5。这种桌面电影（第二部好像也不是很桌面了）第一部很是新颖，第二部就没新奇感了，整个故事的发展和前边小女孩使用网络抽丝剥茧毫无影响，甚至抛开小女孩查找信息的镜头，整个故事流向也不会变，就是一顿操作猛如虎，狂炫酷拽无用处。所以我认为第二部丢掉了第一部电影中最...

                         "
1,江西省,"嗯，好久没看过关于沉重的现实家庭氛围情节了，好像都忘了还有这么一回事，我的意思是一个家庭因为一个人使用暴力而带来的沉重，那种难以呼吸的压抑。 我始终无法想象，假如我是女性，我正在小心翼翼的试图和我老公争论，甚至带点取悦的意味，或者说是哄着他，但还是一顿拳打脚...

                         "
2,福建省,"20230309私人顶级电影院观影之《网络迷踪2》 今晚电影《网络迷踪2》吸引了五男三女共八位观众。 这是军军在私人电影院观赏的第94部电影，也是2016年以来在电影院观看的第609部电影。 《网络迷踪1》口碑很不错，我还没来得及看。《网络迷踪2》感觉没达到我的预期。 首先是颜值太...

                         "
3,内蒙古自治区,"20230309私人顶级电影院观影之《网络迷踪2》 今晚电影《网络迷踪2》吸引了五男三女共八位观众。 这是军军在私人电影院观赏的第94部电影，也是2016年以来在电影院观看的第609部电影。 《网络迷踪1》口碑很不错，我还没来得及看。《网络迷踪2》感觉没达到我的预期。 首先是颜值太...

                         "
4,山西省,"电影看完过后，观感上有两种感觉，一种是好莱坞的政治正确，一种是种族多样性 女主小时候看着不像是白人和黑人混血，而到是有点像黑人和亚裔混血 女主是白人和黑人混血（明显政治正确） 关于亚裔，我看了这么多好莱坞电影，没见过哪个电影里，亚裔包括混血出镜人数这么多的 而...

                         "
5,上海市,"现如今电子设备盛行，谁身上没个手机、电子手表、电脑或者平板什么的，这也催生出一种电影：桌面电影。顾名思义，就是主要集中或者全部电脑桌面为载体，观众犹如对着屏幕看电影！ 其实桌面电影最早在2011年的《梅根失踪》有了雏形，直到2014年的《解除好友》才让人们看到了桌面...

                         "
6,新疆维吾尔自治区,"第一部是爸爸找女儿，这一部是女儿找妈妈，两位主角信息检索能力都是MAX，核心都是亲子之间的沟通隔阂和深深的爱。这部片因为主角是年轻女孩，所以还加入了一些年轻人时尚和幽默元素，不像第一部全程严肃。还有，两部片都有亚裔演员。 两个故事都是在同一个世界观（有一个播客...

                         "
7,云南省,"

                        文/叶秋臣 最近真的是剧荒，刚刚追完《爱情而已》大结局，短剧《招惹》也快最终篇了，几番犹豫之下唯有把此前一直拖作业的《大宋少年志》提到日程上来填补闲暇时光，躺在手机里下载好的目录还不知应该开启哪个下一部，大概率是《尘封十三载》吧。 另外，还翻出过去标记的待看清...

                         "
8,浙江省,"2018年的《网络谜踪》投资不足百万美金，全球斩获7500万美元票房，令这种以小博大的桌面电影有了巨大的商业潜力。五年后，《网络迷踪2》袭来，虽然故事不如上集，但这部R级片同样是反转不断，足够惊险刺激！ 上一部是父亲救孩子，这部是女孩救妈妈，叛逆、倔强又敏感的少女朱恩...

                         "
9,贵州省,"

                        《网络谜踪2》与第一部都是以桌面电影的形式，通过单亲家庭的带系隔阂展开一段关于搜寻的悬疑叙事，最终找回某种遗忘已久的血缘之爱。关于桌面电影，就是用录屏代替摄影，用屏幕代替相机，用文字代替对白，摒弃了传统的视听语言和镜头美学，包括构图、景深、光线、色彩、影调等...

                         "
10,浙江省,"开分时比第一部还高,  结果事实证明确实不如第一部好看，且bug太多,  和同档期郭富城的《断网》一样，警察毫无用处，完美衬托出一个 18岁 女儿的超强侦探能力。以及,  密码全靠猜，主角光环猜一个准一个。。。想当初,  第一部能感觉到如此新颖的表现形式,  开创了该类别电影的...

                         "
11,上海市,"

                        这个爸爸刚开始我就觉得没死。动机也能理解。这个妈妈也是真绝，可能是担心以后女儿埋怨自己吧。下面捋一下故事线。没看过的看不懂我在写什么。 June去接妈妈和男友回来，没接到。她找了个哥伦比亚的跑腿去酒店看监控，得知行李都没拿走，女主登上了男友的账号得知他联系了一个...

                         "
12,新疆维吾尔自治区,"相比起2019年《网络谜踪》第一部在网上山呼海啸一般的盛况，时过五年的《网络谜踪2》可谓悄无声息，网络上线已经快一个星期过去了，但各方面的宣传和讨论似乎仍然不曾浮现，就像它与第一部片名《Searching》相对应的第二部片名《Missing》一样，电影本身也如同幽灵一般missing...

                         "
13,安徽省,"哇……这片子看的可真是太爽了！ 从头到尾跟着黑人女孩紧张得不行。 《网络迷踪》第一部是亚裔父亲找女儿。 《网络迷踪》第二部是黑人女孩找妈妈。 网飞真的很会耶！知道有色人种是弱势群体，不是丢孩子就是丢父母（估计下一部会不会是找妻子或者找丈夫啊），然后几乎凭借一己...

                         "
常困难的事...

                         "
14,湖南省,"

                        妈妈离开去度假，女儿一个人在家。在父亲节的时候，失去父亲的女儿倍感孤独伤心。 妈妈却没有回来，女儿开始寻找有关妈妈的一切线索。通过谷歌定位母亲男友的位置，通过消费记录定位他们光顾的店铺，互联网就是这么强大。终于查到母亲的男友是个诈骗女人感情和钱财的惯犯。 回...

                         "
15,江苏省,"（以下记于2023.3.25） 1. 没有看过1 但耐不住热度高啊. 2. 母女间的纷争 很像我现在生活 想管太多和不想被管太多. 3. 影片拍摄风格配合摄像头和手机截屏 从形式到内容的连接 很棒. 4. 喝醉酒的视频录影 像极了我. 5. 悬念感来了！ 这个谷歌实时翻译的桥段也妙 极大拉伸悬念感....

                         "
16,甘肃省,"

                        第一部的出彩和惊艳历历在目，这一部虽然没有青出于蓝，但总体来说还是一部完成度很高的不错的片子。 从悬疑角度上来说，第一部的背后凶手就是一直与父亲“紧密合作”的女警儿子。而这一部则是一个早就出现却在故事的前半段完全没有放入嫌疑人名单的父亲。很明显地怀疑过男友，...

                         "
