序号,地区,评论
0,河南省,"

                        以下涉及剧透，小心观看 ps.我算半个刘亦菲粉，花木兰是我很喜欢的题材,算是期待很久了。 1、巩俐饰演的仙娘（抱歉我百度查的，看完估计没几个人能知道她叫啥），整个电影里面唯一的开挂魔法师，能力值那叫一个牛逼，吊打花木兰和玩似的的，想杀皇帝也是探囊取物。就因为大家不...

                         "
1,江苏省,"

                        为了看进去，为了沉浸在剧情中，我做了很多努力，但是全都失败了。 剧情简直莫名奇妙，导致我只要带着脑子看，就会满脑子都是“这是啥？”“这又是啥？”“这TM都是啥？” 从开头柔然人用脚跑上90度角的城墙那一刻，我的三观就被这电影轰个稀碎，牛顿他老人家看到这一幕都得气...

                         "
2,山东省,"

                        迪士尼是诈骗犯。 花木兰看完了，他们的舞美是怎么错过中国那么多好看的中国服饰妆容找到最土最俗最影楼的那一款，各种荧光色和刷漆脸真的槽点太多不知道从哪里开始。 迪士尼没有钱了吗除了外景竟然上横店加上无数的奇葩特效，好多感觉梦回美人心计天盛长歌神都龙王仙剑奇侠传...

                         "
3,山东省,"

                        只谈故事/剧本写作。 迪士尼的真人改编电影的纪录向来是不怎么样，多是为了把一个半小时的体量扩充到两小时的画蛇添足的平庸。然而，花木兰绝对是创了新低，如果之前《美女与野兽》还有砸钱的土豪气息，那这次可能是洗钱，这个低，没有诚意、懒散到让人愤怒。在迪士尼文艺复兴...

                         "
4,广东省,"有独特美术风格的服化道，有武打镜头感在国内难寻敌手的摄影，有年薪百万的超赞调色师，有中国大美的实地取景，更有强大的卡司来做陪衬。《花木兰》没有不好看的理由啊？！ 然而令人难过的是，这部花木兰烂的完全垮掉。 你一个中国故事完全套用外国文化内核？ 阿谋老师，我错怪...

                         "
5,重庆市,"

                        新兵训练提水桶那个画面刚出来的时候我就在想：完了，这不是把动画里爬杆取箭的那一段改成提水桶了吧。。。最后发现真是这样的时候，正在吃晚饭的我真的要喷饭了。谁说女子不如男子，意思就是说最后还是要比谁力气大谁武力值高吗？特别喜欢动画里木兰爬杆的那一段，手上戴着特...

                         "
6,山东省,"

                        期待了很久这个电影的，因为期待，所以看的时候真的是心情很复杂。声明一下，我是怀着极大的包容心来看电影的，因为我知道外国导演拍中国背景的电影极少有成功的案例，更何况是这种有着民族情感的题材，所以看之前已经做好了这方面心理准备：只要迪士尼有诚意、好好拍，一些小b...

                         "
7,辽宁省,"

                        请大家谨慎带孩子观看迪士尼的花木兰，为什么这么说呢 这个电影 我看到了国外的傲慢和对我们中国满满的恶意 既然翻拍中国的故事，为什么不找一个中国的编剧，中国的明星 而不是清一色的外国人 又把老外喜欢的女巫情节和所谓的气放了进去 浓浓的美式个人英雄主义 剧情离谱，投石...

                         "
8,内蒙古自治区,"

                        申明（为避免双方心情不好）： 1. 我并没看过原动画作品，下面一切讨论基于记忆里对《花木兰》故事的解读。这也是我相较于其他观众有更低的心理预期的原因。 2. 我从未赞扬过西方电影曲解中国文化这种现象，只是想表达我们有自己的花木兰，我们的文化足够坚毅，不需为这件事气...

                         "
9,湖北省,"

                        9.15日小记：5号发的影评到现在刚好10天，这个花木兰可以说是寄托着太多太多人的期待了，无论从哪个方面来说这个电影都本该是最值得去电影院看最火爆最好的，可惜期望越大失望就越大，而且是完全彻底的失望，甚至可以说是太“无情”了！对我们从小到大在心目中所熟知的花木兰简...

                         "
