序号,地区,评论
0,广西壮族自治区,"

                        作者：迟狗 本年度最受期待的超英电影《蜘蛛侠：英雄无归》本周起「环大陆」公映，不散海外作者第一时间看完全片，肝出了这篇长文，包括「三蛛同框」始末、《蜘蛛侠》系列真人电影回顾，还有最重要的，《英雄无归》这部影片的剧情、彩蛋和观后感。 为响应漫威官方号召，最大程...

                         "
1,浙江省,"

                        《钢铁侠3》的豆瓣影评里有一句我很喜欢的话：“这是一部好电影，但不是一部好的钢铁侠电影。” 这句话在《蜘蛛侠3：英雄无归》里可以反过来：“这不是一部好电影，但却是一部完美的蜘蛛侠电影。” 2007年，八岁的我第一次在电影频道看到了《蜘蛛侠1》这部电影，此后的很长时间...

                         "
2,安徽省,"

                        不想评价剧情，除了三蛛同框的情怀之外，荷兰弟依然是那个任性的“熊孩子”，和他的俩前辈形成了鲜明对比，并且最终除了卖惨几乎没有成长，还想继续拍三部，这熊的也是很顽固了。 更值得探讨的是奇异博士被玩坏了的遗忘咒——The runes of Cafkal. 和之前预告的不同点在于，奇...

                         "
3,山西省,"本文总结《蜘蛛侠：英雄无归》目无归前已知的彩蛋与细节，结合漫画出处讲解，方便大家观影时留意线索。 剧透预警！剧透预警！剧透预警！ One More Day 影片中蜘蛛侠希望让世人忘记自己身份的情节，借鉴了漫画""One More Day"" (2007)故事线的剧情。 漫画里彼得在“内战”事件中向...

                         "
4,河北省,"

                        荷兰弟演技真差到爆了，全程一副张着嘴瞪圆眼的无辜懵逼脸，无论含泪还是微笑就看起来都一个表情，简直英国性转版郑爽，被加菲吊打，甚至被赞达亚吊打，和老绿魔的同框飙戏一整个完全接不住戏，老绿魔完全在情境之中，荷兰弟的飘浮游离仿佛一个热心观众在《我就是演员》的舞台...

                         "
5,广东省,"

                        这部电影的简介应该改为：三代目spiderman没带脑子自以为的所作所为以及所带来的后果，顺道连累一代目和二代目 真的是全员智商下线啊。逻辑bug一箩筐，双标无处不在。 1. 蜘蛛侠啊，Strange没有time stone了，已经无法让时光倒流了，你难道不知道吗？你们没一起打过灭霸吗？明...

                         "
6,河北省,"

                        【原本因为显而易见的原因给了4星，但这几天越想越恼火，考虑到这部电影分不会低，我也更应该尊重自己，改2星。】 快节奏的商业故事片里，事件因急迫性逼着人物抓紧时间行动。好的故事中这种急迫性会明确且合理，令观众感同身受，如美队2里母舰上天就会死人，银护里罗南落地就...

                         "
7,广东省,"《蜘蛛侠3》里最让我最为震撼的一幕是，小蜘蛛失去了梅姨、女友和死党全不记得他、哈皮也不认识他、全世界都忘记他之后，他一个人搬进纽约的一个小公寓里。在纽约冰冷的下着雨的夜里，在乱糟糟的新公寓里，彼得帕克穿上自己缝制的服装，放下了智能手机，用无线电波接收警方信号...

                         "
8,四川省,"

                        注意：有剧透。 只消除被剧透的记忆而保留其他记忆的咒语不存在，就像只让爱你的人记得你而无关紧要的人忘掉你的咒语不存在一样。 你们觉得应该有的东西，都有。 故事紧接着上一部《英雄远征》的片尾，蜘蛛侠的身份曝光，麻烦事接踵而至，他和他的好基友、女朋友、婶婶都被有关...

                         "
9,广东省,"

                        有电影粉丝评论我，被冤枉强奸的人一辈子都会被人指指点点，澄清了也没用，所以不用澄清，同理小蜘蛛被冤枉了也完全不用为自己澄清。 因为澄清了没用（粉丝脑补的），所以连澄清都不需要。 有意思，这不比电影本身有意思。 ————————— 原创部分没有逻辑全是硬伤，高光...

                         "
10,甘肃省,"

                        耽误大家1分钟的时间，我简单说两句。 电影开头无缝衔接《蜘蛛侠2》片尾彩蛋，神秘客曝光了蜘蛛侠的身份。 MJ身边的三个人都在《蜘蛛侠2》片尾彩蛋中出现过，但是第一个人从白人变成了黑人，第三个人的手机也变了。 MJ戴着一条项链。 《蜘蛛侠2》中，蜘蛛侠买了一条项链想送给M...

                         "
11,上海市,"

                        视频：[https://www.bilibili.com/video/BV1fr4y1v7Vt/] 蜘蛛侠：你能让人们忘记我是蜘蛛侠吗？ 奇异博士：可以，但我用超能力查看了未来，这么做会导致险恶五人组出现，他们还会杀死梅姨。 蜘蛛侠：那你能让人们忘记神秘客，以及他说过的话吗？ 奇异博士：可以。 全剧终。 蜘...

                         "
12,广东省,"

                        我从来没见过这么事儿β的男性 上一部结尾，全世界都知道它是蜘蛛侠。于是这一部开头，男主希望全世界忘了它是蜘蛛侠的事儿，然后找奇异博士帮忙。奇异博士发功时，男主一直在那里JJWW，一会儿说不让这个人忘记它，一会儿又说还要不让那个人忘记它。搞得奇异博士发功过程中改了...

                         "
13,广东省,"

                        2002年上映的山姆雷米版《蜘蛛侠》是我在电影院里看的第一部电影，已是整二十年前的事。电影散场从工人文化宫出来时天色黑透了，家长骑着自行车驮我回家，家人问我电影讲了什么，我却只记得绿魔在桥塔顶端将MJ和一车学生同时抛下，逼迫蜘蛛侠进行两难选择的情景，以及他的那句...

                         "
14,湖南省,"

                        视频：[https://www.bilibili.com/video/BV1Bq4y1k7fr/] 上一期我们讲到了《蜘蛛侠3》章鱼博士、蜥蜴博士被关进了圣所的监狱。 章鱼博士想起之前他在大桥上看到了绿魔，于是说：绿魔已经死了好几年了。 章鱼博士感到很震惊，因为在他的认知中绿魔已经死了，那么出现在桥上的那...

                         "
15,上海市,"12月13日，年度最受期待的漫威宇宙电影，新蜘蛛侠系列的第三部《蜘蛛侠：英雄无归》在洛杉矶Regency Village Theatre举行了全球首映礼。我代表《环球银幕》作为唯一受邀的中文媒体出席了红毯与首映，昨晚的洛杉矶冬雨绵绵，反而衬出首映现场火热滚烫的气氛。 道路两旁早早有粉...

                         "
16,台湾省,"

                        视频：[https://www.bilibili.com/video/BV17Z4y1Z7yr/] 上一期我们讲到蜘蛛侠和奇异博士产生了分歧。 随后蜘蛛侠抢走了盒子，奇异博士开启了传送门，导致蜘蛛侠射出的蛛网抓住了自己。 呼应《尚气》王用相同的方式让憎恶自己打自己。 奇异博士用披风去抓蜘蛛侠，呼应《假如》...

                         "
17,江西省,"

                        因为有三虫所以会喊演员名字做区分。 首先最难以接受的就是搞砸史传奇的咒语这件事，这么重要的咒语翻车的理由实在是太荒诞了，无论是史传奇的被干扰还是荷兰弟的嘴炮，都不应该作为那么重要的咒语的翻车理由，感觉想把这里处理的偏轻松一些，但最终呈现出来的效果却是严肃也不...

                         "
18,山西省,"

                        （剧透，介意勿进） ------------------------------------------ 托比老了，加菲圆满了，荷兰弟成长了。 超凡系列是我最喜欢的一个版本，看到超凡1的警长牺牲，无数人的帮助，这才是HERO。看到超凡2里加菲的痛苦，眼神中流露出的万分不舍，但是最后还是格温还是会去了。多么痛...

                         "
