序号,地区,评论
0,陕西省,"

                        rnm退钱，足球比赛明明是一比一哪来的金牌，有了防弹衣还金牌挡子弹，我十多年都没看过这么老套的桥段了。马上要做手术了，还找医生求一小时借高利贷，早干嘛去了。全程都在说什么儿子儿子，强行煽情，毫无逻辑，那个想杀达马医生的角色设置有什么意义？为了衬托他是个好医生？...

                         "
1,江苏省,"

                        点映写好的影评，现在正式上映了，可以发出来了 太过讨好式拍摄的国产流水工业电影 不如第一部，也不如原作《迫在眉梢》，和《迫在眉梢》不同的是那些碰壁的难处采用了插叙的方式进行，并且占时长极短的用蒙太奇手法一笔带过，这样观众只能感到这片的重心并不在这里，事实也的...

                         "
2,台湾省,"

                        《误杀2》，别看。 特别是如果你抱着再看一部前作《误杀》那样的心态去看，你将大失所望。 前作《误杀》，翻拍自印度电影《误杀瞒天记》，二者都是悬疑片。《误杀》带有较强的悬念性，而且两个阵营之间有高度的对抗性，这两点使得它娱乐性很强，所以很受观众欢迎。 《误杀2》，...

                         "
3,内蒙古自治区,"

                        看完《误杀2》的第二天一早，我读到一篇文章，讲述的是疫情流调下成年人的悲欢。那是发生在浙江绍兴的疫情，感染者基本上都是卖菜的摊贩、买菜的普通市民。他们的流调报告，“让这个城市最真实的平凡人生，被尽览无余。” 一连多日从清早6点开车到第二天凌晨2点的52岁出租车司...

                         "
4,宁夏回族自治区,"《误杀2》沿用了第一部的片名，讲的却是两个完全不同的故事。 说完全不同，是指故事框架，主旨却是一脉相承，同样讲述了身为底层小人物的父亲在家庭遭遇绝境时，如何为了保护家人铤而走险——而两部电影中的父亲同样均由肖央饰演。 不得不说，肖央实在是太适合演看似懦弱无能，...

                         "
5,天津市,"

                        看完之后，先来了豆瓣。看过前排的评论，发现和我的观影体验有所不同，贬多于褒，甚至有人写了好评感想，评论里都说是收了钱的，我有点摸不清楚状况。 既然决定要写一个影评，我还是想回归到当时坐在电影院的那个瞬间，我自己在想些什么，是什么打动了我。 我自己是全程代入的...

                         "
6,湖北省,"

                        因为《误杀》第一部反转再反转的剧情，题材也让我瑟瑟发抖，所以第二部上映立马入场观影。 不得不说肖央的演技确实可以，JM则是我喜欢很久的香港艺人，跟Angelababy组合出道，希望她能拿到更好的资源。这次惊艳我的是演坏人的李治廷，戴上眼镜后的斯文败类应该加一员，出场即是...

                         "
7,江苏省,"

                        作者：枨不戒 故事上，《误杀2》其实和《误杀1》没有关系，内核上，这两部电影却是同个系列，都是讲述的亲情，引子都是“误杀”，揭开却是更为沉重的事件，都是为鱼肉的小人物在生死之间的殊死搏斗。 电影以倒叙的方式讲述，从林日朗劫持急诊室开始，然后画面中徐徐展现林家的...

                         "
8,北京市,"

                        萤火之光只有在黑暗的地方才会被看见，但不等于就可以被黑暗吞噬。 万达购买了华纳兄弟电影《迫在眉梢》版权，中文版的《误杀2》是根据美影《迫在眉梢》改编的，所以片子里的故事框架、剧情设计和基本剧情跟原片自然有很多相似之处，但电影也做了很多本土化的不同处理，特别是...

                         "
9,北京市,"

                        《误杀2》的结尾有个彩蛋，里面有导演的一句自夸，大致意思是说此片“写得好，演得好”。我想这恐怕是导演对《误杀2》水准的一种误解。要我说，整部《误杀2》，写得差劲，演得勉强；食之恶心人，弃之不可惜。 《误杀2》，三分之二的悬疑，三分之一的煽情，中插一点陈思诚拍喜剧...

                         "
10,浙江省,"“人越往高处走，能掌控的事就越少，以后你就明白了。” 《误杀2》里，在那个关起门来的办公室里，张世所饰演的医院院长，对他手下的得力心脏科医生达马（宋洋演），交出了这么一句底。这大约也说出了这部电影的一个框架，每个人都在自己所处的链条上，动弹不得。往上，是触不...

                         "
11,四川省,"十二月的电影市场，最大的“票房赢家”，大概率是《误杀2》。 它的前作《误杀》，将印度电影《误杀瞒天记》搬到泰国的文化语境下。一个影迷父亲，靠电影知识作案，肩负起维系自身家庭安危的责任。这个故事被加之以更加浓烈的“阶层斗法”叙事：分属底层与上流的两个家庭，因一...

                         "
12,重庆市,"电影开场一个拿枪的男主，一个拿刀的龙套，分别走向各自的目标，我以为“误杀”要出现了........... 先说拿枪的男主： 他的特点：职业小编剧，还是没人用的那种，长期待业在家，他老婆（女主）小学老师，还是快失业的那种，二人存款10万+，还不是人民币，妥妥的社会底层。两人...

                         "
13,天津市,"2021中国剧情片《误杀2》，根据2002美国电影《迫在眉梢》改编，豆瓣评分5.9，时光网评分6.9，IMDb评分5.6，于2021年12月17日在国内上映。 本片和《误杀1》没有任何关联，纯是挂羊头卖狗肉，和《误杀1》八竿子打不着，完完全全就是一部新的电影。如果硬是说二者有啥相同之处的话...

                         "
14,江西省,"

                        看的过程中其实觉得剧情有挺多强行为之的地方，比如借钱、枪和最后那出戏。印象最深的是那三幕公众的戏，知道缘由后一边倒地支持林日朗，看到萨丁演出的戏码以后又一边倒地支持萨丁，最后又一边倒的支持林日朗，虽然不知道导演是不是有意为之，但是这几幕让我完全感受不到人性...

                         "
15,江西省,"一点也不好看，再也不会看跟陈思诚有关的任何一部电影，逻辑太不通顺了，特种兵从两层楼不到的高度摔下来，直接废了？那个医生靠自己的血肉之躯扛起了一堆人才能抬动的铁皮？那帮爆破的特警，来个人说动他们就动，又来个人说停他们就停，无头苍蝇啊？那个保安明明好几次都能开...

                         "
16,江西省,"

                        这个故事表面看是警匪片和悬疑片，实际上讲的是亲情和匹夫之怒。 悬疑方面破绽颇多，可谓千疮百孔，所以用了各种巧合来填补，但是勉强补上也是四处漏风。亲情方面，父亲救子的心情确实能打动人心，但也是因为剧情的破绽百出致使感情戏插入得不自然，有的地方甚至明显能感到在强...

                         "
17,辽宁省,"

                        刚刚看完立刻来写写我的感受 1. 煮白开水一样的剧情。一个悬疑片它不悬疑，就出大问题。除了后二十分钟导演开始给观众展现伏笔，前面的时间就是毫无悬疑的剧情走动。我爸爸在电影院呼呼大睡了很久，醒来也没什么不懂的情节。就是说睡个一个小时，再follow剧情是毫无难度的。 2....

                         "
18,辽宁省,"

                        刚看完，如坐针毡。找那些觉得难看的朋友，来点共鸣吐槽，粉丝和没看过的，请绕道。谢谢！以下为100%剧情梳理 1.肖央来医院急诊室一顿操作：放火吸引走门口保安注意力，锁门，让电梯停运，鸣枪，制造混乱，劫持一众人质，人质有：孕妇夫妻俩，搞对象社会小年轻，一个死了妻子要...

                         "
