序号,地区,评论
0,上海市,"韩延导演近些年来在商业喜剧片上的表现一直不错，《动物世界》同样是流量明星当主角，却出乎意料地有着高完成度，甚至可以称得上好看。所以这一次我对《送你一朵小红花》也抱有不少期待，我本来期待韩延能拍出一部中国版的《抗癌的我》。但我错了，韩延并没有延续他在商业喜剧...

                         "
1,上海市,"

                        小红花是幼儿园老师常用来奖励小朋友的奖品，也许小学低年级还会沿用，基本也就代表了这部电影的故事水平：大致相当于小学生满分作文水平。 故事主题明晰：不管生活中我们要面对多大的困难，都要热爱生活。 能用一句话总结主题，可见这主题的浅显易懂，符合小学生认知，简直是...

                         "
2,北京市,"

                        首先，抄袭 biss，融梗 biss。 但是，轻易鉴定一部电影是融梗或者抄袭，是一种很大的伤害，尤其是对抗病题材的电影。 看了最开始说《小红花》和《星运》像的那篇长篇，偏颇很大。 首先，比较的这一位，她自己也承认——“一些是人物的“想法”“感受”是抗癌(或者 说“抗病”)...

                         "
3,河南省,"无意在微博中看到电影的简介，没了解多少，但“抗癌家庭”这个名词勾起了我深深的回忆，久久不能平复。相对于《我是药神》想表达对社会现象的大爱，而这部电影，我更希望看到的是抗癌家庭下的生活百态，回归“家庭”，能让观众感受不一样的温情，引发对家庭关系有不一样的思考...

                         "
4,安徽省,"短短2分多钟的MV吸引我走进了电影院，庆幸没有错过这部我心中的“年度最佳”。 整个故事以“年轻病患”的视角和方式来讲述抗病家庭和年轻病人的经历与成长，生命对于他们才刚刚开始，但就好像就要结束。题材虽然沉重，但被爱环绕着的韦一航，有父母的全力关心支持，有亲密关系...

                         "
5,江苏省,"原本是带着沉重的心情看小红花的，没想到被温暖到了。 电影没有过度哀伤，也没有刻意正能量。患病的无助绝望痛苦和自卑，没有刻意回避，而是在挣扎的过程中，用一点点小火花来温暖他们。 小火花是马小远带来的xxj爱情，打开了韦一航的心扉，他像普通的健康人一样会吃醋会甜蜜，...

                         "
6,山东省,"1.开头剧情不行，前奏太长，看的只想睡觉，然而确实眯了会。前奏就很尬了。 2.中间剧情挺好的，尤其是男主爸爸那一段！ 3.中间剧情好了一点，结果后面又整段垮掉，开始喊口号刻意煽情了。 4.什么时候这类电影能别乱插爱情线？没爱情会死吗？明明全家努力赚钱给男主治病，中间一...

                         "
7,福建省,"

                        2.3 R.I.P. 🙏 [送你一朵小红花] - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - 原文： 写在最前面：下文大致根据映后时期分为几个部分进行补充。暂时包括的部分及其顺序为：韦一航独特性小记→故事主线粗理→个人感受. - - - - -...

                         "
8,山西省,"可怕的是说真话的人还会一边怀疑自己的判断能力。 【发帖时只是为了宣泄情绪，非常散乱，得出了结论也并没有进行充分分析，因此在文末梳理了打一星的理由。虽然丝毫不想回忆这部片子的任何细节，但是得为言论负责。完全根据回忆，有错误的地方欢迎指正。】 第一次给一星，一星...

                         "
9,天津市,"在2020年最后一天看到《送你一朵小红花》，无疑是幸运的。 电影和现实在那一刻有了独特观照：2020年的世界如此的不令人怀念，生活中有那么多的不容易与不顺遂，但即使人生如此这般艰辛，无数人都依然在努力地活着。 就像诗人食指所写：那些迷途的惆怅，失败的苦痛......，一定...

                         "
