序号,地区,评论
0,江西省,"

                        更新一波被亲爱的豆友们轮骂之后的感想： 1.我就是中午吃个饭想写个短评，结果字数写超了就放长评里了，结果被豆瓣搞得手机滴滴响，打开一看，原来豆央已经决定了，让我来上热评。我很懵逼啊，我只是个短评狗啊，不怎么写长评啊，你们另喷高明好不好。 2.改星是不可能改星的，...

                         "
1,天津市,"《金刚川》不太行。还是戴锦华老师评价《八佰》的那句话，我们太习惯用他人的视角来证明自己的正确性，而忽视了自身的视角。《八佰》里的他人视角是苏州河对岸的「中间派」，因此显得没那么突兀，而《金刚川》里的他人则变成了本是敌人的美军。从这个角度出发，事实上影片是回...

                         "
2,湖南省,"昨天下班后去看了金刚川后，感觉如鲠在喉，如芒在背，和大家交流下，求同存异。 说实话，我都有点不知道该从哪个点开始吐槽，从其中一个角度说说吧: 我认为改编自历史真实题材的战争片，首先要尽可能的忠于历史，起码不要做时空嫁接主义的历史缝合怪，别提啥艺术创作和纪录片的...

                         "
3,河南省,"

                        战争电影一直担负着诸多使命，《金刚川》也是如此，反映的是当下的政治文化。影片从拍摄到上映只有短短几个月，并在宣传上起到某种微妙的效应：如果拍的不好，就会出现“时间有限，情有可原”的论调，如果成品还不错，则会被赞为“奇迹”。总之正反都能说。我无意追认到底有多...

                         "
4,台湾省,"

                        对于这种根据抗美援朝历史改编的战争片，如果拍成战狼那种带有个人英雄主义的超级英雄电影，显然是不合适的。当然这里不是说金刚川全篇充满超级英雄电影的味道，而是其中的高潮情节，太过不符合战争逻辑。 张译饰演的张飞被炸断一手一腿，愣是能用仅剩的两发高射炮弹，凭借一己...

                         "
5,河北省,"

                        逻辑硬伤加结构硬伤，真实的历史事件被改编成了一段谎言。 优点：演员的表演很到位。 缺点1：编剧痕迹过于明显。主角明叫张飞，是一个软巴巴慢吞吞的人，师傅嘲笑他都对不起莽撞人这个外号（那个时候《八扇屏》相声也许已经随着慰问团推广到了志愿军那里，这个就不深究了），经...

                         "
6,重庆市,"汉语词典里关于“桥”的解释是这样的：桥，汉语一级字，是一种用来跨越障碍的大型构造物。 所谓障碍，可以是空间上的，文化上的，心理上的，认知上的，所以“桥”这个构造，也就不仅仅用于过河这件简单的事情上。 《金刚川》所讲述的，就是这样一项目的非常明确的任务：过桥。...

                         "
7,重庆市,"看完了。电影还是很不错的，在国产战争片属于中上。最大特点是用了双线叙事，像敦刻尔克那种。喊口号比较克制。也许是三个月拍摄时间仓促，人物有些疏离感，整个电影因此有意往史诗寓言的感觉营造，氛围很好。 （更新：随手写的，没想到这么多人评论，补充说明，本影评是刚看完...

                         "
8,台湾省,"《金刚川》注定是一部口碑两极分化的电影,正如人们对七十年前历史事件的不同解读。 倾向人性的观众想看太极旗飘扬。年轻热血的观众想看中国版的解放（苏）。左右分歧之大是很难调和的，如果非要取共同，可能就剩下线性传统叙事。 但金刚川不是线性叙事... 以我自己的审美标准，...

                         "
9,广东省,"

                        首先，在看到金刚川即将上映的时候，我是很高兴的，还记得大概是10月8号的时候，照例阅读知名军事公众号——军武大本营，推送的一篇文章“最惨烈一战‘铁在烧’，为什么中国军队是‘轻步兵之王’？”，讲述了抗美援朝后期铁原阻击战的故事，然后在文章底部嵌入了《金刚川》本月...

                         "
10,内蒙古自治区,"

                        吴京在片中叫关磊，张译叫张飞，我想多少有点取关二爷和张翼德的意思。一开始给我感觉吴京是老兵油子，并且表现出几分傲慢，张译在他面前也有几分畏缩。第一篇，第二篇的时候都以为吴京是埋汰张译，直到第三篇炮兵篇时，才发现这两人其实是真爱，都想着法子让对方去隐蔽炮位，...

                         "
11,上海市,"当听到讲述抗美援朝的《金刚川》要上映时，其实我是很期待的。我小学时就读了一本讲抗美援朝的书，大部头，五六百页，挺厚的，带给了我很大的震撼和感动。尽管现在十几年过去了，但很多情节我还记得很清楚。 1950年朝鲜战争爆发，朝鲜人民军一路凯歌，攻到釜山，但战线拉得太长...

                         "
12,广东省,"一部没有人物塑造的电影 昨晚强撑着胃疼看完了据说不错的管虎新作《金刚川》，撇开所谓视角而言，最大的感受就是同样的素材出现过十次以上。 其实对于管虎还是有些期待的，毕竟他和张元、娄烨一样，是自己最早接触现实题材的学习对象。电影分开了几个篇章，具体篇章已经记不住...

                         "
13,上海市,"不论金刚川，还是正在拍摄的长津湖，都不是最佳的抗美援朝电影题材。 他们的受众只能面向国内和华人，无法打动全球所有的人类， 能够走向世界的抗美援朝题材只有一个：碧潼战俘奥运会。 其中所蕴含的中华民族崇高的精神品质，绝对会震撼世界。 这是一场比北京奥运会更加无与伦...

                         "
14,重庆市,"

                        《金刚川》上映的第一天就去看了，心情还是很激动的。对抗美援朝这场堪称中华人民共和国立国之战的战争，已经太久没有在主流文艺平台上亮相了，在抗美援朝出国作战70周年，并且国内外局势波谲云诡的时间节点上映这么一部主旋律影片，我认为是非常有积极意义的一件事。片子的拍...

                         "
15,内蒙古自治区,"8月中才开机，10月底就上映了，真的是中国效率了。 考虑到这个时间因素，能拍成这样真的算很厉害了。这制片难度实在太大了。 个人认为，导演还是在八佰的基础上，规避了一些坑，比如明显这部的服化造型比八佰更加细致，比如战士们的指甲里的泥，比如衣服的脏破，尤其是群演们的...

                         "
16,安徽省,"《金刚川》这部以三个月的“中国速度”造就的命题电影，还是不免沦为金玉其外，败絮其中的“豆腐渣工程”，如同电影里那条看起来不甚湍急的河流（以至于魏晨扮演的工兵连长需要向欧豪等人提醒不要渡江，河里有暗流）和那座不符合力学也不呈现任何修桥细节的木桥，声势浩大，不...

                         "
17,陕西省,"

                        没有最后的人桥和迎烈士遗骸归国我可能只给这电影4-5分。 我不排斥影视具有一定艺术化或者夸张的部分，但是要合理。即情绪需要到达具备艺术化的点。打个比方，最后的人桥其实并没有给我感觉突兀，但是张译的单手单脚干掉敌机，给我看吐了。 首先，这部电影运用多线叙事的方法描...

                         "
18,辽宁省,"

                        简评《金刚川》——剧本太过单薄撑不起宏大，立意太过刻意缺少冲突感。虽想比拟《敦刻尔克》，但本就不足紧张感被“重要的事情说三遍”完全打散。赶着“交作业”的痕迹太重。三位导演是完全没有碰面磨合过是吧[晕]，转场是小学生吧？还有，让所有演员说方言，也并不能凸显他们...

                         "
19,福建省,"“我们在这场战斗中没有上刺刀，也没有亲手打死敌人，可是我们知道我们工作的意义：保证了战斗的胜利。”这是“工兵英雄”张振智曾说的话。作为志愿军工兵第3团3营9连连长，他是当年抢修并保护金刚川岩里桥的实际指挥者。 整个金城战役期间，敌人在金刚川岩里桥附近共投下近千...

                         "
