序号,地区,评论
0,广东省,"剧情不太行，有人吹什么灾难三部曲，用来掩饰剧情的同质化，怕不是以后有什么四部，五部，只要赚钱下次写火山，在下次写台风。服了，为什么有这么多人吹。还有很多剧情不合理突兀的情况，可能是时间限制没解释，白猫怎么突然听爷爷的话，居然这么乖，剧情可以直接从开始就去找...

                         "
1,上海市,"

                        看的时候，有笑点，当时观影很不错。 但是看完之后，就像被灌了不太好喝的鸡汤，喝不进去，吐不出来。 可能看日式动漫比较少，关于日本地震的事情，也没有很多的共鸣。 整个故事梗概，大概是铃芽拔出来一个钥匙，要石变成一只猫，她给猫吃了小鱼干，说要收养猫猫，猫就对她有好...

                         "
2,江苏省,"1.感情线很突兀且没有必要。完全无法理解女主是怎么爱上几乎全程都是椅子的男主的，突然对爷爷的一句“没有草太的世界让我很害怕”更是让人满头问号。其实电影并没有展现出男女主间的相互羁绊或者救赎，真的很难共情。 2.剧情线总体来看还比较完整，但是很多细节的地方没有解释...

                         "
3,宁夏回族自治区,"男主变成的椅子过去可爱了，请锁死啊，大臣虽然刚开始让人生气，但是看到后面，真的好心疼小猫猫啊，小猫猫那么可爱，快跟我回家，给你满满的爱啊，么多么多(。-ω-)zzz整体画风还是一如既往的给力，感情线确实稍微有点突兀，但是电影时长不长，确实会有这种感觉，整体的感观还...

                         "
4,陕西省,"如果说《你的名字》跟《天气之子》是负重前行，舍我其谁的英雄主义跟坚定本位，放任自流的个人主义的区别，那么《铃芽之旅》就是夹在热烈与丧中间的自我和解。爱情部分的来的太突然，有点突兀，倒是亲情部分，很能掉眼泪。 我更喜欢天气之子，里面的我即世界的观念，其中奋不顾...

                         "
5,内蒙古自治区,"感觉还是一如既往地震撼，还有莫名的惆怅 铃芽之旅二刷完了！这次二刷的侧重点更多的放在了男女主的感情线角度啊啊啊啊啊啊啊全程看的捂嘴尖叫！任何人要是不磕草太铃芽我都会伤心的OK？  感觉草太对铃芽的感觉从一开始的陌生人到为保护她而受伤，在铃芽给他包扎的时候一直静静...

                         "
6,内蒙古自治区,"草太:“我深知命如蜉蝣，深知死亡如影随形，但此时此刻，哪怕再多一年，再多一日，再多一时也好，我辈仍愿人生得续！” 二刷达成！ 泪痣+长发，太爱了 草太真的好温柔！ “我会去见你的，一定会的”“欢迎回来”，泪点直接戳中！其实看完整个影片，铃芽和草太不仅仅是拯救了千...

                         "
7,重庆市,"这部片子和深海有些异曲同工，它们的内核给我的感觉真的很相似，里面都包含了“被抛弃”和“执着寻找”的主题。 两个主人公在最初时都是无法直面创伤，而且她们会认为，错在我的身上，她们内心的那一部分体验是缺失的，哪怕像铃芽有小姨照顾，但实际上小姨的内心也是有不满的，...

                         "
8,重庆市,"看完电影那天下午，心情激动地写了2000字的影评，后来审视的时候发现太过于主观，以及废话连篇了。翻来覆去想了又想，还是对《铃芽之旅》进行一番较为客观的评价吧。 这部电影和《君名》和《天气之子》最大的区别是什么呢？主要论题在于人生道理和成长，而并非简单的爱情。 “...

                         "
9,北京市,"

                        电影的一开始，玲芽骑着自行车，面朝大海的波光粼粼，脸颊泛起红晕，我以为她是在看大海来着。 朋友转过身，悄声说‘’CRUSH”，我还有些疑惑。 我说，她不是在看大海吗？ 于是朋友也疑惑了。 到最后我也没有弄明白，玲芽到底是在看大海，还是看草太呢？ 一开始也有那样的怀疑...

                         "
