序号,地区,评论
0,湖南省,"身为单身狗的我，一直在约妹纸去看阿凡达。然而，电影都快下映了，我都还没约到妹子，我不能忍了。再等就下线了，于是想到这里马上买了一张半小时后的电影票，出门独自看电影了。享受最孤独的一种境界。 一开始，我觉得他整个结构完全沿用了第一部。主角被迫背井离乡，来到一个...

                         "
1,浙江省,"

                        视觉效果绝对值得imax票价。流畅度色彩完成度非常好，就当去电影院沉浸在想象故事里体验下感官冲击也值得。 因为和1隔了太久，我已经不记得1的剧情，只记得当时跟我一起去看的家人表情了，哥哥带着3D眼睛比耶很帅，姐姐笑的很美。或许这也巧合地契合了a2的主题吧：在保护家人和...

                         "
2,黑龙江省,"

                        大概是因为3D电影已经普及阿凡达1带来的想象力盛宴太过饕餮，这次的阿凡达2没有给我那么多的震撼，甚至可以预见到几个小孩不顾父母的劝告出去玩必定要出事这样的老套剧情，但画面还是很漂亮的，看的时候跟朋友调侃说每一帧都在烧钱，却没有到震撼到让我能为它再走进一次电影院...

                         "
3,山东省,"阿凡达二期待已久，这个续集把世界观和规模扩大到一个新的层面，片子里既然提到人类打算正式殖民潘多拉星，还有那个破损的圆形建筑。还把第一部基本属于工具反派的将军复活了，他的阿凡达形态对其心智没啥大的变化，唯一有变化是他的儿子，有趣的是人类方面貌似从没有怀疑过这...

                         "
4,福建省,"剧情真是稀烂，而且真是一点逻辑都不讲，又是一个原始人暴揍科技有数代代差的地球儿的剧本。 都星际移民了，开头直升机用的火箭弹还威力那么小，甚至不如现在的武器。 枪械还用子弹我没意见，毕竟化学弹药确实便宜奈造，但这个威力是不是太小了？ 而且反派真的是纯纯降智，能杀...

                         "
5,上海市,"看了普通版3D，依然被画面吸引到自己，似乎我能身临其境的感觉他们的生活与喜怒，还好最后的结局也是美好的，虽然过程中有遗憾，但至少能让我们更有力量去保护自己的家园。 第二部比第一步更能体现海底世界的魅力和与众不同，海洋生物的美好，需要所有人一起努力维护，这也告诉...

                         "
6,山东省,"

                        再牛逼的特效都弥补不了剧情的硬伤，你杰克不想霍霍自己的森林家乡，跑去霍霍别人的家乡海洋就算了，人族长一直敬你杰克是大英雄，结果人家乡的图鲲因为你受到捕杀，你这大英雄除了撵鲲走外最多能做的就是拔掉追踪器？？？因为你背井离乡所以让鲲也背井离乡？你都知道是为了找...

                         "
7,北京市,"视觉呈现给四分，剧情烂俗无味，视觉呈现给四分，剧情烂俗无味，视觉呈现给四分，剧情烂俗无味，视觉呈现给四分，剧情烂俗无味，视觉呈现给四分，剧情烂俗无味，视觉呈现给四分，剧情烂俗无味，视觉呈现给四分，剧情烂俗无味。。。。。。。。。。。。。。。。。。。。。。。。...

                         "
8,新疆维吾尔自治区,"

                        特效值得5星！！！2星扣在剧情上…… 剧情真的老套，个人英雄主义、美式霸凌、杀死那个最完美懂事的人、反派突如其来的亲情、一见钟情…… 当然少不了一些伏笔，也就是很多问题并没有解决就结束了。 不知道是不是删减了啥，剧情上有点不连贯，整个看完就像是一个冗长的过渡片。...

                         "
9,广西壮族自治区,"当图鲲被迫浮上海面的时候 是卡梅隆在大荧幕上复诵的哀歌 虽然身为一名人类，看着电影里的同类们被炸死、射死、烧死、淹死的时候有那么一丝不快，但归根到底，人类这个习惯了掠夺、习惯了享受现代化生活的族群，是不甘心像潘多拉星球的原住民那样去生存的，于是乎，对潘多拉的...

                         "
10,河南省,"内容精彩，特效非常好。人物设定很不错，在故事情节的处理上，也和之前比更精彩。特效还是一如既往，拥有之前的水准。喜欢剧中的人物设定，有大爱有梦想。希望以后可以多一些科幻大片。色调的选择也是非常的高级。春节期间的电影还是非常精彩的。可以多看看。 影视镜头而言，也...

                         "
11,北京市,"卡神还是那个卡神，阿凡达2还是一如既往的优秀，即使没有了阿凡达1创3D时代的伟大里程碑意义，但这部续集在硬科幻领域仍然属于寂寞的无敌存在，让同行从业者都看不到他的车尾灯，太牛了，卡神，但凡一出手，""I'm the king of the world""便是宣言。 续集聚焦潘多拉星球生态系统...

                         "
12,湖南省,"带小孩去看的、孩子说特效太震撼了，第一部也看过、真的阿凡达特效处理的太好了，国内的电影也学学、唉国内电影感觉就是资本家的天下。阿凡达好看、好看、好看、还出第三不😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃🤔🤔🤔🤔🤔🤔🤔🤔🤔...

                         "
13,山东省,"

                        视觉听觉都很好，画面很美，作为轻微深海恐惧者也没有发病哈哈哈哈哈。 结尾大战，一开始不太理解，火在水上烧，作为已经学了很久水下活动的阿凡达为什么不从水下游过去，而是跑到战舰里。看得出卡梅隆真的很喜欢搞泰坦尼克那一套。不过后来想了想，阿凡达不是地球人，没学过物...

                         "
14,北京市,"前一个小时森林部分已经很好看，后面两小时的水下戏更强，无数水粒子和特效生物，绝对是大饱眼福带小孩看的，都很喜欢，看完还要改舍不得离开，3D效果很真实，小孩每次都想伸手去抓，，很搞笑自己莫咯哦LOL莫咯咯哦咯look莫咯公公OK嘻嘻民营敏敏公民公民敏敏公民心自己进攻今明...

                         "
15,河北省,"前一个小时森林部分已经很好看，后面两小时的水下戏更强，无数水粒子和特效生物，绝对是大饱眼福带小孩看的，都很喜欢，看完还要改舍不得离开，3D效果很真实，小孩每次都想伸手去抓，，很搞笑自己莫咯哦LOL莫咯咯哦咯look莫咯公公OK嘻嘻民营敏敏公民公民敏敏公民心自己进攻今明...

                         "
16,山东省,"我没有看过阿凡达1，所以我只评论一下2，故事情节很紧凑，特效没得说！当时蜘蛛很多决定不理解，后来站在他的角度考虑也有些理解，对于孩子们的成长，是按照大人们的规定还是让孩子自己寻求探索是我看这部电影最深的感触，两者都有利有弊，又想寻求一更好的，最后只能说符合孩...

                         "
17,河北省,"

                        一句话概括本人核心观点，《阿凡达：水之道》是一场仅限于在电影院享用的、纯粹且极致的极致的视听盛宴。无论你花的是9块8，98，198还是298，不同价格带来的不同层次的视听体验，个人认为绝对是物有所值的。当然，仅限于视听方面。 疫情三年，绝大多数人去影院的次数屈指可数，...

                         "
