序号,地区,评论
0,广东省,"作者： 连城易脆 不久前，全球知名咨询公司盖洛普发布了最新的全球法律与秩序指数排名，俗称“走夜路指标”。在这个排行榜上，中国排名第三，成绩可以说相当不错。 要知道排名第一的新加坡本身经济发达，而且国土面积仅仅相当于一个城市，而排名第二的土库曼斯坦之所以得分那么...

                         "
1,上海市,"本文首发于公众号“闵思嘉”（minsijia001），欢迎关注。文章传送门：https://mp.weixin.qq.com/s/pxVat4p9o5kL187T8SNiAw 如果中国不禁枪，会是什么样？大概就是电影《除暴》里那样。不过我今天我不是想要说电影本身，而是想讲讲电影背后的那些真实大案。 片中拍了九十年代内...

                         "
2,安徽省,"我是一名基层检察干警，今天是11月20日，距离公检法三家的年度业务工作考核结束，还剩最后10天。本地公检法这几周已经取消休假，夜班和周末上班成为常态。 同时，今天也是电影《除暴》上映的日子。当然了，这是今天下班路上，我打开豆瓣APP，想找个电影放松下时才知道的。 打开...

                         "
3,山西省,"早在《除暴》宣发之初，我就对这部电影充满了期待，因为我能再一次看到吴彦祖在一部电影中饰演反派角色。在2004年的《新警察故事》中，吴彦祖饰演的反派角色关祖给我留下了十分深刻的印象，让我觉得他在塑造反派形象方面比正派角色更具优势，从那之后只要是有他出演反派人物的...

                         "
4,江苏省,"

                        《除暴》这部电影在宣发之初就备受期待 王千源与吴彦祖的正邪交锋成为最大看点 但是豆瓣6.4的评分 怎么都只能算是在及格线上 是吴彦祖不够帅了 还是王千源演技不在线了？ 我把《除暴》看了三遍之后发现 四大硬伤才是影响口碑的主要原因 1、剧情太过刻意 一：办公室恋情 为了给...

                         "
5,湖南省,"好久不见，阿祖快秃了，面相逐渐冠希化。 他也变强了，AK、手雷、水果刀全都耍得有模有样。他工于计算，踩点、抢劫、撤离，每个环节都天衣无缝；他心狠手辣，路人、警察、同伙，碍到自己的统统咔嚓咔嚓。 收手？ 别逗了，这次阿祖演很坏很坏的gangster！ 要不是他大意了，去澡...

                         "
6,河南省,"2003年CEPA协议签署后，越来越多的香港导演北上来内陆发展，从一开始的削足适履到成为内地主流电影的中间力量，我们似乎很久没有看过以“屎尿屁”著称的香港电影风貌了，取而代之的是香港导演集体北上对现实主义的深度思考。《除暴》某种意义上很港式，有《大块头有大智慧》的...

                         "
7,内蒙古自治区,"吴彦祖真帅啊真帅啊真帅啊！尽管电影里刻意扮丑，但这一身腱子肉！这外型！这岁月抚摸过的眼神！我全程盯着他看，三观都跟着他跑了😂尽管电影里他就是个心狠手辣的暴徒，但依然非常希望他赢！！！和春夏潇洒人生😂 吴彦祖真的无比适合演变态，像新警察故事里的富二代劫匪头...

                         "
8,陕西省,"

                        [视频] 印象中吴彦祖有很久都没演主角了，除了美剧《荒原》之外，他上一次当主演已经是2016年的《冲天火》了，所以原本我对《除暴》还是有所期待的。 别看吴彦祖长得和我一样帅，但千万别以为他是偶像派，他绝对是实力派，凭借《玻璃之城》、《妖夜回廊》、《新警察故事》、《...

                         "
9,广东省,"这剧情，……其实，王千源和吴彦祖本身演技都很好，被这干巴巴的剧情拖累了。莫名其妙的老鼠耍猫。 为了剧情而剧情，看了半天，发现吴彦祖演了个神算子，王千源演了个偏执狂。最后那一幕浴室交锋，更是让人忍不住一头雾水！神算子故意在那儿等着最后大决战，哈哈哈 既然是侦破...

                         "
10,广东省,"大型“天网”、“禁枪”宣传片，最后一场戏还来了个“Van♂”的翻拍🙂 朋友们好啊， 我是香港警匪片熟人脸吴彦祖， 刚才有个朋友问我吴老师发生肾么事了， 我说怎么回事？ 给我发了一个张截图，我一看！ 噢，原来是昨天有个年轻人，40多岁， 一个体重80多公斤。 塔们说， 有...

                         "
11,广东省,"

                        个人观影体验！！！ 我对无双就游艇上的结尾不是很喜欢！！！ 并不是说无双整部电影！！！！！ 刚刚看完除暴这部电影，其实一开始是不对国产的警匪片不报希望的，就比如说之前上映的《无双》，它有一些虎头蛇尾的感觉，让人不免有些遗憾，结局有一些强行圆满收尾的感觉。 所以...

                         "
12,山西省,"《除暴》对于我来说属于这样一类电影：知道不会太好，看之前就能预想到它某些火爆的桥段与部分无趣的处理，知道豆瓣不会高于7分，但依旧很想看。 结果观感确实也和想象的差不多，前半部分确实不错，甚至让我有种“港片还魂”的错觉；后半部分立马把我打回现实：哦，没有，它也...

                         "
13,黑龙江省,"

                        老港片的新主题 文|伊文西 作者简介：专职公文狗，兼职看电影。写的都是观后感。 1 《除暴》虽然讲的是内地故事，但扑面而来的，全是老港片的味道。 仔细看看工作名单，从导演到制作团队，核心都是香港班底。 上世纪90年代的犯罪题材，让人想起香港枪战片最喜爱的“大圈仔”故...

                         "
14,内蒙古自治区,"

                        我的公众号：末班车星球手册 ⚠️声明：每一个奋斗在前线的警察都值得尊重！ 没有他们的牺牲就没有我们今天的安宁！ 本文纯从作品的情节，拍摄手法及角色等方面作粗浅的分析，为非专业观后感，夹杂大量主观个人感受，不喜勿喷。 如有不同意见，那就是你对。 正文开始： 好...

                         "
15,河北省,"《除暴》填补了内地警匪题材长期以来的空缺，这一点难能可贵。 我已经忘记上次在电影院看纯正的警匪类型片是什么时候了。 《除暴》力道很足，发力技巧很直接，动作戏没铺垫，生猛之气扑面而来，节奏非常快。 王千源和吴彦祖，作为警匪，也是见招拆招，横冲直撞，非常热闹。 因...

                         "
16,广西壮族自治区,"看这种双雄电影，主要乐趣在于，看一股无法阻挡的冲力，撞上一个不可撼动的阻力。惊涛骇浪一次次拍向铜墙铁壁，到底哪个先崩溃，怎么崩溃，何时崩溃，这里头本来就有许多种百试不爽的张力。 在这个电影里，就是悍匪与铁警的轮番顶牛。悍匪是真的技术过硬心狠手辣，铁警也是真的...

                         "
17,湖南省,"

                        观看之前，对《除暴》期望很高。预告片里，时间钟表的意向多次出现，加之整个片长只有95分钟，我以为导演会把时间要素玩出花来。 事实证明，是我想多了。 所谓时间和表的意向，完全是浅尝辄止，浮于表面，依靠时间来营造紧张气氛，它没有。、 除了主角二人转，其他演员全部沦为...

                         "
18,重庆市,"

                        全片没有一句废话，情节设置的恰到好处，甚至连片头片尾都采用了极简风格，摒弃了过分华丽的制作。除了某些主旋律情节会让部分观众感觉刻意和突兀，其他均不错。 亮点1：吴彦祖vs王千源，硬汉浴池大战 不到2个小时的电影，最后一段情节绝对是高潮。这段的动作指导绝对有功力，...

                         "
19,江西省,"首先 演技是在线的 但真让我眼瞎 6个劫匪在90年代犯下多次百万级抢劫案，持枪杀了十多个警察and民众，警察竟然只出动了两三辆车去抓捕？而且主角刚教育完他手下没穿防弹衣救人，马上提前得知劫匪动态去拦截他们，6劫匪vs两车警察开始对战，但是警察还是没有穿防弹衣？？（全片...

                         "
