序号,地区,评论
0,江西省,"第一轮点映，《雄狮少年》收1700万，口碑完胜，征服了各种自来水吃瓜看客，票房被业内行家预计能破20亿，「国动之光」的说法再次浮现。 但影片未能征服一部分「立场鲜明」的观众，因为能让这部分人认可乃至全力拥护的国动，除了有直接表态的符号之外，还最好是来自传统文化，于...

                         "
1,广西壮族自治区,"

                        10/6.0 （5分作品＋1分技术进步） 概述：一部在技术上有相当的进步的，画面渲染精美，却剧情平庸，人物塑造扁平，人物设计灾难，主题内核畸形，价值观落后封建，受众低幼的哄哄小孩和二极管小生还行的难以下咽的鸡汤电影。 同样又是一部依靠近因效应（结尾效应）依靠结尾尴尬的...

                         "
2,陕西省,"

                        其实我不太懂为什么大家都说“热血” “燃” “有梦想就能发光”，这个故事我觉得是很沉重悲凉的。 男主舞狮比赛大出风采后，改变了什么吗？没有。 “奇迹”让父亲醒过来了，但年轻的农民工阿娟最终还是坐上了去往上海的列车，去往一个离家乡越来越远的大城市，只为了翻倍的工...

                         "
3,广东省,"

                        因为没有看过预告，也没有任何准备被我哥拉进电影院，我听到熟悉的粤语很是惊喜的。没有熟悉的ip，就是小时候会见到的舞狮，竟然也可以被拍成电影？！ 但是刚开场的少男少女在田野中骑着单车的画面和那一句：“你是被英雄花砸住的少年啊！” 我还是不禁在心里吐槽：好狗血呀！ ...

                         "
4,广西壮族自治区,"

                        一直很反感现如今主流三维动画电影中对于「拟真感」走火入魔般的追求。 从《玩具总动员》诞生后的这几十年间，三维动画对细节的呈现愈发惊人，甚至在很长一段时间内，都是衡量一部动画质量的重要标准。 但动画对“拟真”的追求总有极限，越来越逼真的水体、烟雾和毛发质感，光...

                         "
5,重庆市,"

                        回想起来，“少年强则国强，少年觉醒则国觉醒…”的广播早已在细节上暗示了主题，只是我们曾经难以想象，留守少年的觉醒，也可以成为雄狮！ 一、人物觉醒 直到影片过半，小娟身上的主角光环也一直没有闪亮起来。 阿娟给人的第一印象，是个在舞台边头顶瓜皮的“小傻子”，他木讷...

                         "
6,湖北省,"

                        看完了《雄狮少年》，挺心疼台本，建模，灯光，动画，特效，配音，合成……从二十亿预期到一亿多票房，票房算是崩了吧。 很多评论将票房崩了归结于眯眯眼宽眼距的人设触怒国人，遭到抵制。还有人主张，如果换个人设，这部电影保底十个亿。 个人认为，假如《雄狮少年》没有眯眯...

                         "
7,江西省,"

                        毫无疑问，雄狮少年是属于好看的那类动画电影，无论是立足于舞狮这一传统文化，亦或是将故事的主角给到现实中那群被忽视却又真实存在的留守儿童，又或者是堪称神来之笔拔高立意的彩蛋，都让这部原创的动画电影质量甩开已经业已司空见惯的孙悟空哪吒白蛇之流。而迄今为止依旧坚...

                         "
8,安徽省,"文：changer 公众号：抛开书本 昨天豆瓣年度电影榜单出炉，评分最高华语电影花落刚刚上映一周的《雄狮少年》。 这也是继2019年《哪吒之魔童降世》后，国产动画电影再次在豆瓣登顶。 其实早在上映之前，《雄狮》的豆瓣评分便已经大方开出，并稳定在8.3—8.4的高水平。 提前阅过...

                         "
9,重庆市,"

                        声明：此文全是真实感受和客观分析，喷子和水军请绕道，谢谢。 《雄狮少年》上映，豆瓣开画8.3，目前升至8.4。原本从先期口碑来看，这部名不见经传的电影将最大可能成为今年最后一个爆款。毕竟“正能量”“励志”“热血”“国漫”“底层”，这些最易引爆票房的因素，《雄狮少年...

                         "
10,辽宁省,"

                        本文首发于公众号【Ifeng电影】 豆瓣8.4分，2021年度评分最高华语电影。单日票房408万，公映6天累计票房不足八千万。 冰火两重天的数据，同时叠加在动画电影《雄狮少年》身上。 本片点映时被无数业内人士寄予厚望，票房预测25亿、30亿，不少人相信《雄狮少年》会是《哪吒之魔童...

                         "
11,内蒙古自治区,"之前，就《雄狮少年》赶制推出粤语版这事，说了几句。是值圣诞档期，业内人士频起迷惑： 《雄狮少年》没能成为黑马——到底是宣发经费不足，还是没有红色主力参赛引流。如果顺藤摸瓜，早先大爆的大圣哪吒，都有简明扼要的反抗宣传。尽管到最后，你也不觉得电影真有在反抗什么，...

                         "
12,新疆维吾尔自治区,"五星/8.4 虽然属于优缺点都很明显的那类片子，但在今年国产片的一众臭鱼烂虾中已然脱颖而出了，所以纠结了一下还是给个五星和同行区分一下吧，毕竟看的太燃了，燃到让许久没动笔写千字以上影评的我打开了word，要知道我作为一个四刷《怒火·重案》的港片粉都没为它憋出一个字啊...

                         "
13,浙江省,"

                        有幸参加雄狮少年这部电影的点映，现场导演想问观众有什么看法和建议，可能本人天生在人多的场合胆小，所以即使心里有很多想说的，也只能在人群中默默地鼓个掌完事儿。 首先我想说这部电影好的地方，以下涉及剧透（慎！）； 现场观影完毕后我感觉整部电影实际是分为了三个部分...

                         "
14,浙江省,"

                        我还记得三月三庙会的鞭炮声，还有从土楼后山升起的朝阳照射在舞狮头上的耀眼反光。我记得十块八从老家开往县城的车票，也记得开向朦绮山路客车玻璃上的雨痕;记得木棉花过敏而通红的后背，也记得餐桌玻璃纸下爸爸抱着我的老照片。老树背后是我的家，木棉树干刻着我的涂鸦，我问...

                         "
15,湖北省,"

                        看到了好多自来水安利雄狮少年被骂，我主动探头过来挨骂吧 我就是觉得雄狮少年牛逼，任何一个看过这部电影的人，都不会这样一边倒的骂，我看完电影上来转了一圈想安利，发现安利的视频都被评论点着骂，说水军，那我来了 你们骂，是因为你们没看，是因为你看着小眼睛就自卑，是...

                         "
16,北京市,"

                        《雄狮少年》影评 —— 在浪漫主义的土壤里，开出现实主义的花朵。 点映看了这部国漫，很感动，感动于国内CG技术水准的快速发展让狮头充满了灵动的情感表达，也很惊喜，惊喜于国漫题材的这一次大胆突破与尝试，让我看到了国漫无限可能的未来蓝图，更感叹于中国人无法估量的格局...

                         "
17,河南省,"

                        《雄狮少年》不出意料地成为了2021年末话题量最高的动画电影。不同于《大圣归来》和《哪吒之魔童降世》的票房口碑双丰收，制作成本2.8亿的《雄狮少年》在上映10天后票房刚刚过亿，与行业预估的25亿相差甚远。 几乎所有的争议全部聚集在动画人物的脸部建模上。一些网友指出，主...

                         "
18,天津市,"作为一名广东仔，脑海中有很多关于舞狮的记忆。 小时候过新年，大年初一清早，一家人齐齐整整换好新衣服，烧香拜神放鞭炮，然后等待舞狮队的鼓声在门外响起，神气十足的狮头来到家门前，小朋友们拿着早就准备好的红包，等到舞狮队表演完后，把红包塞到狮子嘴巴里。 看完舞狮，...

                         "
19,浙江省,"

                        2021年看过不少电影，第一个影评献给雄狮少年。 极其极其极其喜欢的一部电影，是送给自己最满意的一份圣诞礼物。能在影院看到他，甚至足以抚慰之前入境隔离的漫长时光，毕竟不回来，也就没法在此时看到了呀。 光影处理、运镜调度、绘制水平（暂且搁置人物设计）达到了非常非常...

                         "
