序号,地区,评论
0,上海市,"首先谢谢搜狐给我这个机会，让我参加《龙马精神》得首映礼。整部电影满满的彩蛋，看的非常惊喜。拍这部电影的初衷，是想致敬曾经陪伴过无数观众的成龙电影，致敬电影行业幕后人员，致敬拼命的龙虎武师。  杨子导演真的很会拍这类人与动物之间情感的片子！郭麒麟也是一如既往的...

                         "
1,天津市,"很感谢搜狐，让我能提前观影成龙老师的新作品。 如果让我评价这部电影，就是真的很成龙。真实的打戏，不尴尬的笑点，没有假大空的去炒作情怀。我透过老罗的视角看到了成龙老师对于拍戏所坚持的一种态度。看过一些高呼我要坚持梦想实现梦想的作品，但是只靠嘴上的口号和没有付出...

                         "
2,福建省,"感谢搜狐观影团的机会让我提前观看到了这么精彩的电影。影片既致敬了中国电影百年以来的龙虎舞师，又像是对成龙大哥从影多年的缩影。贯穿影片有两条线，讲大爱是龙虎舞师精神，讲小爱是父亲含蓄又矛盾的情感，衔接自然酣畅淋漓。 动作部分看成龙大哥，搞笑部分看郭麒麟，感人部...

                         "
3,福建省,"长评在审核，就写个短评吧。非常荣幸能在搜狐观影团现场观看《龙马精神》的首映礼。 我不会说《龙马精神》是一部特别“爆米花”的电影，它更像是成龙大哥带领观众，在电影中回望“龙虎武师”们，回望功夫电影的光辉岁月。 让我印象深刻的，不仅是“龙虎武师”们，“never say n...

                         "
4,天津市,"一部充满温情的动作片 有爽点，武打戏拳拳到肉，成龙大哥风采依旧；有情怀，熟悉成龙大哥的观众朋友一定会发现里面有诸多对大哥以往电影情节的回顾；有笑点，郭麒麟第一次见老丈人紧张的腿也抖嘴也颤，颤抖的牙碰上水杯清脆一声，很难让人不笑；有温情有泪点，一句“我终于有爸...

                         "
5,台湾省,"2023年，已经是成龙进入电影圈的第61个年头了。 演后谈看到成龙大哥还能熟练地做出“帽子戏法”，还能毫不犹豫地跟后辈一起扎下马步，仿佛，他还是当年那个以武师身份出道的成龙。《龙马精神》像是一部历史，成龙大哥带领观众，在电影中回望“龙虎武师”们，回望功夫电影的光辉...

                         "
6,宁夏回族自治区,"很令人惊喜的一部电影，一部好电影。对成龙大哥的印象就是记忆中拳拳到肉的武打片，印象深刻的高难度动作片，只有崇拜和尊敬。电影里让我惊喜的是成龙大哥和郭麒麟的戏份，喜剧“包袱”很搞笑，女婿第一场见岳父的戏让我乐出声来，哭点主要来源于大哥和赤兔的感情，不过多说，...

                         "
7,黑龙江省,"有幸参与了龙马精神的首映礼，是一部让我笑中带泪的电影。各位主创的演技都非常好，我泪崩了，也笑死了哈哈，说明我跟着电影的情绪走了，我觉得着就能说明这个电影的好。动作篇很燃很刺激，成龙大哥每次带赤兔去拍戏我都捏紧了我的瓶子，真的既害怕又刺激，郭麒麟和刘浩存合作...

                         "
8,安徽省,"

                        很荣幸能够看到龙马精神的全球首映，在成龙老师这个角色转变心态那个部分我很受触动，通常影视作品里主角一定要坚持自己才显得另类，《龙马精神》跳出了这个逻辑，主角选择顺应时代的变迁去调整心态，很落寞，让人有一种英雄老矣的悲壮感。但从另一个角度来看，郭麒麟老师、刘...

                         "
9,甘肃省,"非常荣幸参加搜狐观影团，到现场观影了龙马精神。 看完《龙马精神》，感觉非常超预期了，成龙老师的动作戏仍像以往的电影一样刺激过瘾，影片延续了以往作品轻松幽默和百变。 龙虎武师把“never say no”嵌在本能里，从人到马都严格要求，就连准女婿乃华也要练练拳脚。 记忆点特...

                         "
