电影名称,上映年份,导演,电影类型,制片国家/地区,片长,评分,评价人数
流浪地球2,2023,郭帆,科幻冒险,中国大陆,173分钟,8.3,1109022
满江红,2023,张艺谋,剧情喜剧,中国大陆,159分钟,7.1,877639
蚁人与黄蜂女：量子狂潮 Ant-Man and the Wasp: Quantumania,2023,佩顿·里德,喜剧动作,美国,125分钟,5.9,112309
超级马力欧兄弟大电影 The Super Mario Bros. Movie,2023,亚伦·霍瓦斯,喜剧爱情,美国 / 日本,92分钟,8.0,73585
回廊亭,2023,来牧宽,爱情悬疑,中国大陆,95分钟,5.1,44587
无名,2023,程耳,剧情悬疑,中国大陆,128分钟,6.7,602138
神出鬼没 Ghosted,2023,德克斯特·弗莱彻,喜剧动作,美国,116分钟,5.9,9474
深海,2023,田晓鹏,动画奇幻,中国大陆,112分钟,7.3,390321
爱很美味,2023,陈正道,剧情爱情,中国大陆,121分钟,7.7,29324
龙与地下城：侠盗荣耀 Dungeons &amp; Dragons: Honor Among Thieves,2023,约翰·弗朗西斯·戴利,动作奇幻,美国 / 加拿大,134分钟,7.7,72983
俄罗斯方块 Tetris,2023,乔·拜尔德,惊悚传记,英国 / 美国,117分钟,8.1,26981
中国乒乓之绝地反击,2023,邓超,剧情运动,中国大陆,137分钟,6.8,80147
雷霆沙赞！众神之怒 Shazam! Fury of the Gods,2023,大卫·F·桑德伯格,喜剧动作,美国,130分钟,5.5,41195
网络谜踪2 Missing,2023,尼古拉斯·D·约翰逊,剧情惊悚,美国,111分钟,8.0,80284
杀死福顺 길복순,2023,边圣铉,动作惊悚,韩国,137分钟,6.7,30086
惊声尖叫6 Scream VI,2023,马特·贝蒂内利-奥尔平,悬疑惊悚,美国,123分钟,6.0,4556
龙马精神,2023,杨子,剧情喜剧,中国大陆,126分钟,6.0,26529
交换人生,2023,苏伦,喜剧家庭,中国大陆,110分钟,5.0,125845
再见，我的灵魂伴侣 소울메이트,2023,闵龙根,剧情爱情,韩国,124分钟,7.4,2378
灌篮高手 The First Slam Dunk,2022,井上雄彦,动画运动,日本,124分钟,9.0,201292
保你平安,2022,大鹏,剧情喜剧,中国大陆,112分钟,7.9,183669
阿凡达：水之道 Avatar: The Way of Water,2022,詹姆斯·卡梅隆,动作科幻,美国,193分钟,7.9,513645
瞬息全宇宙 Everything Everywhere All at Once,2022,关家永,喜剧奇幻,美国,139分钟,7.6,515510
独行月球,2022,张吃鱼,喜剧科幻,中国大陆,122分钟,6.6,660103
人生大事,2022,刘江江,剧情家庭,中国大陆 / 中国香港,112分钟,7.3,531760
万里归途,2022,饶晓志,剧情战争,中国大陆,137分钟,7.2,405737
鲸 The Whale,2022,达伦·阿伦诺夫斯基,剧情同性,美国,117分钟,8.0,46709
分手的决心 헤어질 결심,2022,朴赞郁,剧情悬疑,韩国,138分钟,7.6,277255
巴比伦 Babylon,2022,达米恩·查泽雷,剧情喜剧,美国,188分钟,8.0,75568
想见你 想見你,2022,黄天仁,爱情悬疑,中国大陆 / 中国台湾 / 中国香港,107分钟,6.1,179311
第三次世界大战 جنگ جهانی سوم,2022,哈曼·赛耶迪,剧情战争,伊朗,107分钟,7.9,4539
正义回廊 正義迴廊,2022,何爵天,剧情犯罪,中国香港,138分钟,7.6,63274
宇宙探索编辑部,2021,孔大山,喜剧科幻,中国大陆,118分钟,8.3,236767
你好，李焕英,2021,贾玲,剧情喜剧,中国大陆,128分钟,7.7,1381413
唐人街探案3,2021,陈思诚,喜剧悬疑,中国大陆 / 中国香港 / 日本,136分钟,5.3,1044528
花束般的恋爱 花束みたいな恋をした,2021,土井裕泰,剧情爱情,日本,124分钟,8.6,595962
平家物语：犬王 犬王,2021,汤浅政明,动画音乐,日本,98分钟,7.9,29985
长津湖,2021,陈凯歌,剧情历史,中国大陆 / 中国香港,176分钟,7.4,733383
扬名立万,2021,刘循子墨,剧情喜剧,中国大陆,123分钟,7.4,713786
爱情神话,2021,邵艺辉,剧情喜剧,中国大陆,112分钟,8.1,699623
失控玩家 Free Guy,2021,肖恩·利维,喜剧动作,美国 / 加拿大,115分钟,7.5,667112
悬崖之上,2021,张艺谋,剧情动作,中国大陆 / 中国香港,120分钟,7.4,741130
刺杀小说家,2021,路阳,动作奇幻,中国大陆,130分钟,6.5,639366
误杀2,2021,戴墨,剧情犯罪,中国大陆,118分钟,5.7,347143
白蛇2：青蛇劫起,2021,黄家康,动画奇幻,中国大陆,131分钟,6.8,373866
沙丘 Dune,2021,丹尼斯·维伦纽瓦,剧情科幻,美国,156分钟,7.7,585417
雄狮少年,2021,孙海鹏,剧情喜剧,中国大陆,104分钟,8.3,476855
我的姐姐,2021,殷若昕,剧情家庭,中国大陆,127分钟,6.9,364051
心灵奇旅 Soul,2020,彼特·道格特,动画音乐,美国,101分钟,8.7,956738
我和我的家乡,2020,宁浩,剧情喜剧,中国大陆,153分钟,7.0,642232
姜子牙,2020,程腾,剧情动画,中国大陆,110分钟,6.6,595700
夺冠,2020,陈可辛,剧情运动,中国大陆,135分钟,7.1,429616
信条 Tenet,2020,克里斯托弗·诺兰,剧情动作,美国 / 英国,150分钟,7.6,706438
拆弹专家2,2020,邱礼涛,动作犯罪,中国大陆 / 中国香港,121分钟,7.4,556362
一点就到家,2020,许宏宇,剧情喜剧,中国大陆,97分钟,6.5,272887
金刚川,2020,管虎,剧情战争,中国大陆,122分钟,6.5,306520
花木兰 Mulan,2020,妮琪·卡罗,动作冒险,美国 / 中国香港,115分钟,4.9,324230
疯狂原始人2 The Croods: A New Age,2020,乔尔·克劳福德,喜剧动画,美国,95分钟,7.7,261542
刻在你心底的名字,2020,柳广辉,剧情同性,中国台湾,114分钟,7.4,113425
哆啦A梦：伴我同行2 STAND BY ME ドラえもん2,2020,八木龙一,剧情动画,日本,96分钟,7.1,88983
除暴,2020,刘浩良,剧情动作,中国香港 / 中国大陆,95分钟,6.1,251760
哪吒之魔童降世,2019,饺子,剧情喜剧,中国大陆,110分钟,8.4,1792602
少年的你,2019,曾国祥,剧情爱情,中国大陆 / 中国香港,135分钟,8.2,1441724
复仇者联盟4：终局之战 Avengers: Endgame,2019,安东尼·罗素,剧情动作,美国,181分钟,8.5,1051248
误杀,2019,柯汶利,剧情悬疑,中国大陆,112分钟,7.5,872954
天气之子 天気の子,2019,新海诚,爱情动画,日本,112分钟,7.0,401901
白蛇：缘起,2019,黄家康,爱情动画,中国大陆 / 美国,99分钟,7.8,741244
中国机长,2019,刘伟强,剧情传记,中国大陆,111分钟,6.6,724588
