,未必有所成才算活着，梦想也不是什么了不起的东西，只喜欢看天、走路、吃披萨的人生也很好。（皮克斯送给社畜社恐的一记摸头
,"一部极有可能拿到奥斯卡最佳动画长片/最佳原创配乐的电影；
一部迪士尼皮克斯近乎满分的作品；
一个出品23部长篇动画电影，拿下10个奥斯卡奖杯的工作室；
排片2%"
,理发师用剃刀也能救人危难，造型师用针线也会缝补梦想。枝头掉落的树叶，街头鼓起的排风，地铁里忙碌人群中的歌声，角落里饥肠辘辘时的披萨，当你爱上生活的一刻，就找到了激活生命的火花。原来每天有那么多灵魂经历个体的锤炼，性格的塑造，奋力冲向地球。也会有无数灵魂被生活压垮，迷失进漠漠荒野。
,你以为所有的故事都被讲完了，皮克斯给你讲一个所有元素都见过但前所未有的故事。终于梦想和目标都不再重要，feel it
,"高纳终于实现了梦想，但他突然发现，他追求了一辈子的东西并不是他想象中那么高大上。
他突然发现，他为了他的爵士梦，错过了太多太多。
他错过了和母亲相处的机会，错过了丽莎……错过了除了爵士之外的一切。
很多电影都是给我们灌输成功学、心灵鸡汤，讲述主角努力追求梦想，最后就实现了梦想。
仿佛在说，只要你努力就能成功，如果你没成功，就说明你还不够努力。
皮克斯却告诉我们，并不是一定要有多么伟大的成就才算活着，就算没有成功又怎样呢？恰恰相反，一味追求成功而忘记了享受生活，这才是最遗憾的。
无论是看天空、走路，还是和家人相处、和爱人看海……只要你用心去感受，这些微不足道的事情其实都十分精彩而美好。
生活的真谛不是什么宏伟的梦想，恰恰就是那些生活中平凡的小事。
追求梦想是最不重要的，看天空、走路、吃披萨才是正事！"
,又挤又破的地铁，黄色的出租车，雄壮的布鲁克林大桥，哈德逊河上远眺万家灯火，曼哈顿的秋色，小酒吧里的爵士乐，这就是纽约啊。理想如果都实现了，那然后呢？你会继续问自己，人活着最重要是什么？不是爱，不是恨，不是痛，也不是成功与失败，而是感知，有些人把它看作是庸俗的生活，有人却认为它是活着的全部意义。两首歌太好听了，听完瞬间觉得生活美好了起来。
,因为Disney+Pixar这样的存在 才使我对现代动画充满向往  我不仅向往那每一帧的画面 更向往那群创造奇迹的地方 
,“灵魂不会被压垮，压垮你的是生活啊。”三十岁的社畜看的内心澎湃，但为了维持成年人的体面又要在黑暗的影院里哭的默不作声。22迷失后，黑暗内里一句句话砸过来“你做不到”“找不到火花”“这不是目标，这是平庸的生活”和抑郁症发病的自我攻击好像…戳的我好久没缓过来。沉入心流和陷入执念只有一线之隔的设定好赞，基金经理被黑的又搞笑又辛酸XD～但故事和人物塑造还是比《寻梦》的完成度差一点点。
,惟江上之清风，与山间之明月，耳得之而为声，目遇之而成色。取之无禁，用之不竭。是造物者之无尽藏也，而吾与子之所共适。
,皮克斯献给“打工人”的年度治愈之作，这才是真正适合圣诞节和年底看的心灵大片。如果让我选一部电影跨年，我会推荐《soul》，它不但让我想要珍惜那些生命中的小美好，更是让我想要感谢那些生命中照亮过我的人和事。以及不得不说，音乐太适合灵魂这个主题了，全片的音乐太动人了。
,一部“圣诞福音”动画，和《生活真美好》拥有同个内核，档期应景。片中的“生之来处”并非基督教的“天堂”，而是来自宇宙高纬度的“量子空间”，甚至只要忘我就可以投魂而入，接近“天人合一之际”的概念。千年的厌世灵魂在世间走一遭，体会到生活的乐趣；过着无趣日子的“音乐打工人”也在变换人生后，意识到生活的本质不是苦追目标，而是“活在当下”。“在世”也确实如此， “寄蜉蝣于天地，渺沧海之一粟。哀吾生之须臾，羡长江之无穷。”一生的光阴就在每一瞬，我们与世界的关系很多时候是“时隐时现”的，“隐时”如风吹过，“现时”啃个披萨。没有目标就是目标，没有意义也是意义。
,"治愈？温暖？希望？其实生活，不止于此。生的希望，不是一片好吃的披萨，不是落在手心的树叶，不是地铁站里动听的音乐，更不是任何一种“美好”的经历——指望它们代表生活，就像给自杀的人留言“奶茶很好喝”一样可笑。并非否认这种美好，只是这种美好太易碎。人们谈论的大多可视的、细微的、看起来易得的美好，都需要背后有某种支撑:一个奔波于生存的、真正意义上的普通人，是没有心力，或者没有机会去感知这些的。它不是“送给普通人的治愈之作”，它依然是迪士尼以高高在上——至少是中产的视角，去讲述（毋宁说“想象”）的“普通人”的故事。"
,真的真的不必觉得排片少，目前口碑扩散还需要时间，中国的电影市场只是反应有延迟，晴雅集那股粉丝劲一过，就是这片翻盘之时，作为院线工作者很淡定地告诉大家，这片子不是不爆，只是时候未到。票房反超晴雅集甚至屠榜仅仅时间问题而已，毕竟有太多优秀动画片都是长线放映一两个月。
,你不会知道，那个街边转招牌的人的心中，存在着一艘巨轮。
,"#LFF2020 / 加入2D元素，毕加索风格的Jerrys,震撼的Great Beyond世界，色调温柔舒适的Great Before世界，让人听到入迷的爵士乐， 以及带有对“灵魂”与“存在”哲学性思考的内核; 画面音乐剧情都将近完美，艺术风格抽象但又充满力量。      皮克斯在成立将近35年后又登上了一个新的台阶😭"
,把晴雅集的排片多给些soul不行吗 
,的确在今年看，具有抚慰人心的力量，但也就抚慰了不到3分钟吧～
,No! 差《头脑特工队》一大截。
