天津,真的不如俩人一起嘎了
河北,每一帧都是美的，故事立意很好，结尾不错。中途有些薄弱，总体推荐
甘肃,"叙事方式太喜欢了，似真似假的幻梦让人猜的到不是现实却又猜不到真正的现实，碎片拼接的艺术呈现很有冲击力。

无与伦比的想象力，抑郁症小女孩的被救赎之旅，电影是造梦的，这是它的可爱之处"
北京,"看大家都在抱怨，这个春节档电影越来越像剧本杀。《深海》就是个典型的哭本逻辑，前面一套叙事，后面倒转成另一套叙事，让大家恍然大悟的同时，颇受感动。这个剧作模式确实不高明。
实际上，倒不是电影越来越像剧本杀，而是电影这么多年为自己树立起来的媒介壁垒，随着其他媒介的发展（如游戏、剧本杀、电视剧），不断被拆除。
那么越是这个时候，电影人越需要反思，什么才是电影没法被取代的体验。也正是于此，我愿意肯定这部《深海》。
它其实就是还原到了一种纯粹的视听冲击力，如漩涡一般，把人卷进它营造的世界，去切身体会一种痛苦，以及微不足道的救赎。
我尤其喜欢破次元壁的那一幕，一边是母亲的呼唤，一边是南河沉入海底，主人公竟然背离了母亲，冲向了南河。因为比起那个虚幻的希望，眼前的陌生的善意，更可依靠。"
辽宁,"大年初一第一刀
本来到中间很困的，但是架不住有个好底啊
后半个小时哭的稀里哗啦
南河！"
陕西,孩子哭的一塌糊涂，即使回家了还在问我参宿冲破的那块布为什么能把她的脸给割破了。她确实没看懂，但是她的反应却告诉我，当大人们依旧吹毛求疵地点评着单薄的剧情和人设的时候，田晓鹏却用那漫天绚烂的色彩飞扬，轻巧地跳过了成人世界，触及到了一颗不谙世事的心灵最柔软的部分，这其实就够了。
吉林,比深海饭店不存在更让人难过的，是南河曾存在
安徽,我愿意为美术和冲破黑暗粒子水墨组合的星空画卷给五星，但是对于抑郁患者和讨好型人格来说，自愈是需要勇气和信心的事，是在不断内耗和挣扎中让自己好过，绝不是靠别人的生命来换取自醒，梦境是美好的也是最残忍的。
安徽,希望在平行时空，能看到没被过度修改的动画原貌。
广东,大家这几天可以看看啊。用最绚丽的色彩，描绘走出灰暗的童话，中国动画真的很强，这部完全是可以拿国际级奖项的！
江苏,一句话故事概括：一个陌生人牺牲自我，帮助小姑娘笑面人生，重塑自我的故事。这句话看着是不是感觉有点拧巴？就是如此，这种拧巴也让这部电影缺少了一些底层逻辑。电影画面无与伦比，同时有笑点有泪点，当然这种泪点你先需要克服电影中的那种拧巴感，观影过程中会不自觉让你觉得似曾相识，来自《千与千寻》的相似感。过年选电影的话这部电影可以一看，家有小孩亦可一起“食用”，只不过我非常不喜欢电影的3d，流浪地球都放弃3d了，我是始终不明白一部动画片为啥非要3d，画面黑黢黢的，有部分场景看得都快斗眼了，要是改成2d，我对它的评价还能再更高点，7分片吧。
上海,"春节一口气看5部之第2部。

3星和4星大概纠结了一个小时后还是决定给4星鼓励一下吧，因为真的觉得非常可惜：

《深海》其实和《阿凡达2》很像，都是讲水下的故事，都是特效好到离谱，在大陆都只有3D格式，出屏感都很优秀。我甚至认为《深海》的特效可以吊打大多数皮克斯的动画，粒子水墨和《阿凡达2》水下动捕都是极优秀的创新和突破。

同时两者都在剧情上存在漏洞，《阿凡达2》缺点见短评，《深海》的缺点是前面2/3几乎都在做展示，没有进行有效主线叙事，非常遗憾。

但是两者不同命的地方在于《阿凡达2》依赖海外票房已经回本，而可怜的《深海》则只能用片中的台词叹息道：点评又掉到1星啦，你们这帮人可真挑剔。

我真的替田晓鹏感到难过和惋惜，参宿是看开了，导演会不会又因为不达预期的票房和口碑而被丧气鬼纠缠呢？"
陕西,失望至极，仅仿制出宫崎骏的皮毛。超速的运镜和充斥全片的浅焦局部特写给视觉造成极大负担，被塞满的扁平画面毫无层次重点，对巨物的迷恋更是无比陈旧的创作思路。第一幕主角二人相遇后自说自话，交流语境缺失，造成剧力的彻底坍塌，后段煽情全靠硬来，邀赏式的情节反转。一个奇异的幻想世界不应该仅由浓墨重彩和聒噪声效组成。
湖北,"醒醒吧，散场了。还真的是有点自知之明。乏味透顶，要是真能让我哭也算对得起这票价了。真的不适合大年初一上映，太丧了……主创团队到底想传递什么价值观念？跟《雄狮少年》隔了7部《大圣归来》大失所望球球了，不要再卷画面了，先讲个好故事吧"
山东,用心做特效，用脚讲故事，有期待就有失望，和诈骗差不多。稍微有点阅片量的人都不会觉得惊艳，前一个小时差点睡着，故事过于单薄，人物过于简单，情节几乎没有。三星全给特效和画面。
河南,到了这个地步，还有什么好说的
陕西,愿每个走过长夜的人终将等到一束光。
吉林,儿童版毒液+甲亢版童漠男+克苏鲁式千与千寻。聒噪，太聒噪了，无论是人物、动作、台词，还是声音、画面，都比大年初一早上的炮仗还吵。
山东,"看完前半段：我为什么要在大年初一的早上跑到影院来受刑
看完后半段：对不起我错了这是神作呜呜呜呜呜呜呜呜呜呜

P.S. 感谢邻座小姐姐递过来的纸巾[玫瑰]"
浙江,"前一个多小时的填鸭只为了后面半小时的反转，半小时是很感人，但前面大半时间也太难熬了
鼓励四星"
浙江,我，抑郁症，掉海里了，救我的人死了，我开心了，那人是个小丑。
江苏,能理解说不喜欢的，但是说看到半路离场的，突然觉得，对深海不耐烦的看客，就像对小孩的痛苦不耐烦的成年人。
贵州,动漫就动漫，别碰你不熟悉的领域行吗？抑郁症这个你不懂就别用这个题材，本人看过深海之后严重心理不适！我愿称最差国漫。
河北,"不会编剧就别编，大年初一看你叫一个小女孩晦气晦气到底你确实晦气了，我看了是真觉得晦气。看完我真的妈妈ptsd了，一个俩小时的动画电影拍的和一个2小时的宣传片一样你干嘛呢？我第一次在电影院看电影看的我如此生气。
你没有剧情只有画面也行，但你硬煽情是要干嘛？你以为最后立意硬拉上抑郁症就能拯救你那除了画面毫无剧情放内核了吗？画面是肉眼可见的贵了，你剧情呢？你内容呢？导演你自己看看你自己都说了些啥？我天我真的太生气了！！！两星只给画面！！其余的啥也不是！！！"
广东,故事和设定都还没讲清楚讲明白，就一昧的去向观众输出视效、输出情绪，又再用这薄弱的情绪去营造大场面，到最后在深海之眼歇斯底里的努力的时候，我都不禁在想他们到底在为了一个什么东西在前进？没错，整部片就是这样，不知道是为了什么而推进剧情，它构造了一个只浮于表面根本立不住的世界，然后用了爱丽丝梦游仙境或千与千寻一般闯入异世界冒险的故事架构，去塑造这个所谓的深海故事。
福建,少女参宿的奇幻漂流
山东,"如果参宿死了，那这部动画将是封神一般存在。可惜根本容不下这样的结局。
深海大饭店没存在过，但是南河存在过。他是一个小丑，他会给参宿讲笑话逗她笑：从前有一只白色的小海豹，它很爱笑。我问他，小海豹小海豹你为什么总是笑呀？小海豹回答说：船长，我是萨摩耶呀！
好美好美好美，美到我一伸手好像就能抓到面前的彩色鱼儿和水母。电影画面之所以这么美是因为现实是灰暗的，那么人生本来就是没有意义的。"
广东,画面真的很美，但是对我来说最震撼的还是“醒醒吧，别睡了”。妈的你是怎么知道我睡着了………
山西,为盘醋包了顿饺子
江苏,"大年初一大早看这个，艾玛，给我哭得。在哭抽的间隙挣扎着爬起来说：特别好！五星推荐。这确实是一个关于救赎的故事。
真好。 "
江苏,如坐针毡，如芒刺背，如梗在喉。今天你们五星鼓励它的情怀和特效，未来就会有无数部只有画面没有剧情逻辑的PPT式的动漫。如果这是你们想要的，就尽情打五星吧
河北,看前超期待，看后只想破口大骂！！！无病呻吟，除了画面一无是处，看到最后，画面也有些审美疲劳，叙事稀烂，老套的剧情，女主要死自己死好吧！！！最后，希望所有的解脱都来自于自救，来自于自己的豁然开朗
广西,要特效有特效，要剧情有特效
上海,你说一个抑郁症 要有个人因为救自己死了 那不应该更抑郁了吗
云南,剧情啊剧情，你就像影片里的大海，全都是水。对抑郁症的理解就像，影片里的鸭子游泳圈光浮于水面上了
广东,毫无逻辑的剧情，导演之前暗示被广电删减，就这垃圾的剧情，不剪也不会帮你屎上雕花的。强行煽情，仿佛掐着我的脸说：给我哭，必须给我哭。不要再说熬过前大段，结尾才是精华这种屁话了，凭什么要硬坐一个多小时，看你的结尾十分钟啊。还有那丑的要死的男主，真是辣眼睛。既然宣发成天卖惨，那就祝你越卖越惨吧。
河南,要特效有特效，要剧情有特效。
四川,"对我而言全片最想哭的地方好像和大家不太一样 最戳我的地方是：南河一个黑色剪影 清瘦的身材长发飘零  面向着家乡的原野  天空处粒子水墨特效涌动  好像梵高的《星月夜》  那一刻真的把我美哭了  人果然是为某一瞬间而活的。
这或许就是动画制作的意义 ！"
福建,顶级折磨👍
河南,"不用，用你的角度来两极分化
这部电影就是很好，非要有所经历才能共鸣的人，你的情商和共情能力是太低，而且看电影的角度也不对。
这是一部治愈的，用心的电影
剧情没毛病，特效更好，音乐超级棒
关注了家庭问题，也关注了有心理问题的孩子，更是希望社会可以作为男主来帮助他们
三观，价值观，特效，音效都在线
我是哭的很过瘾
而且很治愈
"
浙江,"原本不打算特意来打分，但这个分数和票房我真的意难平，加上还有很多尬黑甚至嘲笑导演的，看得我很难受，不想看他们乱刀杀死工匠精神和创作初心，就算是发点微弱声音也好，那就把pyq的观感搬过来吧——前半部我的状态be like：画面太美了，视觉影像信息量好大，剧情啥玩意，我看不懂。后半段：（……戴着口罩哭得喘不过气
出影院后基友和我都不说话，半晌基友问我：你还好吗？我“不好”俩字还没说完，眼泪又扑簌簌掉了下来，完全不敢回想剧情，不然我俩怕是要在电影院门口抱头哭会儿了。
我不会安利这部《深海》，这是给有缘人看的故事。如果你懂它，那么它自然会治愈你，给你巨大的震撼和力量，就像走出困顿后一个鼓励的拥抱，又或是源源不断的温柔指引。"
江苏,当理解到这一切都是幻想时就猜到了。评论里好多理性人来分析剧情抨击画面，可是这部片就是试图用高饱和与混乱的深海将梦的超现实表现出来啊。应该早些注意到的，参宿四、南河三，以及在分割着二者的银河中的天狼，某种冬夜的暗喻。潜意识里塑造的女性都具有着母亲的特质，而男性的丑恶、理性和趋利都是对现实的反应。南河作为长发男或许也中和混杂了某些性别气质，很有意思。只是真正的患者是能够自洽的吗？梦中真的能自我救赎吗？我想能拍到这步的导演应当是没能扭过审查大爹的意见吧。很可惜，梦醒后又是一个破碎灰暗的现实。散场后也是。
浙江,家庭幸福顺风顺水的人会在中途觉得无聊退场，而一生有憾童年缺爱的人（仅指我自己）会哭到隐形眼镜滑片。打五星并不是说这片子有多好，而是我这二十多年，都活得太拧巴、太差。
广东,作为青少年期就患上了重度抑郁，十年后确诊双向障碍，急性发作期有大量幻觉，不得不住院，使用过大量精神药物的亲历者，这个故事几乎原封不动地讲出了我的故事。为什么丧气鬼是红色的，因为在这个阶段会有很多自伤自残的行为。我高中差一点就跳楼死了，自己也不知道什么爬回来了，第二天发现另一个人从楼上跳下去了。作为幸存者的我，强烈地感知到自己的这条命是换回来的。这个片子共鸣太强了，后半段我几乎控制不住自己在影院嚎啕大哭，我们真的是用尽全力又足够幸运才活下来的啊！
河北,《深海》让我想到《少年派的奇幻漂流》，前面一个多小时里，色彩绚丽的深海世界都是女孩内心的投射，这个世界里的角色、情节、道具和冒险的设计都是女孩脑海里的事物幻化出来的，是一个展示女孩战胜心魔的过程。你在看片的时候，可以把注意力放在女孩跟母亲有关的台词和噩梦上，留意女孩身边的一切。进入深海大饭店之后，你就可以自行对应上很多细节，参与到故事里之后，观影乐趣会暴涨。就算你不愿意主动参与，也没有关系，电影的最后导演会用一连串的蒙太奇镜头帮你一一对应相关的故事情节。《深海》虽然是一部动画电影，讲的却是儿童抑郁症，导演干了一件现实主义题材的真人电影都不会干的事情！很久没见这么剧本扎实的国产动画电影了，我觉得今年春节档能靠口碑逆袭的票房黑马，肯定是这部动画电影了！
广西,"为什么？为什么《深海》评分才7.3啊？我不明白。这视效可以说没有任何动画可以比，顶级，剧情也非常牛逼，结构巧妙，很多隐喻一点都不晦涩。画面不止好看，还做到了把情绪和感觉可视化，让观众感同身受。这么屌的动画居然不给10分？

不是说十个人里七个抑郁吗？没道理这么多人共情不到啊，男主看起来是个救赎者，其实他也一直在压抑自己，不然不会看出女主的笑不是真的，因为他自己也是一样，所以他才希望女主的每个笑都是发自内心。这句话也是他想对自己说的。

新年看这个片真的太治愈了好吗？如果我们都是参宿，那《深海》就是我们的南河。

在此希望所有抑郁症和讨好型人格的朋友，不要怕，想哭就哭，想笑就笑，并且每一个笑，都是发自内心，真正的笑。"
四川,"前半段如坐针毡，令人出戏，人物扁平，情感生硬，后半段破题串伏笔还是略为惊艳，但前面太过拖沓，已经磨灭了人的耐心，显得后面的感动有些可笑。另外看到了许多宫崎骏动画的影子，只可惜画虎不成反类犬。
画面确实色彩绚丽，但支撑不了剧情，这部作品告诉我们，中国动画不缺技术，但缺好剧本打磨。"
湖南,"这下宫崎骏又伟大了。

一命换一命，把你救回原生家庭不要太谢谢我。"
浙江,暴发户一样的色彩
上海,视效无敌，但表故事不成立，情绪表达和真相揭晓都太过直给，我理解这个故事是只呈现给有缘人的私人表达，所以好遗憾，我和这个故事少了一点缘分
广西,田晓鹏你是不是觉得自己特别懂抑郁症？
广东,所有的问题都暴露而未得到解决，无论是重男轻女、东亚家庭pua、抑郁症、与世界和解，整体看来却那么空。我其实清楚内核是什么，但感觉在东亚教育视角下去评价，给小孩看不一定看得懂，给大人看又觉得过时了，或者说，却是成人早应清楚的道理。少功有过。如果情感落点在母女上会更好，我无法接受女主为挽救生人（还是男人！）而付出的结局。最后，视觉效果虽然惊艳，但大红大绿大蓝一叠又土得梦回《大圣归来》；男主丑得吓人，，原本以为海精灵已经很cult了，没想到男主才是最cult的。
广东,《深海》导演因看到母亲救女儿而亡的新闻启发灵感，却拍出这部母亲抛弃女儿，女儿被陌生恶臭男人拯救的故事。就问导演，如果你有女儿，你死了，你放心你女儿被一个陌生恶臭大叔拯救？！现实中明明是母亲的不放弃让女儿活下去，你受启发编故事偏偏要塑造了一个抛弃女儿的母亲，哪怕你一开始就让妈死了都好点吧。真几掰恶心 ！女人就是这样永远被泼脏水！
河南,光是3D制作就足以满分了，绚丽的场景和细节的刻画都很好。母女共生幻想本质上还是因原生家庭破裂的遗憾而产生的心理补偿机制；笛卡尔、《少年派》式的幻想&amp;现实双重叙事显然是神话的建构，真实的结局往往是黑色的。献给走过漫长黑夜的自己。
河南,什么时候国漫才明白讲好完整的故事才是最基础、最重要的？
湖北,"二十多年来第一次在电影院里差点哭晕过去，泪眼模糊，鼻子通红，眼镜哭花，纸巾用尽。

我们要写梦境 ，不能只写虚幻与漂浮，要写奔腾的浪，要写海浪下奇幻的光，要写海底晃动着的光怪陆离的世界，要写荒诞不经的船长。

我们要写抑郁症儿童，不能只写悲伤。要写他们悲伤之下的仍旧强颜欢笑，要写他们被悲伤吞没的的黑暗世界，要写他们每时每刻的战战兢兢，要写他们冲向光亮时的抽丝剥茧血肉横飞。

我们要写落魄的普通人，不能只写普通，要写被生活所迫变得他们的尖锐和势力，要写他们面对危险时慌张无措但仍旧舍己救人，要写他们在逆境时拼尽全身解数的坚持，要写他们才情满怀只是无人发现 ，要写他们有滚烫的心，也是照亮他人的光。

所以我们看深海，不能只看到它是一个抑郁症小孩被救赎的故事，它是是一部悲伤至极现实故事。
"
四川,导演，要坚持下去啊！！！
江苏,吐槽的点太多了，父母离婚，父亲再婚被忽视的有抑郁症的女孩，被一个“小丑”拯救，干瘪瘪的几句空话，那个小丑能理解她被忽视 不被爱 的人生吗？轻飘飘的“未来会有光再等你” ，最后荧幕上，女孩和爸爸相亲相爱的画面让我觉得呕吐。我只希望她不要向外渴求光，拥抱自己。
北京,没想到这么克系，看某些场景的时候一直在脑补如果拍一个恐怖动画应该会非常不错。剧作挺私人的，但了不起。老金是爸爸，花花是后妈，抱球海狸是弟弟，这都很明显，所以南河当然不仅是南河，还是原生母亲的投射。海精灵是欲望，引诱人下坠，红色物质是可吞噬一切的消极深渊，参宿希望有人从消极深渊中救出自己，她将这希望寄托给母亲，但最后她发现如果要达成自己的愿望，就会牺牲南河（即寄望母亲回头，会毁掉母亲目前的生活/幸福）……不是我说，让一个才这么大的孩子做电车难题是否太过分？故事到这里戛然而止，没有给出选择。被南河救起醒来后，参宿看似被治愈了，被注入快乐的希望了，电影有了一个光明的结尾与片尾，但恐怕没有人觉得她会真正被治愈，相反……既然她是一个连母亲都不忍打扰的善良孩子，南河之死所造成的负疚感只会更快加剧拖垮她。
浙江,能理解主创想要构建一个爱丽丝梦游仙境式的世界的意图，但是对恶趣味的放纵（鱼头鱼脑的食客与令人作呕的食物）和对技术盲目的追求（不可描述的海精灵和黏黏糊糊的丧气鬼）让电影在视觉上显得不伦不类。粒子水墨出现的段落诚然赏心悦目，但没有真正地融入叙事，海獭抑或是海象的处境也是如此，远没有神偷奶爸里的小黄人那么令人印象深刻。单就故事而言，以小女孩找妈妈为动机让人实在提不起兴致，南河这个男性角色在绝大多数时间完全不讨喜，最后的反转也十分苍白无力，说难听点就是为了催泪而催泪，相当的生硬和算计。希望导演尽快从多即是美、大即是好的思维中解脱出来，把想法一股脑儿地堆给观众，只会像片中的创意菜一样，让人难以下咽、消化不良。
四川,"这海报很漂亮啊，但莫名有点像大鱼海棠?
很期待啊，我也很爱大海。

看了姜子牙后面的彩蛋，制作太惊艳了。


终于看了，但真的对不起我期待那么久。画面五星，剧情三星。看之前就知道是讲抑郁症的了，所以光怪陆离也能接受，但就是不好看，剧情混乱，人物立不起来。适合当壁纸，跟当年的大鱼海棠一个毛病。"
天津,没看哭的人一定过得很幸福。
江苏,谁写的智障剧本 我建议给美术磕头
北京,至少有一位中国导演在尝试自我表达，动画是表现形式，服务于自我叙事。（我相信导演知道怎么做可以商业化成功，片中也有很多镜头在做折中处理，尽可能折腰，至少他在尝试不给观众喂猪食
北京,没看过观影过程如此折磨的影片，全程在好绚丽（色彩和视效）和好恶心（形象和故事）之间反复横跳，能感觉到创作者真是太自恋了，把很多自己碎片化的思考和感受塞进电影里。光顾着自我表达，根本没想好要给观众讲一个什么故事。中国电影人还是太TM好混了，敢这么玩弄投资人的真金白银和观众的期待，失望！愤怒！
湖北,确实没想到美轮美奂的视效背后是这样一个有关生命和抑郁的片子，为导演的主题和立意鼓掌，我们不缺大片，更缺关于“人”的电影。观影体验上，开场很惊喜，中间略有点视觉疲劳，结尾20分钟泪崩。#年度十佳备选
河北,"观感像是跟一堆剩菜一起在泔水桶里泡了一个小时然后被冲进油污滑腻的下水道里
剧情无病呻吟为了反转而反转
放在大年初一看也是真晦气
"
江西,精神污染的级别，全程痛苦面具。忍受40分钟后，感谢闺蜜理智带我逃离苦海，果断选择隔壁流浪地球2。
湖北,你们动画圈就没一个会写剧本的吗……
云南,能不能花动画十分之一的钱找个读过书的编剧？
山西,如果说阿凡达的视效是享受，深海的视效就是折磨。无法理解导演审美，全片都是调色盘打翻的程度，真的太过了，而且充斥着黏黏糊糊的类似呕吐物的东西，糊人一脸。80%的近景和特写，把所有的东西都怼在你眼前，毫无空间感，很多虚化和摇晃镜头，坐前排看会非常晕。故事上，前一个半小时不知所云，后半小时全力煽情，反转俗套，抑郁症只是设定，中间穿插几段奇怪的mv推进剧情，最后的感觉只有一个，我真的哭不出来…
上海,并不太能相信一个说出“不买就不要碰”的人 会毫不犹豫地跳进汹涌里救人。因此也无法相信一个没有爱的世界里的无私的爱成立。
上海,"#水之道8分深海只有7.6我不服 某瓣评分崇洋媚外实锤
写在前面：如果你只想过年图个乐呵，那我劝你别去，不然就会像某瓣上某些脑残恶评说看了两个小时的晦气。
这是一部献给抑郁症患者的电影，扩大点范围来说，是献给所有有抑郁情绪的成人的电影。不适合带小朋友，小朋友也看不懂。硬伤没什么好赘述，能改进的地方确实还有很多，但不能掩盖精美的画面、工整的故事以及温暖的内核。田导潜心七年讲述了一个他想说的故事，这故事不是商业化的，无法讨好大多数观众的口味，只能抚慰一小部分人的心灵。比如最后在电影院哭成🐶的我~
我既希望所有参宿能有一个南河，又不希望参宿们必须经历南河之后才走向坚强。不要贪恋内心的色彩斑斓，外面的世界虽然灰暗，但总有一束光能照耀进来。
致敬所有走过长夜的我们[爱心]"
河南,这部片子是我唯一一个不知道该怎么评价的片子。很吃受众，也极有可能很两极分化。画面做的很好，剧情也不错，可能跟个人经历以及共情能力有关。我从前面眼泪就有点控制不住，不知道具体是什么点，就是眼泪一直掉。到后面有点泪失禁了，哭了半卷纸，哭的我脑子疼。觉得这部片子对于我来说是很值得看的，虽然排片真的很少。但我可能不敢二刷了，带来的后劲太足了。
广东,大家为什么不愿意对深海多些宽容，至少并没有你们说得这么差劲，这甚至是我进电影院以来看过的最好的国产动画，从画面到立意再到叙述方式，前面根本就不会沉闷，你需要看进去就会了解女孩的心思。
北京,眼睛吃蘑菇
北京,他妈的退钱！！！！！
广西,发出来不怕被别人踩。女主被妈妈抛弃，那为什么妈妈这种独立女性非得等到孩子跳海才回来陪伴呢，为什么不把女主带走呢？中间那段描写后妈和重男轻女的，真的超级恶臭。连妈妈这种x色体都不girls help girls，还要指望一个八杆子打不着的y色体小丑来拯救自己，果然墓妊总想着y色体来接盘，差评了。
河北,这不是春节档最好的电影吗
广东,抛开技术的过于饱满，深海还有三个缺点：剧作上没必要把抑郁症直接抛出来，不说明比说明意境更悠长；现实层面据我所知抑郁症的治愈过程不是这样的（如果不明说的话就不存在这个问题）；故事上结尾避开了一个油腻自私巨婴男引导的家庭的残忍性。但它有一个巨大的优点，为华语银幕动漫带来了非英雄主角，非IP主角，带来了原创故事，甚至没有明显的国风元素故事。它只是一个放之四海而皆准的小女孩的内心戏，是兔子洞，是汤婆婆的阁楼，是潘神的迷宫，就为此也值得加星。
山东,我完全不觉得故事没讲明白，他从海里救下了参宿，讲了很多故事激起我的求生欲，后来终于有船经过，可是在这最后的的时刻我再也坚持不住了，他再次救下了我，可他却再没能回来，再失去他之后，在生死夹缝之间，我做了一个梦，梦里他的故事成真了，我的负面情绪变成了丧气鬼，我的欲望变成了海精灵，开始我的海精灵代表着找妈妈，可是后来为什么海精灵会变成代表南河?在深海之眼的最后我鼓起勇气突破了丧气鬼的束缚，可是南河还是消失了，化成了彩色的碎屑，我终于想起来了，为什么在梦里本来是妈妈的海精灵，却变成了南河的海精灵，因为我的欲望改变了，“我想要南河回来”
福建,片子没有戳到我的泪点，对于南河被献祭，我不是感动，是感到可怜。跳出来看，你会为了一个抑郁症小女孩去牺牲一个为了生活努力打拼的年轻人吗？
河北,毫无逻辑的故事发展+拙劣模仿的叙事结构+过度油腻的人物形象+混乱浅薄的主题探讨+自以为是的画面表现，不要拍了滚吧。我真的哭了，我真的太久没看过这么难看的电影，我凭什么大年初一花两个小时看这么一个电影啊我凭什么啊我真的要生气了，希望新的一年再也不要看到这么难看的电影i really wish，中国动画电影再这样下去的话就别拍了吧我真的报警了这种电影真的不是诈骗吗特效还挺好看的但是真的很难看我真的要生气了。
广东,动画电影什么时候才能“断奶”啊！要么就是找妈妈要么就是找爸爸，然而参宿需要的，是关怀是爱啊！这完完全全给跑偏了嘛！“深海大饭店”明摆着就是千与千寻“汤屋”照搬过来嘛，参宿的形象也参考了荻野千寻（某些时刻某些动作简直像是附了体一样）。但起码千与千寻里的人物是有所成长的，而本片更像是“强行疗愈”。原生家庭、抑郁症……那么多苦难，真的就只是笑那么一下就能释怀得了的吗？电影制作七年，只是缝缝补补东拼西凑，借着“抑郁症”想搞些深意，披着五彩斑斓的外壳想摆弄那“精湛技艺”，很可惜，深意不够深，“精湛”的画面也只是辣眼睛（我戴着3D眼镜难受得啊）。“看得出你真的很努力了”是我对目前国产动画的评价，确实憋了一股劲，我也看到了，但这评价并不带一丝褒奖或是慰籍，而是换一种形式的“失望”。
天津,创作真的不容易吧，唉辛苦了，加一星给创作者和美术。虽然残忍，但事实证明，太多华丽炫技便损耗诚恳，填得太满便过犹不及，只有设定和立意、却没有扎实的血肉和铺陈，就无法让人真正相信和共鸣。看海报以为会是美和细腻的故事，却变成在肤浅无厘头的眼花缭乱中头晕和失去耐心。把立意分析得再好、价值上得再高，都不等于故事实际真的打动人和令人相信。什么都不如扎扎实实把故事讲好。|第一次在电影院如此如坐针毡。片头绚烂的海底美得令人感动，片尾的手绘和画册也舒服诚恳，但正片本身却无奈地令人失望。深海饭店少女冒险像千与千寻，梦的碎片拼接像穆赫兰道。小胖猫和水濑挺可爱的。
山西,满江红罪加一等
